rep,id,b02,b12,b03,b13,h1,h2,alpha12,alpha13,alpha22,alpha23,hcov1,hcov2,score4C
73,1,5.11494555167919,-0.0455864529136055,8.15859449687435,-0.0168874333875036,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
74,1,4.82044544676015,-0.139781399137047,5.79091662996486,-0.07781825851994,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
75,1,4.47920940506777,0.0893960963443089,6.10228328006087,0.0960603051004852,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
76,1,4.97156608923607,0.100983610244193,4.19034041136579,0.0787730769622343,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
77,1,4.61681236006903,0.155698813029098,3.15912972679162,-0.0264712917269371,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
78,1,5.08559445262109,0.100999846923823,8.27853283213865,0.189953226125348,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
79,1,5.15097693544823,-0.0342108556264958,7.36014686346576,-0.00333089139758823,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
80,1,4.61681236006903,0.1000843201925,7.4788451549095,0.0245245337399459,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
81,1,4.94489941652395,0.0175942185783007,4.19246141521995,0.0425764983226444,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
82,1,5.15097693544823,-0.0342108556264958,4.9180650303698,-0.00333089139758823,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
83,1,5.10695633696205,0.0456229492060767,6.42499578282428,0.0253044848548326,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
84,1,4.88590184987859,0.0175942185783007,4.08443236170024,0.120811721581386,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
85,1,5.25314099235627,-0.222205895776452,3.39588118794065,0.0213445115329162,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
86,1,4.39446968661826,0.0760959741526685,6.11109046878155,0.0561740360612779,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
87,1,5.11256088908913,-0.0607807003908598,6.38111498368829,-0.0141004741233776,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
88,1,5.0192698643438,-0.0808911552003762,7.06065595011561,0.0741091880708049,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
89,1,4.6128714622691,0.0257357430632934,5.95009230421635,0.133161429270739,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
90,1,5.3663829056757,0.0875369009729133,6.89857379937548,0.0035794297932813,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
91,1,4.35736285380784,0.0711991291481944,4.77119632403854,0.0227365179074428,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
92,1,4.56920610602312,0.126006952150936,3.57275842586067,0.0309868347730492,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
93,1,5.15478376643895,-0.0916147466314926,7.23059973156322,0.0035794297932813,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
94,1,5.03118658797397,0.0711991291481944,7.26175541802773,0.0959082481504881,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
95,1,4.41519182406869,0.0224608452769083,4.95604346449033,0.0838100901819235,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
96,1,5.11438537275085,-0.14616084059052,5.87028127380714,-0.00443926731469322,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
97,1,4.68954021137548,0.0762620252147674,3.96009464154264,0.154291163055982,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
98,1,4.72291422633663,0.137161899967787,4.96830782930756,0.0961571608346127,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
99,1,4.45218280863023,-0.0204954116000688,3.00960745691493,0.0295486651820167,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
100,1,4.68954021137548,0.165009625891103,2.95077272408123,-0.0475411958807539,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
1,4,1.74070120602985,-0.114980179827022,4.92907802556396,0.0174842786546424,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
2,4,2.16245548018885,-0.195346884275902,4.52710961621009,0.222979032409894,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
3,4,2.87462213429343,-0.236568153616963,4.79407477609442,0.033464983424086,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
4,4,2.1433674519844,-0.100936489218326,4.35491592414763,0.101601764433736,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
5,4,2.6841523225336,-0.262296942106905,5.91045851376246,0.159867974856512,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
6,4,1.77500380740088,-0.236816692475955,4.59910832199561,0.112664926485856,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
7,4,3.3544965310594,-0.26209225172423,4.76816749520566,0.122554987125916,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
8,4,2.75231126339433,-0.0605348643104109,4.86696972911183,0.0716132096466958,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
9,4,2.66838070159513,-0.220234470470918,5.53098027391087,-0.0729484598258067,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
10,4,3.16721436897187,-0.336193619853842,4.32292418524197,-0.032766402218315,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,8
