rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23,eta_hcov1,eta_hcov2,score4C
17,1,1.41112901810779,0.0769889245874954,1.79453879977327,0.0422983005724498,0,0,0,0,0,0,0,0,11
18,1,0.167588689405605,0.193654000321178,1.64561032586484,0.0467050463404246,0,0,0,0,0,0,0,0,11
19,1,0.930229765494468,0.133716045082147,-0.982097508960889,0.00968596359148708,0,0,0,0,0,0,0,0,11
20,1,0.217499907256984,0.343140193827159,-1.86284719161646,0.174744941826321,0,0,0,0,0,0,0,0,11
21,1,-0.558516415581149,0.368973784954406,0.169723385490131,-0.0187375753328148,0,0,0,0,0,0,0,0,11
22,1,0.627723021840919,0.291748557159733,0.658049339353552,-0.090265358124848,0,0,0,0,0,0,0,0,11
23,1,-0.103452782084495,0.250020072890511,-3.63335960393225,0.209674510571249,0,0,0,0,0,0,0,0,11
24,1,0.503223767188592,0.196973836781361,-1.22660532085786,0.0624301509337035,0,0,0,0,0,0,0,0,11
25,1,0.254426164588166,0.334623096393829,-1.37829579422334,-0.0124642331231749,0,0,0,0,0,0,0,0,11
26,1,0.514099346614314,0.15617776538548,0.818794937501734,-0.0345793313846701,0,0,0,0,0,0,0,0,11
27,1,1.01674455081826,0.161755618586018,0.321871869398236,0.0370678949454734,0,0,0,0,0,0,0,0,11
28,1,0.901281324716468,0.155027473496496,2.43059721212036,-0.0843402437210378,0,0,0,0,0,0,0,0,11
29,1,1.0211830377722,0.176365041664178,2.14162350035807,-0.00284282731520003,0,0,0,0,0,0,0,0,11
30,1,1.04773154438064,0.101789734249562,0.760820890692985,0.0495330743049549,0,0,0,0,0,0,0,0,11
31,1,0.901281324716468,0.112851946111603,-1.88859331564455,-0.0843402437210378,0,0,0,0,0,0,0,0,11
32,1,0.463118932655962,0.277052771018441,-0.831506235346842,-0.00370368303628612,0,0,0,0,0,0,0,0,11
33,1,0.80823723618037,-0.0390151429888484,-0.594757953757761,0.0461474123507804,0,0,0,0,0,0,0,0,11
34,1,0.627036409588424,0.252098511688764,0.505755111669028,-0.00908023505763306,0,0,0,0,0,0,0,0,11
35,1,0.463118932655962,0.277052771018441,-0.831506235346842,-0.00370368303628612,0,0,0,0,0,0,0,0,11
36,1,1.29973255290351,0.166489237426136,2.50079105744246,0.0202359059474096,0,0,0,0,0,0,0,0,11
37,1,0.0565056119867534,0.206056925713659,-2.71832743593109,-0.0180292859466585,0,0,0,0,0,0,0,0,11
38,1,0.463118932655962,0.24679066390441,0.464085643678988,0.0939691998043923,0,0,0,0,0,0,0,0,11
39,1,1.08338801997185,0.0778509285731442,-2.32380543622269,0.0765550951235427,0,0,0,0,0,0,0,0,11
