rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha27
3,6,0.0236301908093157,-0.0646388793755838,-0.0841643752081538,0.480138738000616,0.023019462116447,0.00716307042161337,0.11339595548158,-0.0633777445725905,-0.400442981949546,0.0125846530609044,-0.726825718786769,-0.0140008720765324,-121.072835964435,-1.90740469318303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0.862839637014293,0.146791575304457,0.0918656095721842,0.24045444773769,-0.0359468800819407,0.0014840720412296,-0.200206055474975,0.102521611292559,2.21566160219559,0.0445428577859336,-0.005156646892023,0.0500287887301231,-53.3610166231788,0.840140354992349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,2.8159962647726,-0.0548078787361927,-0.0404902033575769,0.902536554386182,0.0139351044076985,-0.000160549702096082,0.613801636700782,0.0660256506664514,1.98635553680185,0.0643255720853871,-0.441133712580886,0.0809665813547948,-14.3419083909325,0.93118790300245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,2.6277541367331,0.0913997480651423,-0.113017049469323,-0.643225184646095,0.00669239433095736,0.000797556025469826,0.473661633284214,0.0910723299466808,2.24425413616819,0.0562616717212447,-0.0949481015180185,0.060584362377256,-47.0698631194518,1.33612548430252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,-4.49953359777134,0.058674389133007,0.0293163687305252,-0.162859117372797,0.0192974434481448,-0.00440378556720218,-1.08779993095121,0.0998136743233823,-0.154543086752514,0.00261819379393926,0.386713981550495,0.0919117473475102,66.9704191071517,-4.18053491791512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,-4.49692657740374,0.0686806948818603,0.033926150876736,-0.568886086063037,0.000829168822963133,-0.00172422963762844,-0.581842999846108,0.0369698063972077,0.952794848378903,-0.0285701704314601,0.956747899805595,0.0486084947237317,86.4932303723406,-4.41145364396651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,-4.51728968333573,0.0743443222158439,0.0390851087511465,-0.709431122254182,-0.00148798592598798,-0.0024698012357834,-0.991689458976612,0.0726497494754309,0.560185541273781,0.0122529119541884,-0.0561570104414129,0.0992410719788454,-37.792586453532,5.49869671897067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,1.04849627858407,-0.202940622278117,0.0281662607909756,0.0180614220968935,0.0518244662854839,-0.00174605232325285,1.0965447893153,0.0769712707651815,0.139913693783101,0.113834515201535,-0.521240985382604,-0.136203535566802,120.922354213619,10.3457809371658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,1.19686312036333,0.0582187697080237,-0.0261371202429282,-0.217385297785799,0.00989198108121236,-0.00369136826352428,0.41985868127775,0.119017277385785,0.0531492923160437,-0.0478763307381063,0.302606444620626,0.0434418579193358,-9.89726519267759,4.41887889509876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,0.796952266440216,0.136384677487033,-0.00870183984846104,-0.00719762385927436,-0.0126420438647408,0.00303154722164395,0.390661175033505,0.186822323812029,-0.970924132495416,-0.0531393804024665,-0.191267492641975,-0.00313578297083132,-70.5917645883438,-7.9867738016782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,-2.22533535410347,-0.0221224084384125,-0.0545948229265081,-0.495177966286776,0.00675748885094585,0.0038886071202261,-0.302020862581717,0.0631519106607074,-1.69605930837607,0.115940698005976,-0.439935552427329,-0.0522408704367892,197.498969550138,2.3203641347381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,-1.12814215267833,-0.0666034450577334,0.125402473973437,-1.03239325060764,0.0220553060092437,0.000319901492804919,-0.154037981195307,0.19002699531109,-1.69650154808301,0.205787309684989,-0.254277937767554,-0.0959944571228818,130.969075003721,3.18809940146617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,-1.54893228105918,0.00223514057112134,0.0576384078331291,-0.410254661870324,0.0235807340497516,0.00438965421744269,0.347212844218384,0.0755923446191187,-1.71070931229029,0.0820519255753571,-0.185375449570486,-0.0569006867149507,132.944537596544,1.04435268569607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,-2.26407751226597,-0.0506088011347173,-0.0501797808606597,-0.0678814214279579,-0.0188729308372766,-0.00502545339121055,-1.38927693703106,0.0649586720705788,1.9624159956274,-0.202481924968193,-0.183044410280987,0.0239336663306853,-227.358429882463,-5.86597037991454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
