id,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha13_SAEM,eta_alpha23_SAEM
270,-1.15743,-0.0293946,0,0,0,0,0,0
271,0.498238,-0.15165,0,0,0,0,0,0
272,-0.327197,-0.0115632,0,0,0,0,0,0
273,-1.53541,-0.193352,0,0,0,0,0,0
274,-0.675825,0.0055849,0,0,0,0,0,0
275,1.69561,0.00440111,0,0,0,0,0,0
276,-0.276868,-0.287275,0,0,0,0,0,0
277,-0.878893,0.230853,0,0,0,0,0,0
278,0.69169,0.147945,0,0,0,0,0,0
279,0.000203484,-0.0123778,0,0,0,0,0,0
280,0.79203,0.0617725,0,0,0,0,0,0
281,-0.349502,-0.0248202,0,0,0,0,0,0
282,-0.505815,-0.0288191,0,0,0,0,0,0
283,0.269996,0.00607641,0,0,0,0,0,0
284,0.634502,0.0839292,0,0,0,0,0,0
285,-1.36247,0.0756738,0,0,0,0,0,0
286,0.387545,-0.0405049,0,0,0,0,0,0
287,0.430458,-0.045106,0,0,0,0,0,0
288,0.979715,-0.0318252,0,0,0,0,0,0
289,0.709813,-0.0368173,0,0,0,0,0,0
290,1.51393,-0.0423891,0,0,0,0,0,0
291,0.526028,0.0604381,0,0,0,0,0,0
292,-0.0500012,-0.032041,0,0,0,0,0,0
293,0.190036,0.0887877,0,0,0,0,0,0
294,-0.366007,0.106824,0,0,0,0,0,0
295,-0.263549,-0.0666192,0,0,0,0,0,0
296,0.0664948,-0.434624,0,0,0,0,0,0
297,0.0599684,0.116337,0,0,0,0,0,0
298,-0.779518,-0.150785,0,0,0,0,0,0
299,-0.53571,0.00445903,0,0,0,0,0,0
300,0.738427,0.0297378,0,0,0,0,0,0
