rep,id,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha13,eta_alpha23
3,16,0.220439539618021,-0.0914053933443389,0,0,0,0,0,0
1,17,-0.394431648438401,-0.158752043323222,0,0,0,0,0,0
2,17,-0.393584807263058,-0.156815892760532,0,0,0,0,0,0
3,17,-0.798832834536195,-0.126473907646722,0,0,0,0,0,0
1,18,-1.17391808431325,-0.0869746732237344,0,0,0,0,0,0
2,18,-1.28639578672071,0.0340282800766906,0,0,0,0,0,0
3,18,-2.3516384054771,-0.256169305744236,0,0,0,0,0,0
1,19,-0.857432105125074,0.0229597911444682,0,0,0,0,0,0
2,19,-0.96592272377882,0.0476908834147765,0,0,0,0,0,0
3,19,-0.406602789554784,0.0245286533137168,0,0,0,0,0,0
1,20,-0.655895762098087,-0.0205589613290511,0,0,0,0,0,0
2,20,-0.344958882934955,-0.0233271979528743,0,0,0,0,0,0
3,20,-0.503866472285915,-0.0499511409111436,0,0,0,0,0,0
1,21,-1.25074674697128,-0.0798858995629667,0,0,0,0,0,0
2,21,-0.853245257319832,-0.16040579765705,0,0,0,0,0,0
3,21,-1.41154310986749,-0.225132371185595,0,0,0,0,0,0
1,22,-1.03724900352195,-0.214431706004397,0,0,0,0,0,0
2,22,-0.788841880080746,-0.229023616786413,0,0,0,0,0,0
3,22,-1.03624478123646,-0.184344678100279,0,0,0,0,0,0
1,23,-0.944945240095708,-0.132608843274296,0,0,0,0,0,0
2,23,-0.956725916092612,-0.126921395441529,0,0,0,0,0,0
3,23,-0.392919039468535,-0.128639798947944,0,0,0,0,0,0
1,24,0.845384159902566,0.111859937350772,0,0,0,0,0,0
2,24,0.718291070005093,0.162148702268712,0,0,0,0,0,0
3,24,0.831927163605604,0.107562718427005,0,0,0,0,0,0
1,25,0.54391733310784,-0.2979401005139,0,0,0,0,0,0
2,25,-0.0984290389388214,-0.0290648154189498,0,0,0,0,0,0
3,25,0.316784123185808,-0.0152194180554598,0,0,0,0,0,0
1,26,0.84127904119787,-0.0287994165023751,0,0,0,0,0,0
2,26,1.13729976591605,-0.0101312748157376,0,0,0,0,0,0
3,26,0.791630339758059,-0.0111131460302241,0,0,0,0,0,0
1,27,-0.0350555674671318,-0.176571793016708,0,0,0,0,0,0
2,27,-0.724267139906584,-0.00526004732871674,0,0,0,0,0,0
3,27,-0.365206920611674,-0.097860361495704,0,0,0,0,0,0
1,28,0.464918288685158,0.0498390636580119,0,0,0,0,0,0
2,28,0.248743310181977,-0.0155083502577712,0,0,0,0,0,0
3,28,0.752783538859573,0.229592592890775,0,0,0,0,0,0
1,29,-0.83662121585554,-0.00341706263718336,0,0,0,0,0,0
2,29,-0.944056091231372,-0.0187341739846136,0,0,0,0,0,0
3,29,-1.33776074287411,-0.000727343323333157,0,0,0,0,0,0
1,30,0.445642741849056,-0.235062067656873,0,0,0,0,0,0
2,30,-1.37514310050228,-0.0504070269221771,0,0,0,0,0,0
3,30,-1.0574586641025,-0.107929221269734,0,0,0,0,0,0
1,31,0.603685799772197,-0.289122779331889,0,0,0,0,0,0
