rep,id,b01,b11,b21,a1,p1,g1,p2,g2,alpha11,alpha21,eta_b01,eta_b11,eta_b21,eta_a1,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha21
1,6,6.7557007909294,-0.133429446130598,-0.154006060556292,0.744057153358498,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,2.04645266184475,-0.0127404640061869,0.00808164921759602,-1.50693383308257,0,0,0,0,0,0
2,6,6.60373401305105,-0.0708026843551424,-0.187937005754308,0.263082683564172,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.89448588396639,0.0498862977692683,-0.0258492959804203,-2.54658331505112,0,0,0,0,0,0
3,6,4.79453198730141,0.024124084952593,-0.259019374370682,0.976716785914423,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.0852838582167541,0.144813067077004,-0.0969316645967938,-1.23485495533319,0,0,0,0,0,0
1,7,7.91425551636367,-0.0907736040354887,-0.246049677427068,1.71885356397817,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,3.20500738727901,0.029915378088922,-0.0839619676531794,-0.669638868990394,0,0,0,0,0,0
2,7,3.29139041316717,-0.0892825764372378,-0.163000967271138,7.78479166997144,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.41785771591749,0.0314064056871729,-0.000913257497249631,0.840875639474155,0,0,0,0,0,0
3,7,5.08315154554483,-0.11104903714039,-0.186977823420517,2.39645100352159,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.373903416460172,0.0096399449840209,-0.0248901136466293,-0.337307510619771,0,0,0,0,0,0
1,8,3.69481777168443,-0.028946030110395,-0.127260710096865,8.62505840067111,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.01443035740022,0.0917429520140157,0.0348269996770231,0.943375328973468,0,0,0,0,0,0
2,8,4.49847955844586,-0.00314913529558575,-0.176229250405742,4.278467523367,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.210768570638797,0.117539846828825,-0.0141415406318536,0.242298485175188,0,0,0,0,0,0
3,8,4.7584069061273,-0.00510696846402125,-0.166139279437493,3.30451729166475,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.0491587770426438,0.115582013660389,-0.00405156966360506,-0.0160059963358321,0,0,0,0,0,0
1,9,3.03587456565969,0.0471904256179865,-0.163681068090833,2.48680722044643,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.67337356342496,0.167879407742397,-0.00159335831694524,-0.300296758095404,0,0,0,0,0,0
2,9,3.03562587297599,0.0426300505081754,-0.092468924256372,3.50014142848803,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.67362225610866,0.163319032632586,0.0696187855175161,0.041506970805085,0,0,0,0,0,0
3,9,2.98292506355241,-0.0747787221900868,-0.193985604085749,1.99780570623116,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.72632306553224,0.0459102599343239,-0.0318978943118608,-0.519246973644038,0,0,0,0,0,0
1,10,4.1614438266076,-0.161939699221666,-0.205183285699766,4.73441875789689,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.547804302477058,-0.041250717097255,-0.0430955759258777,0.343562559685733,0,0,0,0,0,0
