id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
132,-0.587122,0.230108,0.00134353,-0.0401895,-0.0414861,0.00890778,0.333812,-0.160264,0,0,0,0,0,0,0,0,0,0
133,-3.76519,-0.0684171,-0.0475265,0.417576,-0.0161716,-0.00248622,0.916261,-0.132184,0,0,0,0,0,0,0,0,0,0
134,0.320641,-0.0559156,0.0224217,-0.248556,0.00503644,0.000650195,-0.939262,-0.198163,0,0,0,0,0,0,0,0,0,0
135,1.20124,0.0195874,-0.0432587,-0.0408815,-0.03594,0.00255787,1.08424,0.19605,0,0,0,0,0,0,0,0,0,0
136,-2.35139,-0.0361254,-0.00438733,-0.642522,0.0114352,0.00666226,-1.45333,-0.298098,0,0,0,0,0,0,0,0,0,0
137,-0.321442,-0.0273476,-0.00881708,-0.443203,-0.0340131,0.00357359,0.067133,0.0872465,0,0,0,0,0,0,0,0,0,0
138,1.11492,-0.0247622,0.0162692,-0.193426,-0.00751892,-0.00152512,0.461441,0.127728,0,0,0,0,0,0,0,0,0,0
139,2.57596,0.103295,-0.0366316,0.402213,0.0892193,0.00440122,-0.619803,0.0693839,0,0,0,0,0,0,0,0,0,0
140,1.02528,-0.133569,0.0375359,0.980626,-0.0260404,0.00302723,0.416505,-0.15957,0,0,0,0,0,0,0,0,0,0
141,1.93007,-0.0240534,0.0153781,-0.0918568,-0.0122476,0.00122558,-0.0662487,-0.00765025,0,0,0,0,0,0,0,0,0,0
142,-2.94797,-0.252937,0.105284,0.468963,-0.0233148,0.00876124,-0.600138,0.168158,0,0,0,0,0,0,0,0,0,0
143,1.53096,-0.0168509,0.0144998,0.176907,0.0276221,0.000444765,0.608249,-0.0283737,0,0,0,0,0,0,0,0,0,0
144,-1.15623,0.143963,-0.0870066,2.27206,-0.0563556,-0.00229385,-1.08315,-0.466956,0,0,0,0,0,0,0,0,0,0
145,-0.0049579,-0.00962743,-0.0208312,-0.32924,0.0538682,-0.00144068,-0.71032,-0.0895101,0,0,0,0,0,0,0,0,0,0
146,-0.425952,0.162565,-0.0233227,1.01561,-0.00350974,-0.00735215,1.13241,0.0579202,0,0,0,0,0,0,0,0,0,0
147,-0.443337,-0.0510315,0.0189667,-0.148793,-0.00825538,0.000311142,0.374748,-0.120819,0,0,0,0,0,0,0,0,0,0
148,-0.124927,-0.0952317,0.00213267,0.165178,-0.00158237,0.00226646,0.390134,0.0699085,0,0,0,0,0,0,0,0,0,0
149,0.695475,-0.0193854,0.00104677,-0.0787323,0.0207382,0.000382917,0.73876,-0.035906,0,0,0,0,0,0,0,0,0,0
150,-0.0166294,0.0198241,-0.0432977,-0.252789,0.0340568,-0.000875451,-1.18409,-0.201252,0,0,0,0,0,0,0,0,0,0
151,1.49636,0.00359556,-0.0120975,-0.384698,0.0123949,-5.9628e-05,0.292517,0.121309,0,0,0,0,0,0,0,0,0,0
152,0.954321,0.0763941,-0.061866,0.547884,0.0214764,0.00227168,-0.144711,0.0927566,0,0,0,0,0,0,0,0,0,0
