rep,id,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
2,4,0.208375640258975,-0.163062693368327,0,0,0,0,0,0,8
3,4,1.95288075201066,0.443031843270822,0,0,0,0,0,0,8
4,4,-0.456223925393033,0.428528685665001,0,0,0,0,0,0,8
5,4,-1.28926961458273,-0.139353951823398,0,0,0,0,0,0,8
6,4,1.2715200959021,0.0222786629744999,0,0,0,0,0,0,8
7,4,1.19408023853843,0.231191132636015,0,0,0,0,0,0,8
8,4,3.15817828052481,0.171847106904279,0,0,0,0,0,0,8
9,4,3.31121587934433,0.355538914149547,0,0,0,0,0,0,8
10,4,4.02905647194916,0.0858394904943701,0,0,0,0,0,0,8
1,5,-1.28176658586968,-0.44079636954183,0,0,0,0,0,0,3
2,5,-0.260003718688939,-0.423652925917246,0,0,0,0,0,0,3
3,5,-1.27800027532185,-0.371330438381706,0,0,0,0,0,0,3
4,5,0.739067347800571,-0.565759480502699,0,0,0,0,0,0,3
5,5,-0.151045502701574,-0.439549823610017,0,0,0,0,0,0,3
6,5,-1.55070112380931,-0.34522268827972,0,0,0,0,0,0,3
7,5,-0.820697870807564,-0.432596274718206,0,0,0,0,0,0,3
8,5,-0.162998966451813,-0.488687232866182,0,0,0,0,0,0,3
9,5,-2.06494789239253,-0.239156539963817,0,0,0,0,0,0,3
10,5,0.529378758678167,-0.447594466809556,0,0,0,0,0,0,3
1,6,4.45462654927636,-0.0034411942500219,0,0,0,0,0,0,2
2,6,3.02420011800098,-0.0929164747935859,0,0,0,0,0,0,2
3,6,1.02727492566362,-0.199170656724591,0,0,0,0,0,0,2
4,6,-0.460296138326299,0.028304678987951,0,0,0,0,0,0,2
5,6,0.122985809080948,0.220253171236182,0,0,0,0,0,0,2
6,6,1.55432950162777,-0.323511122133746,0,0,0,0,0,0,2
7,6,0.454320459219421,0.231989398364379,0,0,0,0,0,0,2
8,6,1.93028513966149,-0.257661981843997,0,0,0,0,0,0,2
9,6,1.6638347897224,0.0307017990898613,0,0,0,0,0,0,2
10,6,-4.06088696704115,-0.460556968123542,0,0,0,0,0,0,2
1,7,1.53930597171994,-0.240306639237059,0,0,0,0,0,0,12
2,7,-0.721294848147899,0.419728264800219,0,0,0,0,0,0,12
3,7,3.99698891131871,-0.31358689803937,0,0,0,0,0,0,12
4,7,-0.0697920034154258,-0.196109659579913,0,0,0,0,0,0,12
5,7,1.44380102259068,-0.268747863941374,0,0,0,0,0,0,12
6,7,-0.00253448305065263,0.244388864497331,0,0,0,0,0,0,12
7,7,1.98547239052598,0.201464354302803,0,0,0,0,0,0,12
8,7,-0.368892454710114,0.0730768866012108,0,0,0,0,0,0,12
9,7,1.40000912617121,-0.0218913709243751,0,0,0,0,0,0,12
10,7,0.974617849465758,-0.140077084374752,0,0,0,0,0,0,12
1,8,4.010989694958,0.00949982713771322,0,0,0,0,0,0,7
2,8,5.00957432889113,0.111568084055524,0,0,0,0,0,0,7
3,8,3.37353415923241,0.384709783457923,0,0,0,0,0,0,7
4,8,4.53819441195102,0.108809839700031,0,0,0,0,0,0,7
5,8,5.24684965939899,0.154472727509953,0,0,0,0,0,0,7
6,8,6.7470389137527,0.089286253536722,0,0,0,0,0,0,7
7,8,6.06392849226163,0.0613789500022559,0,0,0,0,0,0,7
8,8,5.84029878313587,0.189629662791044,0,0,0,0,0,0,7
9,8,6.79158162876626,-0.423478587446157,0,0,0,0,0,0,7
10,8,3.15315661904816,-0.198415707361501,0,0,0,0,0,0,7
1,9,-2.18426893207177,-0.138063966382447,0,0,0,0,0,0,6
2,9,1.42068436336974,-0.0401721928029,0,0,0,0,0,0,6
3,9,-3.37804451726868,-0.437730597651041,0,0,0,0,0,0,6
4,9,-4.28967729975337,-0.134326639422714,0,0,0,0,0,0,6
5,9,-3.9865345075445,-0.262776288392673,0,0,0,0,0,0,6
6,9,-0.160462850226303,-0.303535676378132,0,0,0,0,0,0,6
7,9,-2.48271235799123,-0.0471883124355346,0,0,0,0,0,0,6
8,9,-6.27227071564592,0.115355834300802,0,0,0,0,0,0,6
9,9,-1.69971317609171,-0.0850980347193347,0,0,0,0,0,0,6
10,9,-0.702386944558317,-0.20856106155553,0,0,0,0,0,0,6
1,10,0.521892151838308,0.194157054254342,0,0,0,0,0,0,5
2,10,-3.87816797949026,0.226200230383251,0,0,0,0,0,0,5
3,10,-0.804166984319604,-0.214955865524132,0,0,0,0,0,0,5
4,10,0.425644900234506,-0.101253048721873,0,0,0,0,0,0,5
5,10,-2.83797993223334,-0.249995411733633,0,0,0,0,0,0,5
6,10,-2.20717439315392,-0.100170652006648,0,0,0,0,0,0,5
7,10,-2.49109510322596,0.0185781486512523,0,0,0,0,0,0,5
8,10,-2.58201308054997,0.217074749073071,0,0,0,0,0,0,5
9,10,-2.42242395166574,0.0844987282010375,0,0,0,0,0,0,5
10,10,-0.286706366758189,0.230230811015806,0,0,0,0,0,0,5
1,11,1.72608848521114,-0.388741342376558,0,0,0,0,0,0,8
2,11,3.4851177220371,-0.543697555267594,0,0,0,0,0,0,8
3,11,0.779253040990337,-0.303890287463248,0,0,0,0,0,0,8
4,11,2.75779665683238,-0.464538901998806,0,0,0,0,0,0,8
5,11,0.916894337940612,-0.462720758675273,0,0,0,0,0,0,8
6,11,2.4764497418559,-0.436349600367055,0,0,0,0,0,0,8
7,11,3.52215037038922,-0.567364507436439,0,0,0,0,0,0,8
8,11,0.0385879293505269,-0.363556815678761,0,0,0,0,0,0,8
9,11,2.24141295133939,-0.407555439865121,0,0,0,0,0,0,8
10,11,1.69763045650117,-0.421123614592992,0,0,0,0,0,0,8
1,12,0.432296075547953,0.410198737815088,0,0,0,0,0,0,4
2,12,2.66016191519167,-0.132583776012954,0,0,0,0,0,0,4
3,12,1.73403513625811,-0.188153522035286,0,0,0,0,0,0,4
4,12,0.581600583498055,-0.292804056128172,0,0,0,0,0,0,4
5,12,-0.210282385243151,0.227831302490427,0,0,0,0,0,0,4
6,12,-1.92199521745868,0.223297228600228,0,0,0,0,0,0,4
