rep,id,b0,b1,b2,a,h1,h2,alpha1,alpha2,hcov1,hcov2,score4C
10,3,94.6748663299613,-2.25383140932422,-0.243134823365008,11.5267269672095,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
1,4,88.4844464015708,-8.24611764298742,-3.53981579827053,23.2094956734908,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
2,4,86.0958346675156,-3.15784847516243,-4.8769908213765,9.27982280843108,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
3,4,86.7917620800994,-4.90801891744286,-4.8896282130025,7.75615644954015,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
4,4,85.3899810455632,-3.80484278347679,-4.94184656629381,24.427209558327,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
5,4,87.635826697734,-3.77047055142923,-2.46107796594094,10.1693294500441,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
6,4,87.7229714934714,-6.02904383039045,-4.50711698286313,5.00514530894716,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
7,4,85.9440227881966,-2.02873576163491,-1.36294404608258,14.3388259877366,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
8,4,87.2670767540081,-4.64290869502337,-5.40720802057008,14.8852034634537,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
9,4,86.7144393915317,-5.75734766176182,-2.31754331423133,5.80612470135714,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
10,4,87.5388293009775,-6.22882669343625,-2.40831232985092,8.18576100944375,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.85445823389898,-1.00993325089594,8
1,5,83.5648223275407,-2.88429230900574,-4.97175308691579,6.36950064371565,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,0.695421837712117,-0.378724969085978,3
2,5,83.6498614595049,-4.63031983830571,-3.25409575832663,5.96849750449282,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,0.695421837712117,-0.378724969085978,3
