rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b05,b15,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha15,alpha16,alpha17,alpha21,alpha22,alpha23,alpha25,alpha26,alpha27
2,4,3.30095665830911,-0.114824528617482,-0.137853741570836,5.7995069660404,7.3926725202166,0.0015678996630217,3.93672029382096,-0.193360328145817,6.24694419388972,-0.0582959096990254,5.31723281221014,-0.148594652218682,91.1697960992004,-6.34730585728051,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
3,4,3.41854895117871,-0.17616524241252,-0.109740618067447,1.9385422454049,7.39858879432804,0.00362646707208799,4.50920384156848,-0.238179583220692,6.73394934551449,-0.0913462478389771,5.2761459865116,-0.150888136839333,108.883428940353,-7.47771617162333,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
1,5,4.60031807003226,-0.119773692465501,-0.149508516045502,7.70886330675181,7.38867616867476,0.00363513348933814,3.8176134976353,0.00697377012940209,6.44527086549318,0.00112878464011893,5.40537090798628,-0.0119469306753083,428.440227385787,2.60225495957824,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
2,5,8.80424498599388,-0.149929550322697,-0.182347377733221,9.0498969927784,7.42303677564497,0.000572457151910875,3.57156734239189,0.074040413820875,6.63814059622684,-0.175514507552512,5.17025997013215,-0.0826820817671279,325.181786231593,1.60803158471344,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
3,5,4.96714511252244,-0.0941565835588365,-0.0469353272164158,13.7212323067328,7.43595067337446,-0.00067016528111421,3.30756676636506,-0.15454657930697,6.84061155209817,-0.23657678052361,5.09654363203194,0.041909618532237,440.381027174328,3.98838086481921,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
1,6,2.97231983087788,-0.217067149170018,-0.118225680732386,2.04067360824001,7.39382638020148,-4.67539401912995e-05,4.86286584052934,-0.112419352980481,7.10200510512585,-0.0405118298472249,5.0883871176176,-0.107206626480623,407.834298088541,-3.96174818483344,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
2,6,2.43512147632614,-0.120995735333846,-0.153708779584739,4.89416670722479,7.38412896993841,0.000692711363376545,5.00339607214957,-0.144564158480859,7.99495355840878,-0.204265023163957,4.74261978659275,-0.0531584020107067,383.746337435838,-7.36439737815188,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
3,6,3.45541547992264,-0.144920880850858,-0.0815389003067837,3.90207169404546,7.40980939070182,0.00409839784017541,4.39875724131277,-0.0969684532893592,6.88042708999196,-0.0959221093532823,4.85911719626751,-0.0960980855555228,395.766249128842,-9.63008556754865,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
1,7,5.27947810692433,-0.0925467019712715,-0.07474579199309,4.79618058471806,7.37700148045679,0.00393088505219936,2.61304982147554,-0.420412438326734,6.3422235738107,-0.117101515667579,6.15184330891873,0.0396810816183823,252.518256808988,-7.3118471385474,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
2,7,3.77639332054899,0.0110081980608469,-0.105378238543618,1.83530597265926,7.38423800758704,0.00495842751457752,3.32097205353505,-0.504789304601033,6.18610031606455,-0.0290526306293991,6.16560181356057,-0.0237401152808757,266.955662859879,-9.3668512719969,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
