rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha26,alpha27,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha26,eta_alpha27
2,4,5.01182304871408,-0.125620737086733,-0.147407855898388,1.7188764848976,7.33915191888614,0.000722952924285417,4.12201650187023,0.142771845293249,5.78823620429372,0.00326819782026448,4.66879665254603,-0.0738572907159379,435.596912813442,-13.6015580135364,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,0.336872686559517,-0.0231675549496106,-0.0148562821612323,-0.939106219922449,-0.0638780965942178,-0.00208547131788268,-0.223082768233126,0.295250047380145,0.724372372613419,-0.0113272480601242,-0.502036330574268,-0.00950746919668945,96.6475437109022,-8.78454187019427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,5.20131056393327,-0.0496157711227009,-0.110351628672101,1.54737017695076,7.35246767965129,-0.00240586956496372,4.0584999548571,0.254896145836561,5.57118220201825,0.0206448044294381,4.56353476264922,-0.101934527161349,347.473710748646,-8.29755698423373,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,0.526360201778706,0.0528374110144217,0.0221999450650545,-1.04422026091899,-0.0505623358290634,-0.00521429380713181,-0.286599315246252,0.407374347923457,0.507318370337955,0.00604935854904935,-0.607298220471082,-0.0375847056421009,8.52434164610588,-3.48054084089161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,4.35940073364537,-0.115705658021221,-0.119548074654315,1.71293823643468,7.37144583928457,-0.0027021068587076,4.5071289511536,-0.228236177517918,2.84389829949848,0.0772584412230845,5.13238483137668,-0.148936468336986,355.61905614126,-1.11072031185643,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,-0.31554962850919,-0.0132524758840987,0.013003499082841,-0.942566927956962,-0.0315841761957829,-0.00551053110087569,0.162029681050247,-0.0757579754310221,-2.21996553218181,0.0626629953426957,-0.0384481517436166,-0.0845866468177375,16.6696870387194,3.70629583148568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,5.96459543840259,-0.121370561047211,-0.0999077880170681,53.7115214669127,7.35481380653264,-0.000954063057283555,4.69015245029181,-0.0991581912586719,3.11643905710034,0.0584043689490166,5.21698836314836,0.0811475108924322,297.405490633911,-5.32015040793569,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,1.28964507624802,-0.0189173789100881,0.0326437857200874,2.50285044009757,-0.0482162089477152,-0.00376248729945165,0.345053180188454,0.0533200108282238,-1.94742477457996,0.0438089230686279,0.0461553800280567,0.145497332411681,-41.5438784686293,-0.503134264593569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3.37097667110623,0.00163882311107426,-0.192261248177777,0.152395202595979,7.33531754532267,-0.000410475028747397,4.52197693781163,-0.125070754105247,4.18877603054693,-0.0145807086926899,5.16627244474968,-0.13799001685797,281.55788205892,-3.5451593436415,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,-1.30397369104833,0.104092005248197,-0.0597096744406216,-3.36205520611471,-0.067712470157681,-0.00321889927091549,0.176877667708277,0.0274074479816486,-0.87508780113337,-0.0291761545730786,-0.00456053837062331,-0.073640195338722,-57.3914870436199,1.27185679970062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,4.07302983217961,-0.124872081576425,-0.177882503003527,11.8539537404895,7.37882718007432,0.00617873833417566,2.2731316540633,-0.276627064744313,7.65034444153345,0.0353669969810368,5.16760658156995,-0.0350664422498293,307.167939378671,0.0877138386529956,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,-0.601920529974952,-0.022418899439302,-0.0453309292663719,0.991884370058511,-0.0242028354060349,0.00337031409200757,-2.07196761604005,-0.124148862657418,2.58648060985316,0.0207715511006481,-0.00322640155035003,0.0292833792694191,-31.7814297238691,4.90472998199512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,3.84479665806459,0.0343830163588807,-0.123806447397785,0.601439676095865,7.43889556248087,0.00221820814734821,2.98138123719016,-0.195539622075998,7.25053923140744,-0.0585772699965764,5.59574027213114,-0.0603087955423701,266.430532034749,2.08387530237486,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,-0.830153704089971,0.136836198496003,0.00874512633937002,-1.98920612857476,0.0358655470005171,-0.000590216094819881,-1.3637180329132,-0.0430614199891021,2.18667539972714,-0.0731727158769651,0.424907289010834,0.0040410259768783,-72.5188370677918,6.90089144571698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.17763747852902,-0.130766272557484,-0.132632903013519,6.66922284421227,7.39014663008158,0.00464943228743615,1.70866416101056,0.0791240440771504,6.9681406870754,0.0277564547757062,5.87644468351913,-0.066462675800889,313.909061203628,-9.36996104720237,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,-0.497312883625547,-0.0283130904203614,-8.13292763638118e-05,0.416726247167876,-0.0128833853987791,0.00184100804526806,-2.6364351090928,0.231602246164046,1.90427685539511,0.0131610088953175,0.705611700398829,-0.00211285428164053,-25.0403078989123,-4.55294490386025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,7.26571595975956,-0.19511858429966,-0.305713647387604,6.65567199944932,7.38308785096797,0.0123376759396594,4.73579897426422,-0.101541734355238,5.82098862102074,0.0949465589997781,5.46306173013736,-0.06268568702687,315.625523071637,-18.201394825426,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,2.590765597605,-0.0926654021625371,-0.173162073650448,0.414692332515134,-0.019942164512381,0.00952925169749131,0.390699704160861,0.0509364677316574,0.757124789340441,0.0803511131193894,0.29222874701706,0.00166413449237841,-23.3238460309029,-13.3843786820839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,6.64648674799825,-0.0580445362734444,-0.131016336691278,9.18842263907758,7.41306970889632,0.0120166853560509,4.54820072726273,-0.108906820872046,5.86409777345169,0.0957480602472633,6.03792480130812,-0.082129352722902,307.458777731075,-17.7011801346186,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,1.97153638584368,0.0444086458636782,0.0015352370458771,0.737167191937194,0.0100396934159646,0.00920826111388278,0.203101457159374,0.0435713812148496,0.800233941771393,0.0811526143668746,0.867091818187817,-0.0177795312036535,-31.4905913714654,-12.8841639912765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
