rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
3,12,0.00722599543611402,-0.010748204656829,-0.096271499626309,-0.19290868802083,0,0,0,0,0,0,0,0
1,13,-0.0933475522664331,0.000185503991555694,0.271942428422353,0.266578889100114,0,0,0,0,0,0,0,0
2,13,-0.0356618911740911,-0.00165097836841996,1.22993057985835,-0.178372553843659,0,0,0,0,0,0,0,0
3,13,-0.101380930504965,0.00444339950466259,0.862782329596404,-0.0736209870310041,0,0,0,0,0,0,0,0
1,14,0.0232005124954497,-0.000986385111119622,0.356306249681788,-0.141535040832739,0,0,0,0,0,0,0,0
2,14,0.00215826332845559,0.00246201161039478,0.0618827390528294,-0.0515699138740122,0,0,0,0,0,0,0,0
3,14,-0.0240770244501132,0.00442776619873488,0.34693665506507,-0.120588136902831,0,0,0,0,0,0,0,0
1,15,-0.00227907888809931,-0.00178510150998379,-0.344155033137382,-0.0292669903898695,0,0,0,0,0,0,0,0
2,15,0.0078236010666668,-0.00287989663070517,-0.142661397581521,-0.0435963020745215,0,0,0,0,0,0,0,0
3,15,-0.00711352590319425,-0.0012612659304666,-0.575787557552669,-0.0374292985635388,0,0,0,0,0,0,0,0
1,16,0.0577864490425197,-0.0002524239282095,0.216648120118188,-0.212474447707282,0,0,0,0,0,0,0,0
2,16,0.0446492497210009,-0.00144406585221109,0.0969730484318072,-0.189761931463945,0,0,0,0,0,0,0,0
3,16,0.0592051142268044,0.00537848635690886,-0.52687315181512,-0.0512657210476038,0,0,0,0,0,0,0,0
1,17,0.0091944009491236,-0.00487792385665977,0.237903475469571,0.016063362356253,0,0,0,0,0,0,0,0
2,17,-0.0040731023805689,-0.00588943324185417,0.358366265625291,-0.01242280879707,0,0,0,0,0,0,0,0
3,17,0.0106339342358632,-0.0109287265267475,1.12610438777205,0.00685205938089542,0,0,0,0,0,0,0,0
1,18,-0.0927133730667125,0.00565157771540964,-0.0951551681427434,0.0617031708154645,0,0,0,0,0,0,0,0
2,18,-0.0716986995642275,0.00361430523737994,0.985345708776297,0.0108183757394018,0,0,0,0,0,0,0,0
3,18,-0.0606057714475607,0.00366037475754959,0.840064245186127,0.0138466449111767,0,0,0,0,0,0,0,0
1,19,0.0109087825180287,-0.00640064036464221,-1.32148612753129,0.169366397043152,0,0,0,0,0,0,0,0
2,19,-0.00442004140881469,0.00232890438051003,-0.808198421845035,-0.0268311996775627,0,0,0,0,0,0,0,0
3,19,0.0265021221126878,-0.0023059415407928,-1.05977610957103,-0.14746309792577,0,0,0,0,0,0,0,0
1,20,-0.000170208543030625,-0.000351614295173875,1.0861042584702,0.0489846222753522,0,0,0,0,0,0,0,0
2,20,-0.064256685329112,-0.000409271369495937,1.17939857029071,-0.0260315384766321,0,0,0,0,0,0,0,0
3,20,0.0466182799289312,0.000432422213869905,1.19348034977006,-0.171465878413428,0,0,0,0,0,0,0,0
1,21,0.0541335828143668,-0.00406978970759641,0.676656043285284,0.0280284757859202,0,0,0,0,0,0,0,0
2,21,0.0168916990661057,-0.00473863899878715,0.648434927272953,0.044596197246974,0,0,0,0,0,0,0,0
3,21,0.0318677432856731,-0.00880023909771053,0.749228639432468,0.089525943247468,0,0,0,0,0,0,0,0
1,22,0.032007511289323,-0.000615931662467732,1.47138632586177,-0.0271700540419275,0,0,0,0,0,0,0,0
2,22,0.0477768853927607,-0.000124751211013164,0.704272978395342,-0.0852156872307001,0,0,0,0,0,0,0,0
3,22,0.0248687145174209,-0.00552395052041605,1.50351909644315,-0.028841953951645,0,0,0,0,0,0,0,0
1,23,-0.0145828304092355,-0.00130180636348125,0.242217390688426,-0.301540617466035,0,0,0,0,0,0,0,0
2,23,-0.0227939142527083,0.00251332168583254,0.621737110513819,-0.0054070759123267,0,0,0,0,0,0,0,0
3,23,-0.0115219312752002,-0.00198574091191057,0.284880539154129,-0.190878973623479,0,0,0,0,0,0,0,0
1,24,-0.0833221649852227,-0.00348640823008745,0.602751462223535,0.246879282321028,0,0,0,0,0,0,0,0
2,24,-0.0152816223879393,-0.014287532262623,0.735653928612099,0.203869824139289,0,0,0,0,0,0,0,0
3,24,-0.060345117095352,-0.00182760231379467,0.0814350475404702,0.250412094787162,0,0,0,0,0,0,0,0
