id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM
15,-0.00151975,-0.00162621,-0.339835,-0.0399833,-0.557346,-0.0204028,0,0,0,0,0,0,0,0,0,0
16,0.04639,0.00361192,-0.14132,-0.151712,0.22707,-0.0167484,0,0,0,0,0,0,0,0,0,0
17,0.0240555,-0.00715699,0.284173,0.0515404,0.1997,0.0783018,0,0,0,0,0,0,0,0,0,0
18,-0.0586601,0.00380798,0.346986,0.0396262,0.292073,-0.0136133,0,0,0,0,0,0,0,0,0,0
19,0.0008099,-0.000168362,-0.966408,-0.0907303,-0.646475,-0.0451372,0,0,0,0,0,0,0,0,0,0
20,0.0114586,-7.7649e-05,1.47965,0.0582948,1.3141,-0.0176251,0,0,0,0,0,0,0,0,0,0
21,0.0185401,0.000726735,0.480667,0.0461722,0.38122,-0.00846904,0,0,0,0,0,0,0,0,0,0
22,0.0373889,0.00159423,0.90866,0.00451634,0.962345,0.0111414,0,0,0,0,0,0,0,0,0,0
23,-0.0106237,0.001052,0.241427,-0.0166641,0.273915,0.00303432,0,0,0,0,0,0,0,0,0,0
24,-0.0371953,-0.00332046,0.801449,0.173647,1.01445,0.143638,0,0,0,0,0,0,0,0,0,0
25,-0.00170749,0.000129401,0.40416,-0.0162499,0.474267,0.00395199,0,0,0,0,0,0,0,0,0,0
26,-0.0490584,0.00445807,0.290835,-0.0938979,0.992979,0.0470994,0,0,0,0,0,0,0,0,0,0
27,0.0215775,-0.00758467,-0.18572,-0.102376,-0.380806,-0.10685,0,0,0,0,0,0,0,0,0,0
28,0.0139643,-2.62464e-05,0.326783,-0.00207622,1.25691,0.00446658,0,0,0,0,0,0,0,0,0,0
29,-0.0351236,-0.00456478,0.864091,0.0432613,1.07708,0.0798307,0,0,0,0,0,0,0,0,0,0
30,0.0324885,0.00113577,-0.194078,-0.00354487,-0.415433,0.00826614,0,0,0,0,0,0,0,0,0,0
31,-0.0828471,0.000364802,-1.0356,0.15987,-0.559145,0.0520512,0,0,0,0,0,0,0,0,0,0
