rep,id,b01,b11,b21,a1,b02,b12,b03,b13,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha21,alpha22,alpha23
5,5,4.95389272121944,-0.0363698131379391,-0.132102439472047,4.14599489597351,7.41950051030227,0.00874186981038902,5.52001831351132,-0.27173580748099,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,6,5.21585357475052,0.0182336668731304,-0.145390643997791,5.13267803178909,7.44693391741853,0.0019387928349351,6.4111559317527,0.114579060471741,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,6,7.6075499953493,-0.183280631662221,-0.0716693309245282,12.4671348710196,7.39889650264221,-5.76877241139988e-05,6.36656683990093,-0.117261397180627,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,6,6.32436862966841,-0.0797357358762321,-0.079613953667166,1.3007140098235,7.44925226967718,-0.00502926099767994,5.92194483836256,0.107557267973666,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,6,4.06711319724841,-0.0257644196634772,-0.159856028596635,6.43531681899525,7.42209270344192,-1.95619114167964e-05,6.2567407604527,-0.0773417582436283,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
5,6,7.82954343465409,-0.111572980712602,-0.134661105112167,4.20719869678463,7.39462772276202,0.00171494352279356,6.79224909923966,-0.311200127166495,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,7,4.20181400927823,-0.109401432477437,-0.117715918322501,1.72431209047025,7.36655652957083,-0.00410320283836681,2.98465575644552,-0.039511978438836,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,7,3.73453871672142,-0.243614471370212,-0.15699699085332,13.2861438532624,7.3692741221943,-0.00459196214420437,3.10441741979534,-0.203153363608224,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,7,2.89663716380552,-0.135531867308845,-0.129148188407251,10.5233885713281,7.41854451751496,0.00113116629744275,3.77403211925907,-0.0590258830534063,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,7,5.87497490579385,-0.18703522562582,-0.142592150399365,3.45864889733769,7.45863979944086,0.000352781264937925,2.63781167464353,-0.138481359722376,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
5,7,5.37658734443095,-0.195054903220433,-0.200075851533169,1.58917187920999,7.42068191835019,0.00461598310999122,3.49025076734617,-0.508651637588005,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,8,6.00751292517848,-0.161689009375505,-0.161342328274983,2.20589602480295,7.43507766186985,0.0122326452111026,4.1859301692338,-0.273168036104476,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,8,5.7099772105506,-0.103992159911598,-0.136932922525663,2.53107877274659,7.40093991088376,0.0157279540364418,3.90190038559428,-0.368439997006914,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,8,8.1889971059935,-0.252487273709398,-0.188204015575461,2.43896219320865,7.4256591710285,0.00307794780941507,4.33781129180383,-0.173110297158064,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,8,7.13303229369661,-0.205378368942784,-0.0855969813333512,8.89461487091447,7.36220954530816,0.00592163811762676,3.89360248164076,-0.0587615190483125,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
5,8,6.78198967302353,-0.074153162099039,-0.106588393313645,1.68304319165861,7.42059491271238,0.00818403504209298,4.38956594905215,-0.117526510030434,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,9,3.86833262120677,-0.0910852012328112,-0.088724764450426,1.67565636175277,7.44988086459242,0.000958182197313848,4.93634507099613,-0.367917547737885,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,9,4.32655898299546,-0.0758605698646308,-0.119285064279459,2.10291549237118,7.38381963840903,0.00323021085188662,4.4885504345089,-0.272459752360297,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,9,3.94629862186707,-0.192545946965196,-0.152699258157901,5.12145342173177,7.37710699659819,0.00167656183623936,4.94732590071979,-0.217221191243608,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,9,3.65076843022062,-0.150035013591928,-0.0882887296463249,4.73016976576022,7.41554826830334,0.00468081466520895,4.57014094662344,-0.408016162578578,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
5,9,4.93357709413193,-0.0334050233328589,-0.128770062754009,3.65632059088641,7.39937429006965,0.00560645917618563,4.5174905852895,-0.292075917077191,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,10,7.37771867179739,-0.162724778436068,-0.086975247626207,12.3643951082881,7.41650552139956,-0.000458084018150857,4.80508857288277,-0.1714139008949,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,10,6.07043753886917,-0.209011873465899,-0.0695455992667506,5.55757281971692,7.39989005416391,0.000209062732465926,5.45100684873384,-0.220029287765077,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,10,5.24608355810101,-0.17338310863628,-0.130179259058071,14.5909002343805,7.40907534329106,-0.00118956463700369,5.33533246179402,-0.231158560999051,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,10,5.3996433756046,-0.162629667671093,-0.111204750829687,3.62939634851911,7.40143724252952,0.00360396136991456,4.59641348408527,-0.135639455895783,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
5,10,5.80489119267372,-0.176489762079739,-0.0821236907273177,6.49064192141671,7.38880869982861,0.00147918219818657,5.14642069018361,-0.23568732440936,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,11,0.749905869031386,-0.0503321849668847,-0.145694353910697,18.7065472648383,7.39030209317007,0.00151195296920775,6.52106335842269,-0.109765455969446,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,11,0.877298868596968,-0.193025056653076,-0.121166102622951,4.51936732665804,7.41202686926568,-0.00929417349269818,4.45864086963419,-0.128144918572877,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,11,1.58545879197904,-0.100376068893148,-0.0363269970203157,4.70530932523242,7.44112981522681,0.0013838132455993,4.68744066245431,-0.186583436216305,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,11,0.805590403953217,-0.31587892795775,-0.0912060472687928,2.32965763652126,7.42460884054297,0.00180388163607165,5.23339132171116,-0.149559775055493,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
