rep,id,b03,b13,p1,g1,p2,g2,alpha13,alpha23,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha13,eta_alpha23
1,5,2.2154199325729,-0.272257459236656,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-2.09355978203544,-0.126421872892042,0,0,0,0,0,0
2,5,2.25584234990155,0.0603874429311451,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-2.05313736470679,0.206223029275759,0,0,0,0,0,0
3,5,2.69102552616431,-0.208722580203941,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.61795418844403,-0.0628869938593268,0,0,0,0,0,0
1,6,3.68793792215065,-0.259451969529377,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.621041792457689,-0.113616383184763,0,0,0,0,0,0
2,6,3.38809264482909,-0.230494159976644,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.920887069779247,-0.0846585736320296,0,0,0,0,0,0
3,6,3.70870762214603,-0.247189723904164,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.600272092462305,-0.10135413755955,0,0,0,0,0,0
1,7,4.29938137488316,-0.171579878276695,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.00959833972518176,-0.0257442919320814,0,0,0,0,0,0
2,7,4.33766555484064,-0.1308270955287,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.0286858402322965,0.0150084908159143,0,0,0,0,0,0
3,7,4.66405579252982,0.00814811756499878,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.355076077921483,0.153983703909613,0,0,0,0,0,0
1,8,3.77450313814275,-0.164188714694306,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.534476576465586,-0.018353128349692,0,0,0,0,0,0
2,8,4.14221789977323,-0.156795882011755,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.166761814835105,-0.0109602956671415,0,0,0,0,0,0
3,8,4.15587584665227,-0.164100662460444,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.15310386795607,-0.0182650761158303,0,0,0,0,0,0
1,9,4.93008349129383,-0.150713590062453,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.621103776685494,-0.00487800371783939,0,0,0,0,0,0
2,9,4.47541511909134,0.0454082687945855,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.166435404483004,0.1912438551392,0,0,0,0,0,0
3,9,3.79413884063088,0.0370170004953485,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.514840873977462,0.182852586839962,0,0,0,0,0,0
1,10,1.84946666540302,-0.412592353691643,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-2.45951304920532,-0.266756767347029,0,0,0,0,0,0
2,10,1.80352217969784,-0.490361846709469,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-2.5054575349105,-0.344526260364855,0,0,0,0,0,0
3,10,2.97291038753198,-0.539722272680193,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.33606932707636,-0.393886686335579,0,0,0,0,0,0
1,11,2.61048154357194,-0.165297899035453,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.69849817103639,-0.0194623126908387,0,0,0,0,0,0
2,11,4.17703963938966,-0.269329419614658,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.131940075218679,-0.123493833270044,0,0,0,0,0,0
