rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha21,eta_alpha22,eta_alpha23
1,8,2.39176418828751,-0.0199510358199147,-0.00968022736037344,-1.00059227659174,-0.0111405466677565,0.0104940745676717,0.238245985708845,-0.069527837360442,0,0,0,0,0,0,0,0,0,0
2,8,1.71454939125065,0.0297499058009201,-0.0251277350973002,-0.678523032388015,1.89255665903332e-05,0.0115520413536221,-0.088885953703179,0.182447755925543,0,0,0,0,0,0,0,0,0,0
3,8,1.71659775621742,-0.145644552622178,-0.126107766459466,-0.541095035035213,0.0536306553638823,0.00629372882240573,0.516738324169455,-0.20075193296766,0,0,0,0,0,0,0,0,0,0
1,9,2.11250405752062,-0.00638996500831962,0.0315684634450225,-0.405671848286365,-0.0280304503314683,0.00448703559523082,-0.630547958897079,0.105325397538175,0,0,0,0,0,0,0,0,0,0
2,9,1.44706153833887,0.177194173365364,-0.0392386346207712,0.440355583329958,-0.0638128986545361,-0.00490317559658099,-0.897472653440651,0.0144828780352923,0,0,0,0,0,0,0,0,0,0
3,9,3.38992740441017,0.000918821480889453,-0.024802371309445,0.53640156402517,-0.0412618020884006,-0.00519184787532644,-0.284837517575942,0.0488180789458002,0,0,0,0,0,0,0,0,0,0
1,10,-3.02982391968703,-0.167009069382419,-0.023673275911989,0.299342199811587,-0.016994445189459,0.00342166406334579,1.29293119548834,-0.0606385700995537,0,0,0,0,0,0,0,0,0,0
2,10,-2.12066345903772,-0.198688053340604,-0.0116495494596846,-0.495760200375489,-0.0267976397803107,0.0104765720646115,2.18940088161541,0.259265239335452,0,0,0,0,0,0,0,0,0,0
3,10,-2.92551786439982,-0.0654871769853999,0.0194269178121222,-0.410572492660976,-0.023956310200238,0.00029257126549932,1.29215658953185,-0.120159531602125,0,0,0,0,0,0,0,0,0,0
1,11,-0.465462032826233,-0.107354138725277,0.00721500609416989,0.733996388082977,-0.0526789770891005,-0.000911891908615238,1.81147016678474,-0.169625612769859,0,0,0,0,0,0,0,0,0,0
2,11,-1.51523893552673,-0.0719985767860311,-0.035617550719836,-0.380128259279451,-0.010566869212715,-0.00508190161150608,0.177030065494471,0.0311072239684739,0,0,0,0,0,0,0,0,0,0
3,11,-1.63251161822401,0.00561855430705857,-0.0245754581951415,-0.405919682178203,-0.0094795605437934,-0.00649077034010406,0.610655594062945,0.0855409747790586,0,0,0,0,0,0,0,0,0,0
1,12,-1.67915844547344,0.043953886764544,-0.0508665109484256,-0.0733440056870009,0.0594479733575897,0.000456544164475441,0.0874568200711732,0.164123113603133,0,0,0,0,0,0,0,0,0,0
2,12,2.12184427712885,-0.0254801324965977,0.083803478671426,-0.698462222777819,0.0200951056329171,0.0116717228131671,0.153241556589554,-0.010147939445023,0,0,0,0,0,0,0,0,0,0
3,12,-0.698044836213275,0.147410828400806,-0.0968033318164577,-0.0593311738945088,0.0911014105462593,-0.0012570676328499,0.1491538043664,-0.0340406142565708,0,0,0,0,0,0,0,0,0,0
1,13,0.969216467731466,-0.139722951898756,0.110429435126663,0.074822071150308,0.0100611691154286,-0.00066994443223742,-0.715695791728763,0.204669935954299,0,0,0,0,0,0,0,0,0,0
2,13,0.896510747358588,-0.106248294112145,0.0814923518866923,0.457824768296617,0.0118129533489961,-0.000916888025930773,-0.800239202649731,0.12761420263005,0,0,0,0,0,0,0,0,0,0
3,13,0.506285519878412,-0.0125574783894677,0.0937122860701314,0.768028447280819,0.0208088480344761,-0.0028656252461237,-1.12822599478543,0.210169016563657,0,0,0,0,0,0,0,0,0,0
1,14,1.62736120996412,0.0525095158615569,0.0267529255551145,-0.753351765053433,-0.0462914477002148,-0.00448712731802921,-1.07056796765782,-0.0274352437740601,0,0,0,0,0,0,0,0,0,0
2,14,-0.568361673923669,-0.0336078227818553,0.00262628852998908,-0.671037044022021,0.00982520672014253,0.00516819068865455,-0.404017167374396,0.022349857953069,0,0,0,0,0,0,0,0,0,0
3,14,2.07452495141789,-0.0381867712979292,-0.0270864121715726,-1.39576528111543,-0.00755401689178292,0.00330932943853794,-0.757862658890458,-0.08926846524897,0,0,0,0,0,0,0,0,0,0
1,15,2.62019668608716,0.0782820013806063,-0.0249663879911346,-0.607873203845142,-0.0464433986954873,0.00121549766706497,-0.326230335892226,-0.142298701564642,0,0,0,0,0,0,0,0,0,0
