rep,id,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha13,eta_alpha23
2,19,-1.32181048157488,-0.276985276817371,0,0,0,0,0,0
3,19,-0.870561278780106,-0.299275288116389,0,0,0,0,0,0
1,20,-0.44240372300535,-0.140506296892295,0,0,0,0,0,0
2,20,-1.67163698263266,0.147221649111432,0,0,0,0,0,0
3,20,-0.621673120117622,-0.184984838497104,0,0,0,0,0,0
1,21,0.114603328778496,0.130514188745303,0,0,0,0,0,0
2,21,0.0536477922768048,0.0505230132499904,0,0,0,0,0,0
3,21,-0.00955684023299419,-0.0655389310931155,0,0,0,0,0,0
1,22,-1.54212282031914,-0.299720474664942,0,0,0,0,0,0
2,22,-1.69286297028446,-0.234580099846972,0,0,0,0,0,0
3,22,-2.42181628862195,-0.231531426703921,0,0,0,0,0,0
1,23,-0.63073230354801,0.0713223386124163,0,0,0,0,0,0
2,23,-0.249089168122475,-0.132107801591734,0,0,0,0,0,0
3,23,0.255413491347874,0.0201883626970172,0,0,0,0,0,0
1,24,0.6087333540502,-0.393026015934964,0,0,0,0,0,0
2,24,0.0236302043260679,-0.173311416407101,0,0,0,0,0,0
3,24,0.388834565703792,-0.231111141340652,0,0,0,0,0,0
1,25,0.567345466814567,0.0694465762953328,0,0,0,0,0,0
2,25,0.550091828370794,0.0566276653454832,0,0,0,0,0,0
3,25,0.0094040790203378,0.0624638481717061,0,0,0,0,0,0
1,26,-0.971485118769824,-0.103946001188588,0,0,0,0,0,0
2,26,-0.771375985465818,-0.0624233322474058,0,0,0,0,0,0
3,26,-1.63107480306573,0.0820639617037453,0,0,0,0,0,0
1,27,0.0839447308354613,0.268661219896412,0,0,0,0,0,0
2,27,0.138079171131056,-0.279023752482745,0,0,0,0,0,0
3,27,0.424615439373331,-0.190587475228636,0,0,0,0,0,0
1,28,0.431987556279788,0.0543792549583108,0,0,0,0,0,0
2,28,0.467108256600892,0.0669230411597806,0,0,0,0,0,0
3,28,0.516039760288747,0.0640166462643159,0,0,0,0,0,0
1,29,-1.2322971392948,-0.0130185703535253,0,0,0,0,0,0
2,29,-1.00548818558873,-0.106579690702804,0,0,0,0,0,0
3,29,-1.19517006177386,-0.065955571244991,0,0,0,0,0,0
1,30,0.461006167812341,0.215605440409447,0,0,0,0,0,0
2,30,0.495799536505389,0.194757884702958,0,0,0,0,0,0
3,30,0.647508958941399,0.192384690843945,0,0,0,0,0,0
1,31,-0.0343240141850361,-0.0286981296519897,0,0,0,0,0,0
2,31,0.112315018820151,0.0663086974494443,0,0,0,0,0,0
3,31,0.207493412977256,-0.0531040857302099,0,0,0,0,0,0
1,32,-0.516375044443766,-0.110884128453721,0,0,0,0,0,0
2,32,-0.739061165489862,-0.0774944356343916,0,0,0,0,0,0
3,32,-0.83853691099901,-0.0919732935363862,0,0,0,0,0,0
1,33,-0.0744772186079992,0.0975888670929859,0,0,0,0,0,0
2,33,-0.370042221028048,0.0171902181561661,0,0,0,0,0,0
3,33,-0.436045660711478,-0.0315971981257265,0,0,0,0,0,0
1,34,1.45601908867174,-0.166192519959709,0,0,0,0,0,0
2,34,1.32081738147264,-0.0107955455837012,0,0,0,0,0,0
3,34,0.770280310626694,-0.00917272382155054,0,0,0,0,0,0
1,35,-0.786589184474851,-0.0310157698610962,0,0,0,0,0,0
2,35,-0.643899263237764,-0.0481552427702045,0,0,0,0,0,0
3,35,-0.702095100001245,-0.0320463426179352,0,0,0,0,0,0
1,36,-0.665929568110391,-0.0045401390727981,0,0,0,0,0,0
2,36,-1.27320688456719,0.0379638565080186,0,0,0,0,0,0
3,36,-1.78025907389322,-0.159329090292562,0,0,0,0,0,0
1,37,-0.160902769681852,-0.0168859631429366,0,0,0,0,0,0
2,37,0.732255699967533,-0.178748259292499,0,0,0,0,0,0
3,37,-0.152397471256458,-0.0330852422794796,0,0,0,0,0,0
1,38,0.2216354711382,0.0295084524737311,0,0,0,0,0,0
2,38,-0.202120981111583,0.0410374739553637,0,0,0,0,0,0
3,38,-0.267054323360813,0.0382007370473607,0,0,0,0,0,0
1,39,-0.858834152176113,0.30897873566566,0,0,0,0,0,0
2,39,-1.49523634032834,0.297242019596609,0,0,0,0,0,0
3,39,-0.402833334568698,0.191039047345064,0,0,0,0,0,0
1,40,-0.303614209502962,-0.132503660975356,0,0,0,0,0,0
2,40,-0.524328021050112,-0.120842178724958,0,0,0,0,0,0
3,40,-0.618268807510498,-0.109926340422028,0,0,0,0,0,0
1,41,-0.0835406329962218,0.31063825825705,0,0,0,0,0,0
2,41,0.0193132956707602,0.127807797557026,0,0,0,0,0,0
3,41,0.422441768020354,0.165605393849717,0,0,0,0,0,0
1,42,1.38674196131006,-0.221097875147849,0,0,0,0,0,0
2,42,0.504802021870069,-0.154364962284675,0,0,0,0,0,0
3,42,0.816920104109466,-0.163026616855361,0,0,0,0,0,0
1,43,0.336656989911341,0.315830177556725,0,0,0,0,0,0
2,43,0.31265954596869,0.286927083729808,0,0,0,0,0,0
3,43,0.576581652507638,0.280538840853378,0,0,0,0,0,0
1,44,-1.27266352874741,0.131567267204761,0,0,0,0,0,0
2,44,-1.60263513273534,0.0223605918297925,0,0,0,0,0,0
