rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b05,b15,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,alpha27,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26,eta_alpha27
2,4,4.99123171566285,-0.296657549076444,-0.165917923594391,13.645729333448,7.3992104158754,0.00215705810763343,3.97270508166343,0.147389613232765,3.37336161976254,0.0654221043507512,7.30935562591541,-0.119755951126711,4.64437560493594,0.00995845833844576,263.09574726372,-3.37265768592909,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,0.281896101978819,-0.175065002942473,-0.00768034784390823,1.26958362610728,-0.000312529991020938,-0.000884165148304071,-0.179480586799659,0.288462658256549,-1.89790316534102,0.0487442462204017,0.262014483034331,-0.0789163233128502,-0.520284438864479,0.093008844845869,-70.1731450523474,0.672537974100243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,3.13538366002739,-0.0358950225067154,-0.202218949550885,1.00597705148293,7.39128301503256,0.00890025396658626,3.72747029439686,-0.119330027772557,3.80655593341505,0.0230491611182031,7.40234059161812,0.108020975740714,4.2098364839309,0.0622717603488184,306.190665994275,-3.20558063765227,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-1.57395195365664,0.0856975236272555,-0.0439813738004022,-1.33788371745522,-0.00823993083385766,0.00585903071064876,-0.424715374066226,0.021743017251227,-1.46470885168852,0.00637130298785362,0.354999448737037,0.148860603554575,-0.954823559869518,0.145322146856242,-27.0782263217924,0.839615022377056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,5.3573572872269,-0.134386825597712,-0.105037144959096,5.39057748795516,7.3773681954374,-0.0124052935063728,3.82713934933787,-0.117890205755391,3.54883252982096,0.166925656540513,7.85604158233912,-0.0998426401782063,6.32914790538188,0.00671965184333945,436.117318840628,-0.0123341078219251,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,0.648021673542877,-0.012794279463741,0.0532004307913868,0.340809542578848,-0.0221547504290207,-0.0154465167623103,-0.325046319125219,0.0231828392683929,-1.7224322552826,0.150247798410164,0.808700439458036,-0.0590030123643452,1.16448786158147,0.0897700383507627,102.84842652456,4.03286155220741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,5.0933778221947,-0.0864739959430753,-0.0774359450316695,3.13861077371917,7.31992549268955,0.00615162901678332,2.18854081371031,-0.000927246404469705,5.64091105513726,0.0107804628286119,7.6177118647251,0.107086890866523,6.44754500142077,0.0570815317801385,335.713381855293,-5.67640970281199,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,0.384042208510675,0.0351185501908956,0.0808016307188132,-0.200062703957562,-0.0795974531768682,0.00311040576084581,-1.96364485475278,0.140145798619314,0.3696462700337,-0.00589739530173755,0.570370721844021,0.147926518680384,1.28288495762036,0.140131918287562,2.44448953922597,-1.63121404278265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,9.04615258575352,-0.192920673666616,-0.13270534473209,3.34505371102465,7.3280220241728,-0.000425335505557427,1.84265010301669,-0.183941248407655,3.77819788136967,-0.0580271858053939,7.67918389838348,-0.182322095817851,7.10149003421737,-0.0167965662193218,299.559259331785,-4.54631350588672,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,4.33681697206949,-0.0713281275326446,0.0255322310183923,-0.136360226666594,-0.0715009216936195,-0.00346655876149493,-2.30953556544639,-0.0428682033838712,-1.4930669037339,-0.0747050439357434,0.631842755502396,-0.14148246800399,1.93682999041695,0.0662538202881015,-33.7096329842822,-0.501117845857386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,5.66592846702016,-0.23547446263066,-0.232411876367949,2.02065647683053,7.45366556372068,0.00514529101521622,5.87993588400096,-0.181512154971098,5.61641866123588,0.0349894889574798,8.39608210342459,-0.0713472248650756,5.47046062372263,-0.124410954970275,340.950086630563,-4.05941680795117,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,0.956592853336128,-0.113881916496689,-0.0741743006174662,-0.640420530079644,0.0541426178542617,0.00210406775927872,1.72775021553787,-0.0404391099473136,0.345153876132319,0.0183116308271303,1.3487409605435,-0.0305075970512144,0.305800579922211,-0.0413605684628519,7.68119431449543,-0.0142211479218384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,5.90419276627605,-0.105263553927999,-0.163348527325545,2.14011144488067,7.45638387410592,0.00535797748860698,5.74597669106332,-0.159884846342808,5.04569436266289,0.0654393735393015,7.51611079564587,-0.0217047783746461,5.63551059663028,-0.125338802070592,345.868189906605,-3.30167785512686,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,1.19485715259203,0.0163289922059717,-0.00511095157506253,-0.58298507250055,0.0568609282394945,0.00231675423266948,1.59379102260024,-0.0188118013190241,-0.225570422440672,0.048761515408952,0.468769652764784,0.019134849439215,0.470850552829869,-0.0422884155631688,12.5992975905376,0.743517804902474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,5.16824216477041,-0.184724897048471,-0.285658907487632,4.62149235088366,7.458191602584,0.00569775959592292,5.77921975449227,-0.162740776890074,6.03317546128471,0.019659934971278,8.0818517932125,-0.0552786071782704,4.87072745403142,-0.0988649261451758,391.536467115899,-6.88083582435505,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,0.458906551086382,-0.0631323509145005,-0.127421331737149,0.186874695380422,0.0586686567175807,0.00265653633998541,1.62703408602918,-0.0216677318662898,0.761910676181142,0.00298207684092848,1.03451065033142,-0.0144389793644093,-0.293932589768994,-0.0158145396377526,58.2675747998318,-2.83564016432572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,4.31482916126653,0.0725314804137297,-0.260833993254665,0.772667010770824,7.34926835393444,0.00211864794224449,3.91550641920741,-0.242466133017652,4.42150387240341,0.014338510438124,6.79785497103531,-0.110345100458929,5.42412629191129,-0.176667058040107,290.215566689297,-0.661867946258596,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-0.394506452417496,0.194124026547701,-0.102596417504182,-1.60175007562985,-0.0502545919319797,-0.000922575313693011,-0.236679249255677,-0.101393087993868,-0.849760912700152,-0.00233934769222549,-0.249486171845771,-0.0695054726450677,0.259466248110874,-0.0936166715326834,-43.0533256267701,3.38332771377074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,5.41056817877969,-0.0775360691982752,-0.146032233206113,0.760309069568239,7.39300073307898,-0.00192227689654857,3.82580857064056,-0.197594955576671,4.50815669839331,-0.116862795466183,6.03758857534765,-0.0683782166671098,4.42622235037046,-0.0127564765362282,400.606438989712,-10.1122432746542,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,0.701232565095658,0.0440564769356957,0.0122053425443692,-1.61787323511066,-0.0065222127874387,-0.00496350015248608,-0.326377097822522,-0.0565219105528869,-0.763108086710258,-0.133540653596533,-1.00975256753343,-0.0275385888532486,-0.738437693429954,0.0702939099711951,67.3375466736449,-6.06704761462491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
