rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
3,19,-0.0122281750503488,0.00198774353953698,-0.78399835019318,-0.0283772185666261,0,0,0,0,0,0,0,0
1,20,-0.0195111206336342,0.00778741938621667,-0.473678346465957,0.155664906735045,0,0,0,0,0,0,0,0
2,20,-0.0546919250276829,-0.00270265822928802,-0.686363247410644,0.0577660184862423,0,0,0,0,0,0,0,0
3,20,-0.0145027421628106,-0.00456465007681586,-0.650943609015318,-0.0343476233476235,0,0,0,0,0,0,0,0
1,21,0.0244429413634579,-0.00350305604689257,-0.315018490322747,0.220444811417798,0,0,0,0,0,0,0,0
2,21,0.024203410358794,-0.00158994298963586,-0.212174211158849,0.103627518972457,0,0,0,0,0,0,0,0
3,21,0.0367999912348509,0.00169882859913075,-0.183519530607405,0.0385572831064537,0,0,0,0,0,0,0,0
1,22,0.0337235142604406,0.00359248820663886,0.286001649314295,0.00676816747943876,0,0,0,0,0,0,0,0
2,22,0.031957283326939,0.00888641820490084,-0.305755400388299,0.0564091109976196,0,0,0,0,0,0,0,0
3,22,0.0180662960972588,0.00581808116312315,0.378242248192977,-0.0928241529780763,0,0,0,0,0,0,0,0
1,23,0.0423929180400204,0.00765555603828919,-0.279465516824527,0.14141600950457,0,0,0,0,0,0,0,0
2,23,0.0423374509893328,0.00626603098003221,0.0730877009381476,0.0924744974360025,0,0,0,0,0,0,0,0
3,23,0.0219055243260717,0.0067807932899249,0.00882251189087668,0.121244633165641,0,0,0,0,0,0,0,0
1,24,-0.0403189936677046,-0.00770563067820703,0.791889736421266,0.11056370880947,0,0,0,0,0,0,0,0
2,24,-0.0332139518338677,-0.00835274964087159,1.18056363839613,0.127238020759826,0,0,0,0,0,0,0,0
3,24,-0.0178361910115221,-0.00981125439240096,0.96275591785674,0.113067798023049,0,0,0,0,0,0,0,0
1,25,-0.0642592517492835,0.00472808020101673,-0.14733201108539,0.114823080802352,0,0,0,0,0,0,0,0
2,25,-0.0728158918645887,0.0030086220051107,-0.551433278487039,0.0440888097441454,0,0,0,0,0,0,0,0
3,25,-0.0683536001735252,-0.00265799873891919,-0.28174329545684,-0.0236583245124359,0,0,0,0,0,0,0,0
1,26,0.0957327284806784,0.00769537114236114,0.494000497079718,-0.191273222585397,0,0,0,0,0,0,0,0
2,26,0.0962506558761138,0.00707210607907943,0.95153593265449,-0.215244149286478,0,0,0,0,0,0,0,0
3,26,0.138066065158176,0.00505382969081539,0.668942237448745,-0.195148100532486,0,0,0,0,0,0,0,0
1,27,0.061790369855407,-0.000371048915960526,0.149301359190857,-0.214555108557911,0,0,0,0,0,0,0,0
2,27,0.0624861098036362,0.00553982923821183,1.22087988375097,-0.19975918683153,0,0,0,0,0,0,0,0
3,27,-0.0106771055404495,-0.0017103366146392,0.307765245408536,0.0941542227635836,0,0,0,0,0,0,0,0
1,28,-0.0186466339497962,0.00805148318515905,1.21031229347936,-0.0420165367708876,0,0,0,0,0,0,0,0
2,28,-0.0123747388521052,0.00407677556947078,1.89355864381767,-0.0286944440856312,0,0,0,0,0,0,0,0
3,28,-0.00584391925200123,0.00278108880651914,1.20374623732668,0.023671240531922,0,0,0,0,0,0,0,0
1,29,-0.0240073092237827,0.00349695015118029,-0.701849244956779,-0.0656404643018637,0,0,0,0,0,0,0,0
2,29,-0.0141420922840547,0.00396441941812637,-0.452713533507416,-0.139084874714013,0,0,0,0,0,0,0,0
3,29,0.00925688436582117,0.00298894656975048,0.258140693324016,-0.179927853739929,0,0,0,0,0,0,0,0
1,30,-0.0122747322012398,0.00366651283099122,-0.425662804439217,0.0923922800940717,0,0,0,0,0,0,0,0
2,30,0.00182977532239548,0.00440302589882789,-0.498643044138407,0.140285538212586,0,0,0,0,0,0,0,0
3,30,-0.00758823369836836,-0.00336649086047108,-0.18986887451241,0.0270978338515036,0,0,0,0,0,0,0,0
1,31,0.000229672318513785,0.00301551544648604,0.662023842790913,0.116729315515701,0,0,0,0,0,0,0,0
2,31,-0.0013928702397612,0.00263507590701466,1.3648961837525,-0.163422042693932,0,0,0,0,0,0,0,0
3,31,-0.00106390682445756,0.00459168698198151,1.67764196883069,0.0253675539284272,0,0,0,0,0,0,0,0
1,32,-0.00821639883758252,-0.00162119048851327,0.324412664091139,-0.199562665602868,0,0,0,0,0,0,0,0
2,32,-0.0353120335764228,0.00615657606765329,0.277722776463563,-0.0131878715974154,0,0,0,0,0,0,0,0
3,32,0.0141416630039055,0.00817406936085948,0.0551920114249471,0.0469313767616601,0,0,0,0,0,0,0,0
1,33,-0.0207543934525027,-0.00238010212625335,-0.216144933404119,0.0979580057649305,0,0,0,0,0,0,0,0
