rep,id,b02,b12,b03,b13,b07,b17,p1,g1,p2,g2,alpha12,alpha13,alpha17,alpha22,alpha23,alpha27,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha27
1,8,7.34018320305562,-0.00135288921544392,5.11264626113991,-0.178508729157941,364.612557895188,-3.45550869015464,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0629253060882933,-0.0041932034219138,0.906091549148089,-0.0243942366151673,19.3654839240624,2.02890232605855,0,0,0,0,0,0,0,0,0,0
2,8,7.38346157815289,-0.0031172841461783,4.67906873317683,-0.30097718322862,452.635635101776,-3.57977392309891,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0196469309910237,-0.00595759835264818,0.472514021185011,-0.146862690685846,107.38856113065,1.90463709311428,0,0,0,0,0,0,0,0,0,0
3,8,7.39505468382886,0.0037437558269062,5.83661648926028,-0.251089505081415,478.866596048119,-6.37341344589128,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.00805382531505039,0.000903441620436319,1.63006177726846,-0.096975012538641,133.619522076994,-0.889002429678088,0,0,0,0,0,0,0,0,0,0
1,9,7.42587266218063,-0.00089729007508042,3.70962586925294,-0.409494069729506,455.468372626718,-3.62739816533506,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0227641530367189,-0.0037376042815503,-0.496928842738884,-0.255379577186732,110.221298655593,1.85701285087813,0,0,0,0,0,0,0,0,0,0
2,9,7.43275249808613,-0.000488648021224836,3.83865651694312,-0.133877330195604,434.387233065703,-3.1061402365762,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0296439889422206,-0.00332896222769472,-0.367898195048708,0.0202371623471702,89.1401590945774,2.37827077963699,0,0,0,0,0,0,0,0,0,0
3,9,7.43771503134413,-0.000203512458677755,2.64293621563036,-0.0446989050662084,429.385890762389,3.38433142153798,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0346065222002219,-0.00304382666514764,-1.56361849636146,0.109415587476566,84.138816791264,8.86874243775117,0,0,0,0,0,0,0,0,0,0
1,10,7.40409490713205,0.0120095407697627,2.68020367011774,-0.178635912942814,484.303251594582,-3.42690797786383,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.000986397988141263,0.00916922656329284,-1.52635104187408,-0.0245214204000399,139.056177623457,2.05750303834936,0,0,0,0,0,0,0,0,0,0
2,10,7.40250659685779,0.00855790844486635,2.36268530897052,-0.258086083793262,582.88359885182,-11.106806270229,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.000601912286116502,0.00571759423839646,-1.8438694030213,-0.103971591250488,237.636524880694,-5.62239525401579,0,0,0,0,0,0,0,0,0,0
3,10,7.39884002562888,0.00948313402090433,2.99867979917764,-0.328913443390578,509.800428453943,-2.85812729542642,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.00426848351503217,0.00664281981443445,-1.20787491281419,-0.174798950847804,164.553354482817,2.62628372078677,0,0,0,0,0,0,0,0,0,0
1,11,7.44528768522459,0.00207439695768865,3.67145487571439,-0.273107090006472,334.201421555397,-4.75407407354125,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0421791760806798,-0.000765917248781231,-0.535099836277432,-0.118992597463698,-11.0456524157285,0.730336942671935,0,0,0,0,0,0,0,0,0,0
