id,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha13_SAEM,alpha23_SAEM
128,4.48088,-0.22235,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
129,4.21359,-0.334128,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
130,4.07979,-0.27104,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
131,3.56332,-0.220347,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
132,4.75726,-0.181833,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
133,4.14916,-0.166917,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
134,4.15827,-0.459939,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
135,4.01352,-0.231459,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
136,3.40182,-0.0623814,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
137,4.53183,-0.256607,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
138,5.14621,-0.230251,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
139,3.21241,-0.246769,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
140,4.94722,-0.10644,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
141,4.12376,-0.274354,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
142,4.15612,-0.197344,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
143,4.22393,-0.184091,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
144,3.92173,-0.182688,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
145,4.80442,-0.214615,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
146,4.69763,-0.0951633,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
147,3.7158,-0.179323,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
148,5.03925,-0.114023,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
149,3.16861,-0.371584,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
150,5.17234,-0.337242,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
151,4.68083,-0.116453,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
152,5.77116,0.0881082,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
153,3.72018,-0.0434676,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
154,4.47938,-0.0777997,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
