alpha16_pop,-0.13417,0.088142,0.00122,-0.0021441,-0.1645,0.25825,0.097321,-0.44487,-0.37097,-0.12474,1,-0.0058854,-0.17351,-0.59973,-0.11831,0.13372,0.021772,0.18612,-0.0041352,-0.031098,-0.63255,-0.59998,-0.057923,0.017809,0.41794
alpha22_pop,0.0015883,-0.00083712,-9.6437e-05,0.001043,0.0048792,-0.0044792,-0.0059628,0.010245,0.0075441,0.0033314,-0.0058854,1,0.021218,0.0095205,0.0051831,-0.0020048,5.5321e-05,-0.0016606,-0.00019904,0.00012596,0.0074958,0.0075309,0.00048906,-0.00015755,-0.0064136
alpha23_pop,0.053094,-0.023571,-0.0026971,0.050279,0.15017,-0.17532,-0.16782,0.20985,0.29419,0.065444,-0.17351,0.021218,1,0.2813,0.13847,0.14092,0.0020525,-0.046248,-0.0093402,-0.0018384,0.22532,0.22339,0.014168,-0.0046986,-0.20156
alpha26_pop,0.13217,-0.091241,-0.016508,0.021859,0.30448,-0.22305,-0.61918,0.7507,0.46491,0.54755,-0.59973,0.0095205,0.2813,1,0.53517,-0.13051,-0.011205,-0.20504,-0.00058514,0.042957,0.81708,0.78083,0.058746,-0.019374,-0.62575
beta_hcov1_score4C,0.08627,-0.034178,-0.018332,0.030875,0.18786,-0.10017,-0.94735,0.4495,0.37549,0.58019,-0.11831,0.0051831,0.13847,0.53517,1,-0.1211,0.016987,-0.12701,-0.0065746,0.05516,0.45035,0.59884,0.035642,-0.010123,-0.35176
beta_hcov2_score4C,-0.016881,0.0076627,0.00080115,0.016232,-0.072772,0.11934,0.089737,-0.62592,0.019579,-0.056627,0.13372,-0.0020048,0.14092,-0.13051,-0.1211,1,-0.0033914,0.021499,0.00086182,-0.012401,-0.11703,-0.13792,-0.0063929,0.0013417,0.08862
omega_b02,0.076291,-0.014902,0.0059745,-0.0057466,0.011586,0.006765,-0.017537,0.0009187,-0.0032263,-0.0008323,0.021772,5.5321e-05,0.0020525,-0.011205,0.016987,-0.0033914,1,0.13479,0.0031752,0.0055888,-0.022821,-6.4445e-05,-0.22544,0.00041305,0.0084779
omega_b12,0.001889,-0.021851,-0.00047573,0.0080651,-0.043072,0.047828,0.13917,-0.1439,-0.13225,-0.13459,0.18612,-0.0016606,-0.046248,-0.20504,-0.12701,0.021499,0.13479,1,-0.011299,-0.015871,-0.1925,-0.21871,-0.21205,0.0056768,0.1384
omega_b03,0.0070297,-0.0053627,-0.025123,0.012063,-0.0037481,0.010846,0.0054659,-0.0012728,0.0020667,-0.0077704,-0.0041352,-0.00019904,-0.0093402,-0.00058514,-0.0065746,0.00086182,0.0031752,-0.011299,1,-0.035442,-0.0051211,-0.00011328,-0.0018217,-0.082143,-0.0010968
omega_b13,-0.0036955,0.0070051,0.038703,-0.091227,0.030714,-0.068267,-0.058467,0.030078,0.043083,0.01505,-0.031098,0.00012596,-0.0018384,0.042957,0.05516,-0.012401,0.0055888,-0.015871,-0.035442,1,0.043283,0.080449,0.0059784,-0.045048,-0.033024
omega_b06,0.10835,-0.069563,-0.015575,0.025846,0.10834,-0.19462,-0.54055,0.57115,0.40281,0.43648,-0.63255,0.0074958,0.22532,0.81708,0.45035,-0.11703,-0.022821,-0.1925,-0.0051211,0.043283,1,0.71575,0.059187,-0.019713,-0.5738
omega_b16,0.16302,-0.10906,-0.011677,0.015098,0.32974,-0.48367,-0.67926,0.57619,0.48817,0.61078,-0.59998,0.0075309,0.22339,0.78083,0.59884,-0.13792,-6.4445e-05,-0.21871,-0.00011328,0.080449,0.71575,1,0.065341,-0.022303,-0.55733
b_2,-0.099213,0.031932,-0.0026392,0.00082398,0.012049,-0.021937,-0.037566,0.039945,0.055389,0.04434,-0.057923,0.00048906,0.014168,0.058746,0.035642,-0.0063929,-0.22544,-0.21205,-0.0018217,0.0059784,0.059187,0.065341,1,-0.0022022,-0.039892
a_3,-0.004199,0.0037697,-0.0055894,0.020278,-0.0047988,0.0049458,0.012806,-0.012632,-0.015828,-0.0020076,0.017809,-0.00015755,-0.0046986,-0.019374,-0.010123,0.0013417,0.00041305,0.0056768,-0.082143,-0.045048,-0.019713,-0.022303,-0.0022022,1,0.01424
