rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23,eta_hcov1,eta_hcov2,score4C
2,37,-1.51002485416226,0.239007652138037,0.142802850077445,-0.0398411770000673,0,0,0,0,0,0,0,0,4
3,37,-0.963226158277986,0.216856670409433,0.437838421206839,-0.0282421404454335,0,0,0,0,0,0,0,0,4
1,38,0.257000599704536,0.260687615421817,-2.50861104315862,-0.0225024155326896,0,0,0,0,0,0,0,0,5
2,38,0.453049355205567,0.0179060977306292,0.577991939809882,-0.102831670195363,0,0,0,0,0,0,0,0,5
3,38,1.48593790778882,-0.118961567189554,-0.214492903577449,-0.115247496272419,0,0,0,0,0,0,0,0,5
1,39,-0.0218949529752726,0.204456273445671,2.6775920875291,-0.0590945625719119,0,0,0,0,0,0,0,0,3
2,39,-0.217278190227377,0.22287690079288,2.16682957701436,-0.0138446417661082,0,0,0,0,0,0,0,0,3
3,39,-0.295372801738218,0.22061691521761,1.9372822900836,0.0210836993928044,0,0,0,0,0,0,0,0,3
1,40,-1.11580217837594,0.0872156775343909,-1.07518321761241,0.0514974647490874,0,0,0,0,0,0,0,0,5
2,40,-0.895131534374382,0.228980903970868,0.639968040341233,-0.000862560634877489,0,0,0,0,0,0,0,0,5
3,40,-1.00477986855652,-0.0917255026879049,-1.34039810938589,0.111723134597917,0,0,0,0,0,0,0,0,5
1,41,0.57353806331632,-0.0385331178597718,0.961218200969824,-0.0015083427386542,0,0,0,0,0,0,0,0,1
2,41,0.924317224994899,-0.0364968708636746,-0.169476427809419,-0.0344510715293131,0,0,0,0,0,0,0,0,1
3,41,-0.309538719307482,0.0148474037180926,0.669937987289877,0.0796315944962452,0,0,0,0,0,0,0,0,1
1,42,0.509242118230404,0.0775637514190674,1.83800050506936,0.0164947761354828,0,0,0,0,0,0,0,0,8
2,42,0.405844140786431,0.218201544268806,1.24099502000782,-0.00538337120644487,0,0,0,0,0,0,0,0,8
3,42,0.308516839510142,0.119082435901778,2.06834997763599,-0.0184100935525799,0,0,0,0,0,0,0,0,8
1,43,-1.22864563893683,0.191089942257091,-1.68063605783545,0.00829551103752028,0,0,0,0,0,0,0,0,7
2,43,-1.40874888717021,-0.148500846588626,-1.05643653954487,-0.0596400602829336,0,0,0,0,0,0,0,0,7
3,43,-1.4371199280222,-0.0223922902121563,-0.505405929407042,0.0773192860762938,0,0,0,0,0,0,0,0,7
1,44,0.219969427602855,-0.174339417471658,-1.43828404728668,-0.0278637706391894,0,0,0,0,0,0,0,0,7
2,44,-0.88111546710268,-0.0492369405039608,0.733654759063307,-0.0510495362263337,0,0,0,0,0,0,0,0,7
3,44,0.0211167638339189,-0.101875699788067,1.09984702987884,0.000436554161119568,0,0,0,0,0,0,0,0,7
1,45,0.149656947687089,0.0300425640857406,0.707133163159533,-0.0486692033378011,0,0,0,0,0,0,0,0,5
2,45,0.5382421211352,-0.0955689843990889,0.148754513798264,0.0413801880360106,0,0,0,0,0,0,0,0,5
3,45,0.0682927034132383,-0.0408858524026007,-0.734540621643016,-0.0163871551651819,0,0,0,0,0,0,0,0,5
1,46,0.057356234803672,0.1100300278766,-3.6754275579695,-0.000313607471105481,0,0,0,0,0,0,0,0,1
2,46,0.0109913798224754,-0.0261609668870314,-1.38985469426377,-0.0713141059270255,0,0,0,0,0,0,0,0,1
3,46,0.928047394082317,-0.0490874776773889,-2.21055804350588,0.0111080439068208,0,0,0,0,0,0,0,0,1
1,47,-0.353436244733133,0.146835124669469,-0.683029009612699,0.051417365946537,0,0,0,0,0,0,0,0,3
2,47,0.903424237916767,0.10944093262102,-1.50530951902135,0.0883340298804377,0,0,0,0,0,0,0,0,3
3,47,0.208640047244721,0.113842054595819,-1.31276919160016,0.0562178663628314,0,0,0,0,0,0,0,0,3
1,48,0.487689766901774,-0.164981995296331,-0.9034967101322,-0.0698854431980089,0,0,0,0,0,0,0,0,4
2,48,1.2266112165859,-0.203583423473134,-0.780100178620554,0.0579559350869502,0,0,0,0,0,0,0,0,4
3,48,0.0747173532966565,-0.147991221306999,1.59720858083763,-0.0375852549199929,0,0,0,0,0,0,0,0,4
1,49,-0.353883465779314,-0.222117548972221,1.49521364034718,0.0467175160381771,0,0,0,0,0,0,0,0,12
2,49,-0.18633217790015,-0.345977075461597,-0.344349270458791,0.0441522003516801,0,0,0,0,0,0,0,0,12
3,49,-0.263057415560811,-0.310345757991983,-1.12026164163162,0.0112848156889874,0,0,0,0,0,0,0,0,12
1,50,-0.776623607943649,0.201644190988291,-2.66089878974223,0.00817516178674832,0,0,0,0,0,0,0,0,9
2,50,-1.69149190498416,0.0656421593489543,-1.27998544299932,0.0409097722386415,0,0,0,0,0,0,0,0,9
3,50,-0.298900404788653,-0.0345249531424238,-1.55675190580667,-0.00868675552066066,0,0,0,0,0,0,0,0,9
