rep,id,b01,b11,b21,a1,b03,b13,p1,g1,p2,g2,alpha11,alpha13,alpha21,alpha23,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha21,eta_alpha23
2,4,3.73695490230198,-0.171498757618104,-0.13346673941516,26.6851165955862,4.89027239938049,-0.110308537340875,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-0.878579521217854,-0.0192890327520945,0.0356964717910044,1.80979189224989,0.706409260691267,0.044411771317303,0,0,0,0,0,0,0,0
3,4,3.10219714287333,-0.249628828192781,-0.111671311972587,6.31225649246654,4.49367471808991,-0.0858200980054505,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-1.51333728064651,-0.0974191033267708,0.0574918992335783,0.368179131549543,0.30981157940069,0.0689002106527276,0,0,0,0,0,0,0,0
1,5,6.099141855729,-0.0600998782688859,-0.139547712028582,1.16820958547409,4.02222877291578,-0.167927737571191,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,1.48360743220916,0.092109846597124,0.0296154991775833,-1.31884177893014,-0.161634365773444,-0.013207428913013,0,0,0,0,0,0,0,0
2,5,6.39778897959494,-0.224166375485837,-0.313237951410558,2.40345705023677,4.30699598716632,-0.19876056932414,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,1.7822545560751,-0.0719566506198267,-0.144074740204393,-0.597405948339561,0.123132848477102,-0.0440402606659622,0,0,0,0,0,0,0,0
3,5,5.21644549695041,-0.0930193622409178,-0.129350566857868,9.89419214203978,3.55659547506412,0.061986034901278,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,0.600911073430577,0.0591903626250921,0.0398126443482971,0.817633845816488,-0.6272676636251,0.216706343559456,0,0,0,0,0,0,0,0
1,6,6.2995350288357,-0.284568338622947,-0.157257039581142,1.10561281503629,4.54572639558325,0.104463949453809,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,1.68400060531587,-0.132358613756937,0.0119061716250233,-1.37391432186881,0.361863256894025,0.259184258111987,0,0,0,0,0,0,0,0
2,6,6.84418894116347,-0.181584583762133,-0.108341340801881,1.65443856603423,5.11020120516556,0.0653184851748308,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,2.22865451764363,-0.0293748588961233,0.0608218704042841,-0.970852370605863,0.926338066476335,0.220038793833009,0,0,0,0,0,0,0,0
3,6,5.83090988314759,-0.0469160409931815,-0.245969226996379,0.491619758313499,4.13362749405792,0.127945226484749,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,1.21537545962775,0.105293683872828,-0.076806015790214,-2.18436379710489,-0.0502356446313001,0.282665535142928,0,0,0,0,0,0,0,0
1,7,6.23810300838812,-0.333502173881722,-0.14782683493711,5.89367504849484,3.60971204623832,-0.201538862129311,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,1.62256858486828,-0.181292449015712,0.021336376269055,0.299565663345264,-0.574151092450898,-0.0468185534711334,0,0,0,0,0,0,0,0
2,7,3.44180763867929,0.00200105567391506,-0.249269563337955,2.03816819630531,2.83769177383401,-0.149189274307525,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-1.17372678484055,0.154210780539925,-0.0801063521317897,-0.762262625380811,-1.34617136485521,0.00553103435065283,0,0,0,0,0,0,0,0
3,7,5.48857657077802,-0.15020169610978,-0.130780142044298,5.71391385920378,3.44849225683796,-0.176475788337822,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,0.873042147258185,0.00200802875622949,0.0383830691618669,0.2685901414448,-0.73537088185126,-0.0217554796796437,0,0,0,0,0,0,0,0
1,8,5.45852404668466,-0.190833359378994,-0.130907911270761,5.10688714139695,3.53487465575383,0.0752332173378477,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,0.842989623164826,-0.0386236345129843,0.0382552999354036,0.156275961758126,-0.648988482935388,0.229953525996026,0,0,0,0,0,0,0,0
