"sim" "med1" "med2" "med3" "med4" "med5" "med6" "med7"
80 4.44918457693151 7.44065785392267 2.49149417564627 5.72446006201423 6.43384988583416 4.4573178618585 273.286951854021
81 4.322436088031 7.44292411259303 2.33726135082377 5.56262657823423 6.43361803702409 4.40978085768771 262.945360884705
82 4.70981904536309 7.42756608560207 2.3408274618039 5.49757726578206 6.54633088561368 4.34235117098892 258.272256439911
83 4.66383296547835 7.43730697164885 2.37145987291532 5.41693369439339 6.43420165286538 4.51332637816637 264.644050890379
84 4.64058520015675 7.44161455181369 2.20439150658112 5.56302938656474 6.32048046436319 4.349456937205 253.252876350807
85 4.72012623122828 7.43397523095845 2.22236716299521 5.50749549861864 6.37234904042639 4.3743492447447 263.873314477909
86 4.89959496291742 7.44136542746956 2.13988594634532 5.43794926813631 6.46506328813015 4.34433826164712 261.953592064999
87 4.63102671545642 7.43813946042167 2.57926929107069 5.35994666526757 6.32404398099153 4.34317871057852 257.627255687897
88 4.54686283259563 7.44060139758594 2.46720595331933 5.61096119475921 6.44576667750014 4.51675824067258 247.755497904448
89 4.60325159593459 7.43710537167529 2.2327441311676 5.54166570725773 6.3009479057046 4.25014224408247 246.217140645959
90 4.75556779938399 7.43504722465633 2.32466776494635 5.3291499021135 6.3761683878673 4.27909538466711 252.538121638448
91 4.45201251609667 7.43718906843225 2.48728706901348 5.54689881608386 6.30853785994186 4.38536573937386 265.220853603559
92 4.62426677020945 7.43545881738004 2.30037969225632 5.57999520683522 6.28638572873156 4.24490917588442 256.657974520355
93 4.65530412676577 7.43162214284354 2.28037304821083 5.47055544899877 6.41243136518487 4.44243566741013 268.00200129211
94 5.06956670046456 7.43465068389497 2.47090988362849 5.49688936176163 6.36108856826121 4.36603750090807 271.213003268777
95 4.58784277808502 7.43347457337005 2.34201765053827 5.45022786394825 6.36698609371131 4.27804918379733 250.780284886326
96 4.46418145832868 7.42807214436334 2.4545657665633 5.40529005448079 6.36538225284294 4.20975737872231 257.526055591189
97 4.23650701104766 7.4352081388104 2.57734983758511 5.48622570998432 6.48329426085824 4.31126837256959 258.078604329377
98 4.64933545944843 7.43636947166254 2.42669409448593 5.5256098257827 6.5805676380041 4.51837202195575 245.548110758063
99 4.28486947928277 7.43291888051104 2.36697842931636 5.48975789247772 6.4206513237104 4.4071455335201 265.345528995334
100 4.62286885875162 7.43388039119449 2.52183329148342 5.54417572117897 6.58935629825925 4.2903693122255 262.170754983646
