"sim" "med1" "med2" "med3" "med4" "med5" "med6" "med7"
36 4.26197381990359 7.43930709244887 2.4340703198736 5.56731469666293 6.45545387847891 4.34524262088411 254.708869699223
37 4.5806650622122 7.43233813588621 2.45538027680568 5.33362499481722 6.4511757922539 4.34062466730645 270.365484211788
38 4.55154322367785 7.4461019346922 2.35058727684831 5.58128742284813 6.43608890021829 4.31245075293813 249.894667652813
39 4.19610494151743 7.43191452557327 2.28029334703373 5.47119542788807 6.3311978564343 4.50749144954387 260.531820062419
40 4.51834275625167 7.43127425232156 2.44809455889798 5.2825706145971 6.4960633043601 4.38182924582345 260.534191332733
41 4.55359346905775 7.43679411562723 2.32677069304874 5.44905086702438 6.39690360634511 4.35282483536827 248.654696059437
42 4.28845437375048 7.44105908949809 2.22465039902545 5.52543182463976 6.2758388514389 4.23934635579636 265.501823547652
43 4.41800683950192 7.43430309294405 2.61494781522289 5.30132987559218 6.53236966598343 4.10332547312086 260.817173431841
44 4.52911220396351 7.43768548165955 2.36445290133322 5.61770251714889 6.37602992979436 4.33250597386295 253.968951777021
45 4.26599405048266 7.43572245934058 2.2618261344322 5.39519219954408 6.38535297475475 4.32900671607917 272.427746002322
46 4.45982751988752 7.44717124097338 2.32164582002648 5.63358114592589 6.27714919590206 4.34816814329697 252.74983371502
47 4.52629670394993 7.43344743633393 2.4555953755705 5.27783512942818 6.45020004020442 4.43727562856597 268.565101302503
48 4.68512810948986 7.42942927370733 2.47284888558598 5.32623289490139 6.55656273088053 4.31631672557254 258.318296595707
49 4.5214891836312 7.43572055720174 2.40319242020316 5.34185082470895 6.38784677507135 4.37503631150732 271.623868726071
50 4.79970568762753 7.43173687805472 2.24776047206915 5.39786818913454 6.29823645988603 4.38003579011874 243.584068503804
51 4.33041606268663 7.44919607144745 2.26493917746632 5.80428587856279 6.33633722628878 4.23529303452675 245.492820472196
52 4.62308740455082 7.4324639042375 2.26269211414883 5.32887333641463 6.35045108928077 4.23333492569076 266.347303804888
53 4.47846038976049 7.42834386828594 2.34173451565537 5.27743615140359 6.38646237219487 4.48538928471204 270.438978365966
54 4.58187759850669 7.42736358545952 2.52611357893115 5.29833365092163 6.4981223464513 4.44027442067643 267.486596802397
55 4.64242760955146 7.43395104776435 2.54034609684691 5.45808773652009 6.53759798612149 4.4906755414863 265.110558685031
56 4.57270112092389 7.4349928202694 2.44335115217432 5.37083190926521 6.49633371262255 4.31159865442688 260.93438163351
57 4.67664281356533 7.43261535311884 2.30601938918335 5.48735852222853 6.36592182537044 4.34221404949582 256.473202816485
58 4.92263220239103 7.43436923798265 2.40842805940077 5.31480720594502 6.46569479783435 4.28654759022258 267.045688272217
59 4.64800800495828 7.432406707431 2.46729066059707 5.37070669633405 6.49983444767443 4.44462187406857 252.793154189682
60 4.60607179715292 7.42951988347352 2.50519228604879 5.34461883347743 6.54496662472373 4.24683480655429 263.474599014961
61 4.5167390304614 7.43843912270207 2.35026226184527 5.5192961350309 6.3720596463883 4.40743001698682 274.622117383793
62 4.4907176534509 7.43760003416108 2.20158332604667 5.51339242463498 6.23654286886612 4.34335193645331 264.207650581344
63 4.8735641481205 7.4398963950955 2.35958657765794 5.61526808138399 6.51541591598193 4.31381488038341 266.397747240872
64 4.31993648337009 7.44858050218349 2.41361214825207 5.76615840180072 6.44800270452796 4.4115544448822 254.330359874627
65 4.61738672478918 7.43483857295195 2.50826179959138 5.41916124819006 6.44784369661414 4.39955095704137 258.016861191313
66 4.77930315054245 7.438132454414 2.26810088525219 5.55854608589079 6.27857701023063 4.40717337734801 254.00948591731
67 4.68276577564441 7.43617545350422 2.23312750903492 5.40111677198695 6.24793532587954 4.34652142790654 263.388145139032
68 4.61242400860105 7.42968488897683 2.19060669015884 5.22807267427195 6.35325265433054 4.43878095441167 267.01894638256
69 4.72481625197271 7.44012517593135 2.16982036736919 5.55049939009575 6.29944647682811 4.30274182470757 257.858546737824
70 4.58887498058548 7.44046122681741 2.37149102633381 5.56471350958708 6.45121216326932 4.45556480106858 266.055863643082
71 4.69867974519226 7.44655315558925 2.22165612710359 5.54862429024289 6.35952544589923 4.31227729151438 263.345274262955
72 4.70901370925344 7.43513364934087 2.41759648148093 5.30247032042008 6.43765348408628 4.47293264120699 258.674436665309
73 4.77723805220565 7.43788653298892 2.15054136303781 5.38461502737167 6.33563868721264 4.39663286488342 253.728933079579
74 4.59913521599004 7.44195641298073 2.37629578984087 5.7021007548254 6.3773118863393 4.26240429619673 264.006272193307
75 4.5424140984394 7.43691275363711 2.4064949762809 5.48547670405701 6.34357421989152 4.42033757847934 256.73456536187
76 4.68162724599421 7.44114181855006 2.2467760465002 5.48125082618894 6.29966398277678 4.3170808257858 257.604599714773
77 4.60645798137787 7.44182271747875 2.11291177360158 5.43378442831669 6.16677260528335 4.31206363722992 264.684820886255
78 4.40631737749292 7.4500185999212 2.53532973380019 5.76203289895643 6.39939149910668 4.45958671209717 267.289232504764
79 4.79776644605751 7.42926078108674 2.51265413813912 5.3406131851883 6.48341588212757 4.40779772178697 257.905588093766
80 4.44918457693151 7.44525613110431 2.55103507326895 5.71999761945578 6.48963361230635 4.4573178618585 273.286951854021
81 4.322436088031 7.44194922891843 2.3713779607829 5.56675277745434 6.34365549979853 4.40978085768771 262.945360884705
82 4.70981904536309 7.43143617430807 2.39631884152312 5.48663855598762 6.49075185021129 4.34235117098892 258.272256439911
83 4.66383296547835 7.43768750052081 2.35933589750145 5.40937795374872 6.46684050334787 4.51332637816637 264.644050890379
84 4.64058520015675 7.44024084824634 2.17935556813932 5.55936251208136 6.3217398515868 4.349456937205 253.252876350807
