rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b06,b16,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha16,alpha21,alpha22,alpha23,alpha26,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b06,eta_b16,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha16,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha26
1,9,5.57897370583407,-0.184045681667457,-0.0139000612085616,27.6439314724804,7.4000288104683,0.00550372678620415,4.04907947577281,-0.41048103536815,5.40210696540888,-0.17495346480917,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.377033314675935,-0.0832677206414744,0.0931394952673901,1.94215401966825,0.00118673391994317,0.00271696987731126,-0.237347501236712,-0.254241652385608,0.182632822846817,-0.102199220637393,0,0,0,0,0,0,0,0,0,0,0,0
2,9,5.33336825951584,-0.135890177921901,-0.0418576040629651,49.1016056809458,7.38370284808305,0.00683564177662312,4.30010915537689,-0.501109952426914,4.93460182499339,-0.132145537235462,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.131427868357704,-0.0351122168959188,0.0651819524129866,2.51663952889676,-0.0151392284653076,0.00404888486773022,0.0136821783673735,-0.344870569444372,-0.284872317568669,-0.0593912930636846,0,0,0,0,0,0,0,0,0,0,0,0
3,9,4.03865446562886,-0.25377108075332,-0.0116602424807094,21.7481730998314,7.36451695649829,0.00708329419802186,5.01861460250971,-0.523319679569793,4.93849838750864,-0.131975826078325,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-1.16328592552927,-0.152993119727337,0.0953793139952423,1.70227755096823,-0.0343251200500596,0.00429653728912896,0.732187625500191,-0.367080296587251,-0.280975755053424,-0.0592215819065479,0,0,0,0,0,0,0,0,0,0,0,0
1,10,1.748543489343,-0.172684236304824,-0.152055691357122,16.1097401688803,7.41857921076248,-0.00145692378583663,4.71531652791586,-0.207452382779275,6.04636397304108,-0.0455262320009752,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-3.45339690181513,-0.0719062752788416,-0.0450161348811707,1.4021718608691,0.0197371342141288,-0.00424368069472952,0.428889550906338,-0.0512129997967332,0.826889830479015,0.0272280121708023,0,0,0,0,0,0,0,0,0,0,0,0
2,10,2.42978706717989,-0.327373008368835,-0.149610125246963,2.96177555394444,7.37686488470246,0.00460350453557356,4.12950829777634,-0.0685317587418227,4.75172062980498,-0.0265089460758473,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-2.77215332397824,-0.226595047342853,-0.0425705687710114,-0.291463269824756,-0.0219771918458891,0.00181674762668066,-0.156918679233185,0.0877076242407192,-0.467753512757082,0.0462452980959302,0,0,0,0,0,0,0,0,0,0,0,0
3,10,0.874903696218346,-0.0537101735476622,-0.0652443693200078,0.921978484696874,7.35477310562012,0.00607805050284514,3.96557149345573,-0.139999679252158,5.77237432606261,0.0116842687636204,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-4.32703669493979,0.0470677874783202,0.0417951871559439,-1.45848559879619,-0.0440689709282367,0.00329129359395225,-0.32085548355379,0.0162397037303841,0.552900183500545,0.0844385129353979,0,0,0,0,0,0,0,0,0,0,0,0
1,11,6.963927384666,-0.157471172870636,-0.0632905857074009,0.92077087279295,7.38166424630322,0.00461148743657771,4.54303207892417,0.285558929855131,6.41265888856668,-0.104519805918823,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,1.76198699350786,-0.0566932118446541,0.0437489707685508,-1.45979626220452,-0.0171778302451369,0.00182473052768481,0.256605101914648,0.441798312837672,1.19318474600462,-0.0317655617470456,0,0,0,0,0,0,0,0,0,0,0,0
2,11,5.92592036349999,-0.0921866920904795,-0.0509084892706478,1.19686791254991,7.38884053278319,0.00323426467822513,5.67534812252188,-0.213876506619644,6.20226150713467,-0.01154200684088,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.723979972341861,0.00859126893550279,0.0561310672053039,-1.19754413588858,-0.0100015437651608,0.00044750776933223,1.38892114551236,-0.0576371236371024,0.982787364572606,0.0612122373308975,0,0,0,0,0,0,0,0,0,0,0,0
3,11,6.18326470835228,-0.127272469435511,-0.131221226652788,10.8469385778507,7.41415963286873,-0.000755671108603999,4.33412832877599,0.0618930372034267,5.65554999180203,0.012581748345602,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.981324317194152,-0.0264945084095285,-0.0241816701768363,1.00663067382017,0.015317556320376,-0.00354242801749689,0.0477013517664711,0.218132420185969,0.436075849239963,0.0853359925173794,0,0,0,0,0,0,0,0,0,0,0,0
1,12,5.56379368518039,-0.228268571658266,-0.0975123014679574,6.50671163123309,7.37549473670024,0.0059134378398217,4.05389294992207,0.250552241265876,5.6943170504102,-0.00106611632018715,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.361853294022257,-0.127490610632284,0.00952725500799424,0.495581995202232,-0.0233473398481125,0.00312668093092881,-0.232534027087449,0.406791624248418,0.474842907848137,0.0716881278515903,0,0,0,0,0,0,0,0,0,0,0,0
2,12,5.3101522835796,-0.260328978665751,-0.0689637336000875,5.10888406062731,7.36884801367725,-0.00163792536730387,4.88754991339934,-0.323657413181393,5.13556352948935,-0.0018051030463514,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.108211892421466,-0.159551017639769,0.0380758228758642,0.253728789298995,-0.0299940628711033,-0.00442468227619677,0.601122936389817,-0.167418030198851,-0.0839106130727121,0.0709491411254261,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3.0366047554545,-0.0335060654722639,-0.165119533924669,8.46506779311694,7.32346970356294,0.00264302851513393,4.08934160589287,-0.223313312543429,5.90247020897599,0.0161890617624351,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-2.16533563570363,0.0672718955537185,-0.0580799774487172,0.75869581656199,-0.0753723729854165,-0.000143728393758961,-0.197085371116649,-0.0670739295608869,0.68299606641393,0.0889433059342126,0,0,0,0,0,0,0,0,0,0,0,0
1,13,7.51164985998034,-0.0684699148938719,-0.116205726183302,1.33643880967446,7.41657030485023,0.00332703360327318,4.2665546346783,-0.226570325247664,6.0802521513753,-0.175286561860198,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,2.30970946882221,0.0323080461321104,-0.00916616970735044,-1.08724373608702,0.0177282283018796,0.000540276694380283,-0.0198723423312224,-0.0703309422651222,0.860778008813241,-0.102532317688421,0,0,0,0,0,0,0,0,0,0,0,0
2,13,7.42305132534598,-0.0549281487507838,-0.0783393495285081,3.16223066680495,7.36980349211312,0.00543491711318678,4.80625613228555,-0.233336806205197,6.28036916215712,-0.181452999711399,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,2.22111093418784,0.0458498122751985,0.0287002069474435,-0.22597452184833,-0.0290385844352352,0.00264816020429388,0.519829155276025,-0.077097423222655,1.06089501959505,-0.108698755539621,0,0,0,0,0,0,0,0,0,0,0,0
3,13,7.28696029231801,-0.305478335086292,-0.14276365285329,1.6921131637189,7.38730893619034,0.00478849291316362,4.85314027549186,-0.235178813770641,5.71171522650702,-0.161448512182286,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,2.08501990115988,-0.204700374060309,-0.0357240963773379,-0.851274067050486,-0.0115331403580123,0.00200173600427072,0.566713298482342,-0.0789394307880992,0.492241083944953,-0.088694268010508,0,0,0,0,0,0,0,0,0,0,0,0
1,14,3.22650626332969,-0.113214599393047,-0.0633785689645915,2.15545463199134,7.32731766470776,0.000565754994681362,4.98707507774996,-0.280103501917416,4.8855455848039,-0.0243358857115018,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-1.97543412782844,-0.0124366383670644,0.0436609875113602,-0.609250540201839,-0.0715244118405938,-0.00222100191421153,0.700648100740435,-0.123864118934874,-0.333928557758165,0.0484183584602757,0,0,0,0,0,0,0,0,0,0,0,0
2,14,1.86778033142672,-0.0541276237179847,-0.110545436493311,4.88897436688364,7.37136278525494,-0.000582527397119138,5.22907680566003,-0.322735748406253,6.12765503679058,-0.101596140183319,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-3.33416005973142,0.0466503373079977,-0.0035058800173596,0.209730332935887,-0.0274792912934103,-0.00336928430601203,0.942649828650509,-0.166496365423711,0.908180894228522,-0.0288418960115419,0,0,0,0,0,0,0,0,0,0,0,0
3,14,5.70959071071566,-0.273468866829474,-0.0784621169101783,8.72473978774174,7.34813021649261,0.000578336447566095,4.91352568517239,-0.291815864553993,5.7149036868205,-0.0791234281371641,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.507650319557529,-0.172690905803492,0.0285774395657733,0.788910436260627,-0.0507118600557392,-0.0022084204613268,0.627098708162872,-0.135576481571451,0.495429544258435,-0.00636918396538656,0,0,0,0,0,0,0,0,0,0,0,0
1,15,5.88255737449732,-0.318176788020202,-0.161632965452624,4.83652686177304,7.4875761891278,0.0036165492085464,4.87297857921843,-0.111679115791283,4.08283542692816,0.0164959893887051,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.680616983339187,-0.21739882699422,-0.054593408976672,0.19894466496585,0.0887341125794494,0.000829792299653509,0.586551602208905,0.0445602671912591,-1.1366387156339,0.0892502335604826,0,0,0,0,0,0,0,0,0,0,0,0
