rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha21,eta_alpha23
1,6,1.24606264494681,-0.0262759747559613,-0.0379062314232023,0.433903168807432,0.867572905066585,-0.0821431050841262,0,0,0,0,0,0,0,0
2,6,0.710114433698926,-0.0920274042780239,0.190537996338148,-0.332120919887044,0.802240372814287,-0.0109865974269642,0,0,0,0,0,0,0,0
3,6,-0.901758579525168,0.0596081232719881,0.0390616759803067,0.965548273660495,-1.28241184621817,-0.00382019728928604,0,0,0,0,0,0,0,0
1,7,-2.52055628738584,-0.0633567221595544,-0.00675359625219582,0.945835893152534,-0.196609197207016,0.198370572507334,0,0,0,0,0,0,0,0
2,7,-1.04055216146984,-0.059695883480472,0.0619820754014529,0.534852707478743,-0.443984967638224,0.27780614102284,0,0,0,0,0,0,0,0
3,7,-0.339324483857578,-0.22983829190978,0.0532561702229052,0.416796981000187,0.421465951454526,-0.0485372708818378,0,0,0,0,0,0,0,0
1,8,2.7810914340925,-0.136578190778316,-0.0256791559935065,0.845110587662735,-0.140100407231333,-0.0264203649520749,0,0,0,0,0,0,0,0
2,8,-0.844398759976059,0.189570985319399,0.0289354800683717,-0.954282162357148,-0.441410893552195,-0.0118173134853056,0,0,0,0,0,0,0,0
3,8,0.762314770426455,0.176156593322498,0.152147171343898,-0.988355850402366,-1.0253059831981,0.00273415111370018,0,0,0,0,0,0,0,0
1,9,2.09130232233759,-0.0185115768301152,-0.027666599972351,-0.307095704070404,0.620081397493999,-0.107413288924207,0,0,0,0,0,0,0,0
2,9,1.94355660188471,-0.0700417554601287,-0.0990928770738721,-0.933312708125793,-0.641703131369992,-0.0284872409945082,0,0,0,0,0,0,0,0
3,9,2.28757839421282,0.133116634823722,-0.00341195160695343,-1.2744072990575,0.175030832478356,-0.0443262159912592,0,0,0,0,0,0,0,0
1,10,0.147663325113243,-0.00458757006303806,0.0284203947135293,-2.41780912632164,-0.186902767732005,0.0668293237885407,0,0,0,0,0,0,0,0
2,10,0.0367527780408032,-0.0472679345743351,0.0304918487883916,-1.13321391923232,0.0381111220382371,-0.00633332000008166,0,0,0,0,0,0,0,0
3,10,-0.0193677185869578,0.0570347930535118,0.0249779993941071,-1.41542796079165,0.15455045431219,-0.00448158018223055,0,0,0,0,0,0,0,0
1,11,-0.0984132635217128,0.241839320826917,0.08013064508396,-0.606827219043709,-0.199852139883974,-0.127511029168592,0,0,0,0,0,0,0,0
2,11,-0.732683405415126,0.0905469901996587,0.00709630656704532,0.992570963709031,-0.296912930263332,-0.112889981285408,0,0,0,0,0,0,0,0
3,11,2.37187366584272,0.0402242587804952,0.00132464929722764,-0.321075936816184,0.772135524288744,-0.205909220638268,0,0,0,0,0,0,0,0
1,12,-0.238462864455344,-0.0140054680214717,-0.0230882813497404,0.23553095215249,0.0455105023582822,-0.16989874723625,0,0,0,0,0,0,0,0
2,12,1.13320527032728,0.0998347576038572,0.14953467430894,1.29029832675531,-0.318759758790027,0.126058891014965,0,0,0,0,0,0,0,0
3,12,-0.556765604950097,-0.0622770974773622,0.00966616413274093,-1.80577609133073,0.191543000289184,-0.0073511068003316,0,0,0,0,0,0,0,0
1,13,-2.86241744456086,0.00787021659721041,0.0243768981024784,-0.33546238091064,1.1629498822075,0.179906802112571,0,0,0,0,0,0,0,0
2,13,-2.35047653763441,-0.0699318854723548,0.0526171375591673,-0.390752910674814,1.12031629230753,-0.15139939470986,0,0,0,0,0,0,0,0
3,13,-3.62828461984027,0.196330088779554,0.0795540425143671,-0.515439710869406,0.842951473801138,0.313656148034525,0,0,0,0,0,0,0,0
1,14,1.35879363152833,0.224562402404913,0.0172393701402011,-0.428143630980147,-0.381024807929488,-0.062478433018348,0,0,0,0,0,0,0,0
2,14,0.525523065702998,0.114691980890254,0.0204071109383377,0.528382672938809,-0.324124906982059,-0.0431662608024926,0,0,0,0,0,0,0,0
3,14,1.31351710231877,0.149692310358627,-0.0446901195366095,-0.585313702460507,-0.297074349643622,0.224819864101474,0,0,0,0,0,0,0,0
1,15,-0.74389159189294,-0.19620392155756,0.0177404319530964,-0.181027420129728,-0.994135814209776,0.16691307949373,0,0,0,0,0,0,0,0
2,15,-0.702443830967183,-0.191609006086187,-0.0105492113555092,0.0695309281799734,-0.260101306896766,-0.00734131053352072,0,0,0,0,0,0,0,0
3,15,-2.39098781744873,0.105899671271214,0.118625268333761,0.350627232705564,-0.21425601119056,-0.0332107055991121,0,0,0,0,0,0,0,0
1,16,-0.592517734890818,0.0897363445114451,-0.0969105380294329,0.0664921730216224,0.285942604733698,0.0166087300395394,0,0,0,0,0,0,0,0
2,16,-0.124105817576941,0.0636897239927394,0.0201611350229308,-1.04318127706816,1.28382143846921,-0.0931626964793005,0,0,0,0,0,0,0,0
3,16,-0.37275720896989,0.0552449873338848,0.0390082268342402,-0.551907571454151,0.718607360318611,-0.1174994287763,0,0,0,0,0,0,0,0
1,17,1.62142835182914,-0.182221133440475,-0.127723209489774,-0.460447021073064,-0.909673030028381,-0.0851973929222816,0,0,0,0,0,0,0,0
2,17,2.5774931601853,-0.0980588925413956,-0.10393916437325,-0.581208664959791,-0.643111608413962,-0.139374035094866,0,0,0,0,0,0,0,0
3,17,1.48632510403523,0.0553150786936696,0.0307986011339351,-0.185707618585929,-0.261715898773153,-0.158906105612043,0,0,0,0,0,0,0,0
1,18,-1.13885502548425,-0.128602992176489,0.062937106378142,-1.48077104239358,-0.683884846113115,0.258032389104205,0,0,0,0,0,0,0,0
2,18,-1.19799622883271,-0.113753535769425,0.0103937391986956,-0.777275797550408,-0.316273054912979,0.228227393826635,0,0,0,0,0,0,0,0
3,18,-0.978658074730741,-0.0764346488355396,-0.00319308398643436,-0.00346394231682878,-0.236766261847197,0.240785625780328,0,0,0,0,0,0,0,0
1,19,-1.83618146562676,0.00944457466148044,-0.0398421406477835,-0.215913277985598,1.13938421061969,-0.0912547201701184,0,0,0,0,0,0,0,0
2,19,-1.3849101265913,-0.0696810952585108,-0.0248504172466517,-0.745660622778542,1.01515207068283,0.0231647485960786,0,0,0,0,0,0,0,0
