rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha21,eta_alpha23
1,7,-1.03161050254381,-0.118088941528374,0.102422338319567,-0.569625039178895,-1.14405801948932,0.0524603629600982,0,0,0,0,0,0,0,0
2,7,2.5204488628917,-0.051463747529767,-0.0404653475567363,-2.45990308778373,-0.270009827029866,0.0194227641627292,0,0,0,0,0,0,0,0
3,7,-0.1753482594405,-0.0263859827061472,-0.145786981260887,-0.68937649833687,-1.37738973406853,-0.043889888328395,0,0,0,0,0,0,0,0
1,8,1.6577922926063,-0.0120383442814845,-0.0111592361297285,-0.0534563611756269,0.672183825001526,-0.00015374075416405,0,0,0,0,0,0,0,0
2,8,1.5681428990028,0.0894134300764618,0.00926277736257676,-0.136718209940426,1.2094971583402,0.107420464481344,0,0,0,0,0,0,0,0
3,8,-0.430818489371789,-0.0199167638972708,0.0120694865725179,-0.172053398181306,0.033455253812261,-0.160526331143366,0,0,0,0,0,0,0,0
1,9,-3.63960610685065,0.0863872626333759,0.0282624355278236,0.165091211497719,-1.5104780234507,-0.0361421500932834,0,0,0,0,0,0,0,0
2,9,-2.69777561942528,-0.0267115593802016,-0.00688569561702784,0.246373406955466,-0.807672260334395,-0.0459836904470082,0,0,0,0,0,0,0,0
3,9,-2.18381567023904,-0.0813670767746696,0.029381128288799,-0.0164449961869566,-1.43948297440289,-0.157421896353975,0,0,0,0,0,0,0,0
1,10,-1.65001200598287,0.00655909684449002,0.0468134094497476,0.905484131394645,-0.789716766916641,0.0256732562664327,0,0,0,0,0,0,0,0
2,10,-1.51656608963158,-0.177983972837095,0.0173429117432599,0.0531799061710743,-0.0233840762354713,-0.172154684918846,0,0,0,0,0,0,0,0
3,10,-2.12428768310027,-0.103873485602211,-0.0236164171534095,0.385998740577434,-0.790894903511518,0.0303381352380982,0,0,0,0,0,0,0,0
1,11,0.0263886132130962,0.0253747785519206,0.0419147579413356,-1.12796786257381,-0.231138448582743,-0.0457328735037759,0,0,0,0,0,0,0,0
2,11,0.461823800714254,0.0792449955972526,0.0472273729849959,0.50989751374032,0.612307132999935,-0.207287816892075,0,0,0,0,0,0,0,0
3,11,-0.387311510548692,-0.0905637322292659,-0.100006222623287,-0.389380710037002,-0.599422203600032,0.00397807508157416,0,0,0,0,0,0,0,0
1,12,1.41496627272744,-0.0621902617587603,-0.109162774022051,-0.0826791190759744,-0.748319078403174,0.0791545618555611,0,0,0,0,0,0,0,0
2,12,1.19821196982852,0.0980885104494413,0.0376616572406355,-0.62749444678615,-1.113006842926,0.114852631968058,0,0,0,0,0,0,0,0
3,12,-1.19195771467992,0.0578205266554145,-0.0938677291794682,0.938432814696328,-0.242432578650932,0.0630374441789081,0,0,0,0,0,0,0,0
1,13,1.21960617797486,-0.0858941519228032,-0.0159015123972515,0.523629421758188,0.954086780924818,-0.490938194736872,0,0,0,0,0,0,0,0
2,13,0.433603104582735,-0.00650573766151488,-0.0226730065999586,0.568209698642167,-0.297040912757164,-0.238539712737309,0,0,0,0,0,0,0,0
3,13,2.10345829337048,-0.193992658307128,-0.0820430491082695,-0.874295588125705,-0.204774414928063,-0.00820477092313299,0,0,0,0,0,0,0,0
1,14,-0.689036147540498,-0.0224921737544356,-0.00261461330462975,-1.11805683180787,-0.383436123121382,0.0614927415120528,0,0,0,0,0,0,0,0
2,14,-0.099435030286676,-0.015994611747511,0.0154571815455584,0.589837274085916,-0.359040766102424,0.079289461907946,0,0,0,0,0,0,0,0
3,14,0.641011566737289,-0.0810225257563721,0.0254640352801035,0.497133763487248,-0.0377003184688336,0.054579963599452,0,0,0,0,0,0,0,0
