rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha21,alpha22,alpha23,alpha24
2,4,3.27676870239601,-0.0274045335012355,-0.119736511087313,17.4256253337164,7.37891224845246,0.0154870369263926,5.16159068070409,-0.136304375610213,4.000933673897,-0.0437961759990124,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
3,4,5.02000037486,-0.101965494915239,-0.134732080141846,11.4930679786259,7.41213208982578,-0.00049062202507818,6.08751592900319,-0.414544538886629,4.21492540062738,0.0635593089590287,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
1,5,4.09973115460471,-0.19678962374527,-0.0805222722751327,8.21065302935788,7.4058862315965,-0.00465140467310821,5.67626515452177,-0.301542521636821,4.64620855421144,0.00280128346866918,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
2,5,3.05529847933635,-0.149992171252952,-0.122964227772256,16.158967783828,7.47928983360653,-0.0135361165087486,4.55063899481321,-0.254863280514802,4.6650726505066,-0.0054041984682509,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
3,5,2.34180946305327,-0.196179390459804,-0.0841931163360899,2.60460338549224,7.43295945778452,-0.00817462857805854,5.07568727619406,-0.294088558163148,4.54736802575993,-0.0357920595943753,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
1,6,3.66106152999077,-0.205635144308652,-0.108659103393858,4.35248438237344,7.41169063295469,-0.00463861728533205,4.8221919905008,0.045185288531324,6.78367992700721,-0.0882108103068869,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
2,6,4.14035536017777,-0.283358772698194,-0.05311926654136,2.66720769045639,7.41572134441031,-0.00434800832830471,4.1881301287891,0.0868603269682525,6.54965890180746,-0.0959938243887603,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
3,6,3.25981659863511,-0.314142328665041,-0.196924966055631,2.84869994286014,7.37942638237722,-0.003249246854923,4.41954525411986,0.0814782357177771,6.37862018161064,-0.0994523252070636,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
1,7,5.75092988265657,-0.218770252043699,-0.0898763384814069,7.34114669446058,7.31061013539362,0.00698688376010662,3.54784460814587,-0.131329354074899,5.13347996663123,0.060272910378417,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
2,7,4.92734278764339,-0.254363285841175,-0.0856429576808555,2.92059823226281,7.26300426973829,0.00224286813871732,3.63795792504011,-0.156074393828048,4.91774585395241,-0.00627277016181899,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
3,7,4.16790013724146,-0.211818934538778,-0.118358638459597,19.6376049884476,7.3503186687871,0.00894058729112779,4.00649461173535,-0.222332148609349,5.75991534129129,0.0135663116621692,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
1,8,2.06751796857483,-0.10986317329991,-0.158571508060621,46.2673735019456,7.42801693497792,0.00585762646214776,4.79825318099155,-0.211251368399895,4.66341072817233,0.0970479333714006,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
2,8,1.43217386720873,-0.0778508016362949,-0.218981610168368,19.6252988315287,7.4025674402181,0.00745898898146266,5.67055754934566,-0.260595113708767,4.6960356930015,0.0904985535186071,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
3,8,1.54192628059131,-0.0837593493214566,-0.146416185619229,30.24062582988,7.38761109153747,0.00803539367038066,5.08973790105583,-0.248503256889058,4.65691814772488,0.0927425846550481,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
1,9,3.9545285142491,-0.106293570363865,-0.130272149901818,5.76138154067025,7.37966798583494,0.00664839521345863,3.85617097370697,-0.0272374886835084,4.53778134384568,0.105688318349641,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
2,9,5.05733552438207,-0.112539053063263,-0.129228384094821,1.90583175505847,7.42836743257408,0.00411472799003791,4.906651010162,-0.132804310439544,4.38936474814017,0.0743178858651078,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
3,9,6.33702103533297,-0.401860932562984,-0.0756369466485919,2.47148515817755,7.40673102479027,0.00296703994378547,4.2102674897437,-0.115315711694996,3.92946520764036,0.0955876826865987,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
1,10,4.52148347845812,-0.20071306702055,-0.232356245607416,5.22561208273253,7.38269423795075,-0.00343497294506771,3.89914982787293,-0.141220365059179,4.33408384778359,0.0675401973708515,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
