rep,id,eta_b0,eta_b1,eta_b2,eta_a,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
2,12,3.5694885108738,-0.0754978845455394,-0.559113402213188,0.374702566360429,0,0,0,0,0,0,4
3,12,1.88943856179298,0.0520297121426364,1.59540700600458,-0.944112254976321,0,0,0,0,0,0,4
4,12,0.214519332769599,0.0207311065808771,-0.139151738100026,0.515204484866608,0,0,0,0,0,0,4
5,12,3.05143934086614,-0.0384235170014342,0.800502136631063,0.391654728491824,0,0,0,0,0,0,4
6,12,2.13177029415756,-0.00228771228075712,0.377478305344005,0.481535504436894,0,0,0,0,0,0,4
7,12,-0.862695812621773,0.154177430540199,-0.985029939816499,0.220196359322683,0,0,0,0,0,0,4
8,12,-1.44048615856317,-0.00811818974135749,-1.87732018450833,0.40522560410554,0,0,0,0,0,0,4
9,12,2.98699494268827,-0.0832233770217615,0.0188832131012209,0.415414641763729,0,0,0,0,0,0,4
10,12,5.32325158295031,-0.0272701612677703,0.435861476647408,-0.138784429708239,0,0,0,0,0,0,4
1,13,1.88927487917826,-0.0030705233396053,-0.84013647300386,0.39601069969752,0,0,0,0,0,0,15
2,13,1.17864411107068,-0.0120774151238963,1.29851971540998,0.275502906504931,0,0,0,0,0,0,15
3,13,2.22991265301675,-0.0683083200126626,-2.10248482789271,0.200909463706407,0,0,0,0,0,0,15
4,13,4.86855116405595,0.0995455931111577,-0.41689580304823,0.857372222196891,0,0,0,0,0,0,15
5,13,4.12083014941155,0.154207261626927,-1.66864081577438,0.0777305543531539,0,0,0,0,0,0,15
6,13,3.74774475035322,-0.0370186808844185,0.201311480819514,0.618189634976278,0,0,0,0,0,0,15
7,13,-0.559686545161463,0.0599205460074057,0.606404858608257,0.348208987246817,0,0,0,0,0,0,15
8,13,-2.4331338139863,-0.00661842488031593,-1.29866926978186,0.617924749690308,0,0,0,0,0,0,15
9,13,2.69792863798039,-0.100857528253504,-0.158785384223313,0.472077345628891,0,0,0,0,0,0,15
10,13,-1.4148298149299,-0.0261105250010383,-0.181378929468099,0.372311552679832,0,0,0,0,0,0,15
1,14,-1.71931516765099,0.0497525938170401,2.04788566596572,0.130373127907757,0,0,0,0,0,0,4
2,14,-4.38151603485006,0.0474496865962475,0.0351685416164367,0.543934685879336,0,0,0,0,0,0,4
3,14,2.39841283380308,0.0349218084872127,0.51321391758783,-0.403556461768157,0,0,0,0,0,0,4
4,14,-0.425490615053967,0.0741278746103962,-1.28834831439028,-0.190592661819961,0,0,0,0,0,0,4
5,14,-3.27111043778741,0.0940731404930961,1.63550199682306,0.120260445656564,0,0,0,0,0,0,4
6,14,-1.71374589463284,0.134126779543611,0.555239103655473,-0.224615391718794,0,0,0,0,0,0,4
7,14,0.818431293565801,0.0598097421884397,-2.75165928457047,0.0971740269156991,0,0,0,0,0,0,4
8,14,1.00384647411773,0.0842448177984126,1.92155517829437,0.0500633963269728,0,0,0,0,0,0,4
9,14,1.94443919673226,0.0450530932218307,1.71572790077691,-0.998611861945141,0,0,0,0,0,0,4
10,14,3.74463034911652,0.0944494208232594,0.251045892132898,-0.956614140075307,0,0,0,0,0,0,4
1,15,-7.92277485201516,0.042601488894029,-0.944501272361443,-0.343895553691858,0,0,0,0,0,0,9
2,15,-4.20517110732593,-0.00693100564823281,0.370188669033444,-0.246553243962332,0,0,0,0,0,0,9
3,15,1.40816415758516,0.0318582587640229,-0.327856593792718,-0.904546406303332,0,0,0,0,0,0,9
4,15,-7.34888605596145,0.00078640560460936,-2.32813615525439,-0.418406049629809,0,0,0,0,0,0,9
5,15,-4.1995859014773,-0.10372545236783,0.331532656276808,-0.742924610065258,0,0,0,0,0,0,9
6,15,-6.72757132806465,0.0255529328645023,-0.172404633191388,-0.31147920051333,0,0,0,0,0,0,9
7,15,-6.39000983380759,0.0381657632387792,-1.01228184925784,-0.471159516625792,0,0,0,0,0,0,9
8,15,-3.68026244455805,-0.020915364753782,-0.498299286827009,-0.167249281973044,0,0,0,0,0,0,9
9,15,-6.37060408780585,0.00693392011775907,0.217454972839686,-1.06289912093205,0,0,0,0,0,0,9
