id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha17_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha27_SAEM
68,0.0302263,0.00308247,0.383416,0.0140467,1.64214,-0.0121088,1.34831,-3.8233,0,0,0,0,0,0,0,0,0,0,0,0
69,0.00809597,0.00337371,-0.546245,-0.128673,0.806162,0.0558848,-93.6665,-1.82074,0,0,0,0,0,0,0,0,0,0,0,0
70,-0.0391047,-0.000134112,0.0419773,0.0232282,0.23697,0.00584735,-56.0548,-0.470544,0,0,0,0,0,0,0,0,0,0,0,0
71,-0.0380356,-0.00763635,0.177392,0.0354467,-0.924265,-0.104386,213.034,3.83532,0,0,0,0,0,0,0,0,0,0,0,0
72,-0.00413224,0.000373975,-0.135542,-0.0237689,2.0379,0.000303124,-159.956,0.0457757,0,0,0,0,0,0,0,0,0,0,0,0
73,-0.0145103,4.42339e-05,-1.59989,-0.0188579,-0.645028,-0.00894569,140.281,-0.0479849,0,0,0,0,0,0,0,0,0,0,0,0
74,0.0460643,0.00577763,0.300371,-0.0547799,-1.86306,0.0236513,-83.9047,1.76066,0,0,0,0,0,0,0,0,0,0,0,0
75,0.0236216,-0.00620452,-0.71623,-0.0338185,-1.51807,-0.10929,135.226,1.99233,0,0,0,0,0,0,0,0,0,0,0,0
76,0.0602048,0.000489968,-0.109503,-0.116149,-1.36134,0.00872846,55.4144,-0.185766,0,0,0,0,0,0,0,0,0,0,0,0
77,0.00605059,0.000786867,1.03186,-0.0360529,-0.705068,-0.0899228,-29.9375,-1.70989,0,0,0,0,0,0,0,0,0,0,0,0
78,0.0206203,0.00857903,-0.812266,-0.004153,1.46816,-0.00350018,-47.8741,-2.49296,0,0,0,0,0,0,0,0,0,0,0,0
79,0.0173254,0.00045912,-0.744659,0.0193876,-2.1411,0.0140216,108.215,0.914682,0,0,0,0,0,0,0,0,0,0,0,0
80,0.0330435,0.00402274,0.128338,0.0803362,-2.44347,0.0168309,29.7133,-1.71327,0,0,0,0,0,0,0,0,0,0,0,0
81,0.0100013,2.1868e-05,0.148666,-0.0863594,2.41333,-0.0189652,55.8571,-0.525531,0,0,0,0,0,0,0,0,0,0,0,0
82,0.0436264,-0.00113072,-0.570705,0.218187,-1.69166,-0.0564777,122.163,6.33879,0,0,0,0,0,0,0,0,0,0,0,0
83,-0.0200101,0.00210378,0.579538,-0.04497,1.34339,-0.00204943,-38.653,3.09549,0,0,0,0,0,0,0,0,0,0,0,0
84,-0.00980632,-0.00307447,-0.225415,-0.114833,0.290677,0.00595583,76.4865,1.31178,0,0,0,0,0,0,0,0,0,0,0,0
85,-0.0499185,-0.000306326,0.441155,0.0130573,-0.703805,0.00148118,-69.5792,-0.518652,0,0,0,0,0,0,0,0,0,0,0,0
86,0.0731972,0.000599718,0.579099,-0.180248,-2.25873,0.022707,11.4195,-2.28144,0,0,0,0,0,0,0,0,0,0,0,0
87,0.0132491,0.00135274,-0.111608,0.171724,0.620015,-0.0197941,-82.7149,2.40516,0,0,0,0,0,0,0,0,0,0,0,0
88,-0.0164524,0.00021934,-0.91195,-0.0424283,0.604216,0.0131938,78.8162,0.0916307,0,0,0,0,0,0,0,0,0,0,0,0
89,-0.0144655,-0.000954726,-1.42408,0.00498346,1.62433,0.000147631,137.962,0.0235939,0,0,0,0,0,0,0,0,0,0,0,0
90,-0.0192609,0.00459004,-0.555844,0.0377885,-2.28808,0.0950763,26.3191,9.35584,0,0,0,0,0,0,0,0,0,0,0,0
91,-0.0603331,-0.000804339,-1.7271,-0.0443845,1.07268,0.000417727,22.8591,-0.250177,0,0,0,0,0,0,0,0,0,0,0,0
92,-0.0291525,-0.00955008,0.241595,0.0932595,-2.20156,-0.0214476,210.026,-1.40195,0,0,0,0,0,0,0,0,0,0,0,0
93,0.00900044,0.00669086,-0.599054,0.0340025,0.243589,0.0752024,92.8319,-1.37002,0,0,0,0,0,0,0,0,0,0,0,0
94,-0.0172902,-0.000320744,0.736718,0.0625645,-0.435373,-0.00545119,153.769,-0.498736,0,0,0,0,0,0,0,0,0,0,0,0
95,-0.0602408,0.00293122,-0.687465,-0.0924686,-1.01465,0.0487918,152.492,-0.734849,0,0,0,0,0,0,0,0,0,0,0,0
96,-0.0552665,-0.0040037,0.220525,-0.00823469,-2.14361,0.0712104,27.5794,-0.0803699,0,0,0,0,0,0,0,0,0,0,0,0
97,0.00677267,0.00239848,0.835252,0.0620221,0.682523,-0.00956804,-5.40438,-0.681404,0,0,0,0,0,0,0,0,0,0,0,0
