rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha27
1,7,0.0163739762949824,0.00243563871343464,-0.944285059931311,0.271760674024108,-3.34682833528554,0.0176849311569397,32.1159185418826,1.57877209844616,0,0,0,0,0,0,0,0,0,0,0,0
2,7,-0.00940804588277189,0.00328891263099919,-1.04569156360499,0.257162209759287,-3.29050830171889,0.00216894239481876,43.9233890893477,1.07683214208693,0,0,0,0,0,0,0,0,0,0,0,0
3,7,0.0269026119699678,-7.98685353151671e-05,-1.06478366689894,0.252491613137642,-2.90500338840782,-0.0226661738622789,150.641034642621,-5.73851528212571,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0.0386076243418287,-0.013377199271371,0.0345689117950521,-0.0975291320637731,-2.45892653811329,-0.167201879793728,103.126695793027,0.456573810146178,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0.0147058193330603,-0.00162189337185848,-0.267275055729375,-0.100205881557938,-2.46948635929196,-0.144719931775224,153.826212761611,-3.87500506453141,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0.028462877034336,-0.00767558210565589,-0.608478744463343,-0.147473922819521,-2.27324199568713,-0.0849971271031969,127.339459765388,0.506237105088162,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0.0277733216000016,-0.00134740363765764,0.126832985196819,0.0247911815587184,0.495421199454201,-0.0694434739012932,-38.9239800669406,-3.75577680106158,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0.0406713904740998,-0.000220702393029158,0.498236409242222,0.106871036132294,-1.21387006315039,0.0588844645191805,20.3490378920285,5.12837238596215,0,0,0,0,0,0,0,0,0,0,0,0
3,9,0.0104880099094959,-0.00180297676033217,0.519520582276732,0.136598451289583,-1.7116043663544,-0.00419642159494051,-42.0779850445501,4.42478913352603,0,0,0,0,0,0,0,0,0,0,0,0
1,10,-0.0655153726935778,0.00360279128371833,0.145038152826006,0.281667094435549,-1.2988219440274,-0.0732288571175613,-22.6379091974923,-0.504820930968437,0,0,0,0,0,0,0,0,0,0,0,0
2,10,0.0340312016879656,-0.000115394131005203,-0.0450010765424729,0.181108109219723,-2.4532391825435,-0.0544902394629829,69.416199971869,0.107120366281125,0,0,0,0,0,0,0,0,0,0,0,0
3,10,-0.00998939961255019,-0.00117561942317616,0.80393596531589,-0.0224289429452816,-2.63663111665132,-0.00795928397701896,-19.1810927302581,-3.19261294341136,0,0,0,0,0,0,0,0,0,0,0,0
1,11,-0.0130649741548599,-0.00839478359568322,-0.604816743077684,0.0140675638411263,0.0418537047009133,0.0648210717415702,-26.6465284654961,-0.739039389980109,0,0,0,0,0,0,0,0,0,0,0,0
2,11,-0.0224978462734695,0.00315548884861685,-0.34135437589705,0.217891220946806,-0.998125676228383,-0.065208265611758,21.2546702096135,-4.00131292305756,0,0,0,0,0,0,0,0,0,0,0,0
3,11,0.0337280135748825,-0.00710562321707613,-0.978063847729949,0.300018498069108,-0.027084662365473,-0.0930064677959382,-50.7217727935473,3.7290536066397,0,0,0,0,0,0,0,0,0,0,0,0
1,12,-0.00841372786365469,-0.00296982237626772,-0.102990062176784,-0.0521089784954605,2.55287541801049,-0.00117288305238362,116.624293223633,-5.23197680080866,0,0,0,0,0,0,0,0,0,0,0,0
2,12,0.00692573695686605,-0.00327967986392296,-0.832423044129332,-0.0337166101522057,2.82806050013414,-0.00752001044790362,44.0618818886703,-2.54156275607842,0,0,0,0,0,0,0,0,0,0,0,0
3,12,0.00328120388976227,-0.00236097049360797,-1.13819298452401,-0.00773588388499094,2.58260401390521,-0.00347667937476585,71.8621260455577,-3.79394925515214,0,0,0,0,0,0,0,0,0,0,0,0
1,13,-0.0234139941665399,0.00600738983459176,0.56607342919797,0.0931231687715798,0.392685908668027,0.00197966577108374,53.3249352684516,-8.85950623991767,0,0,0,0,0,0,0,0,0,0,0,0
2,13,-0.0233593787156341,0.00101270213921912,-0.302927609162823,0.0894118408586443,0.49174266418864,-0.0771821602425716,60.9596097125216,-6.00700651936301,0,0,0,0,0,0,0,0,0,0,0,0
