id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha17_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha27_SAEM
42,-0.0180237,-0.00096348,0.188534,0.0220954,-29.0654,-1.6949,0,0,0,0,0,0,0,0,0,0
43,0.00994642,-0.00369694,0.215895,0.119734,46.9946,0.356082,0,0,0,0,0,0,0,0,0,0
44,-0.0130802,-0.000296824,0.0750707,-0.0498858,-161.053,-1.33746,0,0,0,0,0,0,0,0,0,0
45,0.0356356,-0.00458821,-0.132358,0.258699,120.421,6.45156,0,0,0,0,0,0,0,0,0,0
46,-0.00666675,9.07666e-05,1.39222,-0.0392949,-130.485,0.670992,0,0,0,0,0,0,0,0,0,0
47,-0.0209291,4.98672e-05,-0.192995,-0.0173445,85.6248,0.0589296,0,0,0,0,0,0,0,0,0,0
48,-0.0126072,-0.00370748,1.30325,-0.0139258,242.116,2.94783,0,0,0,0,0,0,0,0,0,0
49,-0.0117126,0.000137762,0.479161,-0.067563,-38.7481,-0.936319,0,0,0,0,0,0,0,0,0,0
50,0.0196753,0.00385383,0.051889,0.0267766,89.6108,1.76206,0,0,0,0,0,0,0,0,0,0
51,0.058439,0.00260907,0.285107,-0.105711,25.9655,4.6116,0,0,0,0,0,0,0,0,0,0
52,-0.0301651,0.00205054,-1.15518,0.329244,1.81941,-2.73795,0,0,0,0,0,0,0,0,0,0
53,0.0363373,0.000105625,-0.73117,-0.0158044,105.96,-0.281341,0,0,0,0,0,0,0,0,0,0
54,-0.00662573,0.000384999,-0.360283,-0.0785523,-73.0006,0.521799,0,0,0,0,0,0,0,0,0,0
55,0.00220045,-0.000688609,0.729659,0.0727169,108.976,0.902641,0,0,0,0,0,0,0,0,0,0
56,-0.030656,0.00167025,-0.273165,0.0498909,81.8295,-6.15997,0,0,0,0,0,0,0,0,0,0
57,-0.0447477,0.000245933,-0.806655,-0.082685,-164.235,4.67963,0,0,0,0,0,0,0,0,0,0
58,0.0513895,0.00145781,-0.540347,0.0409985,-72.3972,-2.14935,0,0,0,0,0,0,0,0,0,0
59,0.047311,-0.000622715,0.937609,-0.107115,14.4552,3.85769,0,0,0,0,0,0,0,0,0,0
60,-0.0563451,-0.00195806,0.260801,0.0461571,46.5202,2.66438,0,0,0,0,0,0,0,0,0,0
61,0.00592206,0.000321351,-0.916603,-0.0091578,58.0839,-0.145885,0,0,0,0,0,0,0,0,0,0
62,0.0141967,0.00476307,-0.0663432,0.0787768,-25.3103,-2.7938,0,0,0,0,0,0,0,0,0,0
63,-0.0140178,-0.000372217,0.170079,-0.0229802,-80.5066,0.755807,0,0,0,0,0,0,0,0,0,0
64,-0.00539507,0.00418235,-0.741169,0.0792828,-70.4958,5.61506,0,0,0,0,0,0,0,0,0,0
65,0.0342685,0.00150918,0.33851,-0.0851176,-42.4634,-0.213607,0,0,0,0,0,0,0,0,0,0
66,-0.0759311,-0.00484429,-1.42406,0.0899833,-79.1877,2.03191,0,0,0,0,0,0,0,0,0,0
67,-0.0441987,-0.000460694,1.10559,0.0427551,153.68,0.501748,0,0,0,0,0,0,0,0,0,0
68,0.0109308,-0.00215708,0.400034,0.0423153,-7.45841,0.936062,0,0,0,0,0,0,0,0,0,0
69,-0.0115641,0.000420931,-0.822561,-0.0737445,-104.305,-0.197107,0,0,0,0,0,0,0,0,0,0
70,0.0197343,-0.000905187,0.748655,0.0601313,141.929,0.402411,0,0,0,0,0,0,0,0,0,0
71,0.0428485,0.00050435,-0.635404,-0.0834688,-80.1272,-0.663823,0,0,0,0,0,0,0,0,0,0
72,-0.00709206,-0.00115359,0.514446,-0.0012145,53.7483,-0.293851,0,0,0,0,0,0,0,0,0,0
73,-0.0532994,-0.00367864,0.621242,-0.0333871,-17.2203,0.874533,0,0,0,0,0,0,0,0,0,0
74,0.00538651,0.000819754,-0.077864,-0.110894,-55.3869,-0.547787,0,0,0,0,0,0,0,0,0,0
75,0.0111354,-0.00127463,0.749499,0.145198,56.853,0.525191,0,0,0,0,0,0,0,0,0,0
76,-0.023211,-0.00117844,0.41121,0.0630096,-20.0852,0.122221,0,0,0,0,0,0,0,0,0,0
77,-0.00058675,-0.000919711,0.990394,0.0748666,57.6748,0.512653,0,0,0,0,0,0,0,0,0,0
