id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b07_SAEM,b17_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha17_SAEM,alpha22_SAEM,alpha23_SAEM,alpha27_SAEM
82,7.40449,0.00268691,4.58418,-0.064002,458.978,-5.24211,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
83,7.44158,0.00662291,5.08204,-0.0594648,230.552,-6.40671,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
84,7.34286,0.00806358,4.58546,-0.0700705,260.649,-9.08156,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
85,7.39927,0.00503129,5.43486,-0.233239,376.284,-8.09516,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
86,7.4167,0.00548794,3.94096,-0.0128078,258.795,-11.9039,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
87,7.3461,0.00131335,4.82385,-0.0742533,366.165,-5.33229,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
88,7.39155,0.00448049,4.22716,-0.158999,353.744,-5.98815,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
89,7.39247,0.0036596,4.35328,-0.114366,378.409,-4.69747,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
90,7.42041,0.00599068,4.02979,-0.264083,299.833,-7.32793,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
91,7.3721,0.00536287,4.14288,-0.147163,323.728,-8.18181,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
92,7.3742,0.00109419,4.34261,-0.329879,329.977,-1.92989,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
93,7.45297,0.00390811,3.26391,-0.149373,469.938,-6.00558,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
94,7.39195,0.00502185,3.44756,-0.131994,255.239,-5.91854,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
95,7.39056,0.00464088,4.18703,-0.15155,217.875,-6.23731,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
96,7.41007,0.00793521,3.85504,-0.193436,343.484,-7.61264,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
97,7.4253,0.00500455,5.1557,-0.23438,330.128,-5.7305,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
98,7.39846,0.00452136,4.11871,-0.151444,375.317,-6.26125,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
99,7.38398,0.00342535,4.95971,-0.0736116,358.254,-5.32893,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
100,7.4027,0.0069027,4.98213,0.0256111,483.002,2.96055,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
101,7.42626,0.00844358,2.95559,-0.189761,248.492,-2.31514,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
102,7.41939,0.00521931,3.55383,-0.169572,487.991,-4.42043,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
103,7.35643,0.0064015,3.66981,-0.168336,414.106,1.97111,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
104,7.38053,0.0057792,5.46604,-0.056964,395.245,-0.809116,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
105,7.43967,0.00229705,3.45947,-0.0554032,524.804,-5.46215,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
106,7.45659,0.00534436,3.81398,0.0688551,349.602,-5.22037,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
107,7.39651,0.00476091,4.58719,-0.173018,334.169,-5.97691,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
108,7.3436,0.00277288,5.25088,-0.0709429,341.553,-5.85733,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
109,7.39371,0.00441809,5.79594,-0.164805,388.559,-6.07834,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
110,7.39499,-0.000861415,5.32321,0.0677547,330.921,-17.5467,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
111,7.41415,0.00491075,3.97595,-0.140175,406.539,-5.59159,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
112,7.39284,0.00337345,4.3264,-0.155848,250.65,-4.47251,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
113,7.38778,0.00535346,3.86174,-0.115662,325.952,-5.98053,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
114,7.37271,-0.00527378,4.91118,-0.495037,293.153,-9.61105,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
115,7.41269,0.00402854,2.7849,-0.196267,299.981,-5.44017,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
116,7.42346,0.00496693,4.19683,-0.00349494,549.548,-3.71132,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
117,7.3713,0.00371144,4.83191,-0.192402,315.331,-7.09808,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
118,7.36985,0.00355925,4.03483,-0.152772,306.889,-5.83675,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
119,7.38499,0.00420345,3.00066,-0.247633,406.622,-6.12018,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
120,7.43511,0.00529167,3.66676,-0.271526,151.082,-6.18598,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
121,7.41608,0.00427862,4.74186,-0.173947,477.076,-5.68875,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
122,7.36541,0.00924115,3.42462,-0.237387,89.2733,-1.56793,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
123,7.4086,0.00361094,3.7703,-0.141476,302.691,-5.49701,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
124,7.3546,0.00559752,4.92451,-0.126421,468.827,2.4666,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
125,7.34724,0.00277734,3.92368,-0.0747719,309.452,-5.62815,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
126,7.4429,0.00467129,4.21085,-0.205298,317.728,-5.16329,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
127,7.37903,-0.000400037,3.21382,-0.0215882,296.154,-12.8363,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
128,7.40711,0.00940022,5.22195,-0.119156,264.091,-1.66575,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
129,7.32448,0.00384147,4.19053,-0.256894,319.815,-5.97844,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
130,7.44827,0.00046899,3.85187,-0.237678,291.503,-6.51407,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
131,7.43624,0.00903294,4.0915,-0.0702442,263.906,-2.52838,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
132,7.36803,0.00387154,5.10278,-0.181235,179.044,-5.40433,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
133,7.3793,0.00439602,3.68325,-0.121878,267.275,-5.79556,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
134,7.40849,0.00294402,3.92712,-0.277672,241.964,-4.50507,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
135,7.38497,0.00450218,3.98304,-0.150539,503.692,-5.7109,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
136,7.36988,0.00447526,4.18412,-0.158225,286.588,-6.02666,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
137,7.4256,0.00489365,4.84332,-0.37857,369.14,-4.72603,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
138,7.39069,-0.000235756,4.11744,-0.216522,411.794,-3.96708,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
139,7.44614,0.00549182,3.35197,-0.305553,301.103,-5.14306,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
140,7.38343,0.00506026,4.34168,-0.269915,211.882,-6.34933,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
141,7.42301,0.00423746,3.97449,-0.145104,267.5,-5.64865,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
142,7.39344,-0.000182008,4.4089,0.0870749,281.326,-4.43892,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
143,7.40902,0.000575393,4.84375,0.0978918,369.24,-9.0926,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
144,7.40264,0.00422526,4.01778,-0.118518,375.942,-6.21931,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
145,7.32278,0.00271386,4.25941,-0.0523119,250.576,-5.90495,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
146,7.36914,-0.00179199,3.0135,-0.00099488,315.842,-6.09143,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
147,7.39851,0.00614271,2.83056,-0.384916,391.009,-6.58872,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
148,7.39307,0.00745886,2.39069,-0.372874,215.087,-9.94217,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
149,7.41651,-0.000574139,3.42043,-0.0701999,225.24,-3.03513,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
150,7.39292,0.00418915,4.00012,-0.144499,285.39,-6.20833,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
