rep,id,b02,b12,b03,b13,b04,b14,b07,b17,p1,g1,p2,g2,alpha12,alpha13,alpha14,alpha17,alpha22,alpha23,alpha24,alpha27,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha27
2,4,7.43303531709561,0.0108511267477201,4.64006312504111,-0.360625245940686,4.29986006024142,0.117956235977181,288.837086014983,-0.0472863718682492,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.031989802135417,0.0087290298032853,0.358302898330128,-0.199248207782559,-0.808595723437461,0.104867971757665,-54.7083547597487,5.09695787357191,0,0,0,0,0,0,0,0,0,0,0,0
3,4,7.41447119346748,0.00771429790637158,5.34257877039185,-0.111252049166797,5.97613433213925,-0.00132608401684193,406.693439845735,-10.8774469987926,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.0134256785072822,0.00559220096193676,1.06081854368087,0.0501249889913302,0.867678548460367,-0.0144143482363579,63.1479990710028,-5.73320275335244,0,0,0,0,0,0,0,0,0,0,0,0
1,5,7.42023854117285,0.00493410567888698,4.88727244474051,-0.0696715904839369,4.13775544081884,0.0762139820681648,327.358693912628,-1.63830639445506,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.0191930262126494,0.00281200873445217,0.605512218029519,0.0917054476741904,-0.970700342860041,0.0631257178486488,-16.1867468621037,3.50593785098511,0,0,0,0,0,0,0,0,0,0,0,0
2,5,7.37540721919781,0.00630279893852434,5.43524361214989,-0.0249526283142731,4.59163985115597,0.00503208585257277,309.409098522388,-5.18362200171186,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,-0.0256382957623895,0.00418070199408952,1.1534833854389,0.136424409843854,-0.51681593252292,-0.00805617836694321,-34.1363422523441,-0.039377756271695,0,0,0,0,0,0,0,0,0,0,0,0
3,5,7.45651486577095,0.00289960814437973,5.2458208629053,-0.0550176177990351,3.67988698377881,-0.0114704688793937,388.165916806101,-6.43849107961565,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.0554693508107515,0.000777511199944913,0.964060636194309,0.106359420359092,-1.42856879990007,-0.0245587330989097,44.6204760313693,-1.29424683417549,0,0,0,0,0,0,0,0,0,0,0,0
1,6,7.45031711669782,-0.000883865006976952,6.30353652112981,-0.293070665043506,4.21938385599266,0.0510916490193383,407.284402460127,-6.53220550637527,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.0492716017376207,-0.00300596195141177,2.02177629441882,-0.131693626885379,-0.889071927686223,0.0380033847998223,63.7389616853949,-1.38796126093511,0,0,0,0,0,0,0,0,0,0,0,0
2,6,7.41321149612385,0.00283930787329214,5.53962497960907,-0.0500188914514238,5.1538102013674,-0.131157456435348,372.533774952237,-11.4178955102038,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.0121659811636547,0.000717210928857321,1.25786475289808,0.111358146706704,0.0453544176885163,-0.144245720654864,28.9883341775047,-6.2736512647636,0,0,0,0,0,0,0,0,0,0,0,0
3,6,7.40453263899129,0.00184565956525058,5.80700813705393,-0.258187630163188,6.52867989164772,-0.070572220564037,284.983925602781,-8.40811418254799,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.00348712403109541,-0.00027643737918424,1.52524791034294,-0.0968105920050603,1.42022410796883,-0.083660484783553,-58.5615151719505,-3.26386993710783,0,0,0,0,0,0,0,0,0,0,0,0
1,7,7.41741949125518,0.00455773565786946,3.33747516677968,0.110383635865981,1.76162744839335,0.0307731953764557,375.661359316615,-3.56547214699401,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.0163739762949824,0.00243563871343464,-0.944285059931311,0.271760674024108,-3.34682833528554,0.0176849311569397,32.1159185418826,1.57877209844616,0,0,0,0,0,0,0,0,0,0,0,0
2,7,7.39163746907743,0.00541100957543401,3.236068663106,0.0957851716011599,1.81794748196,0.0152572066143347,387.46882986408,-4.06741210335324,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,-0.00940804588277189,0.00328891263099919,-1.04569156360499,0.257162209759287,-3.29050830171889,0.00216894239481876,43.9233890893477,1.07683214208693,0,0,0,0,0,0,0,0,0,0,0,0
