rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b05,b15,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,alpha27
2,4,7.26500023995323,0.0463452840357807,-0.157770582500462,3.07797217427544,7.40931530463841,0.00551087557743124,5.01156165926774,-0.189919963291523,3.74970319091072,0.0159843225187064,7.81337294732984,-0.163021325658376,5.32309167234832,-0.169484970239061,394.519439766472,-3.63793190934676,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
3,4,5.69823391125532,0.0102564711000919,-0.120902364350908,8.32308774855935,7.4039279124434,0.00560416401587219,4.21910682424032,-0.115782773078125,3.80071718927494,0.00707913718306721,7.47025192089871,-0.129295334951332,4.79825200546313,-0.150021191885378,398.781638410058,-4.26263396746357,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
1,5,4.45485058556263,-0.200754813050978,-0.14457272521444,6.28336094019191,7.44947063692923,-0.00205408165051062,3.01425867688389,-0.0934653253680401,7.91425539252433,0.00573628585349713,5.92621608583375,-0.242798355472883,4.77256056834396,-0.00857878879713187,178.055066382926,-17.4043941875484,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
2,5,4.37476499190257,-0.075317252038224,-0.0680798238748698,6.2170025735961,7.38673186197273,0.00652035703671827,3.41407747966509,-0.358817381719865,8.62039046539158,-0.189766690899211,5.33319596509843,-0.0300101660849178,4.2907437077113,-0.11119111208002,145.323126013374,-1.42510687254735,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
3,5,3.59376308201385,-0.111598963929881,-0.13854887931605,5.7316162588633,7.40649776116781,0.00689573993662872,3.41074947200425,-0.172518532958572,8.69884177774782,0.0371884728367741,5.88194691235973,-0.0260781522840682,5.03508258063042,-0.0773701138324975,151.104619934224,-5.89677369964916,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
1,6,7.11094559319102,-0.291183331838467,-0.168676640715228,4.73323472580763,7.44773285853175,-0.0021818084269588,3.62038624945628,-0.0248604231233901,6.50506821420717,-0.102669027432992,7.719293260639,0.160113021457423,4.65849490843064,-0.120739190531338,387.539510174373,-1.06110794330383,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
2,6,5.21758628077684,-0.01530143681516,-0.14061529864608,3.9814975133934,7.43212465999514,-0.00163563741183009,2.82139532655994,-0.00529625844637704,6.42085433436674,-0.0915283395899752,7.33177380958702,0.174464941492356,4.77960096357941,-0.129780665574293,417.403655904021,0.70594343286199,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
3,6,7.40240870538215,-0.157904189943268,-0.134336081597041,9.10217171348134,7.43218109286637,-0.00217200265249884,3.27387782490157,0.00730428702196161,6.17301341455184,-0.101376226450985,8.12219086741813,0.127742187368137,4.48378613746183,-0.118028811260511,413.21927655758,-1.47520607254828,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
1,7,4.52819392784848,-0.207101734210263,-0.0682487921953288,9.48693040795017,7.36406930480129,0.00517420998873817,2.80987039487019,-0.169621703956517,2.35487376175935,-0.113224340895753,6.75137558525139,-0.149188485002403,5.39741798931087,-0.255813857525627,431.347767812964,-17.4690629773994,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
2,7,4.2975413534455,-0.177856526018377,-0.085592551198163,6.715630522488,7.37035816807057,0.00213010222857078,2.96111973461313,-0.0575483102346618,2.94980280067307,-0.0848801461464969,7.13045926817748,-0.0906510525284885,5.30152338636718,0.0547418953484879,420.348160244334,-4.22277733094154,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
3,7,5.94337909004418,-0.0114742339829475,-0.184070696717075,4.30856344994087,7.32762950550769,-0.00356487147865321,2.99348037596367,-0.145625418213514,4.05940696570861,0.0501229626897769,6.97198173114799,-0.0237927161760648,5.45840897991285,0.00547135001421077,435.132444576342,-3.6733797209838,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
1,8,3.27016936001331,-0.0263078204216953,-0.161176542956735,5.46154936578185,7.38407475066718,-0.000928311440016829,3.37297199589156,-0.173514321477581,4.35346194829766,-0.00909867703805754,6.41743511721111,-0.0716455163623594,5.93333427504989,-0.198884914398119,250.302516581369,-7.918201583539,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
2,8,7.91320338599375,-0.0643169420695933,-0.103045894189627,21.1628030776128,7.45871423597088,0.00578311427447265,4.18329654080333,-0.201636758137331,3.31004904651823,0.0948733421896093,6.90711244475749,0.0672987163306441,5.44265459095374,-0.00278944382712519,300.474630542136,0.257293373164776,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
3,8,5.12795582682004,-0.234971925122858,-0.163245626191222,16.4217844834145,7.45333658889019,0.00388176220609762,2.75562259516943,-0.364978591391202,3.54180178144621,-0.0623605181826958,7.49006123727975,-0.286999503818909,5.51379845384547,-0.136787301059813,375.660308134286,-6.73977590131999,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
1,9,2.28242011026861,-0.0265257514135121,-0.0927574815889922,15.0897079158138,7.37729120930122,0.00585027236257987,3.83279486498103,-0.346136394538809,5.3548814226162,0.112043319727933,5.73364028816999,-0.189941894071508,5.62341132881218,-0.064524763537483,306.281168295842,-5.34785721699789,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
2,9,2.30219993230899,-0.070050903837308,-0.148296819099439,6.30237640607552,7.41116929591086,-0.00558454189229659,3.13034625737771,-0.273117322327453,5.73277558740678,-0.0200608190058433,6.54502133122457,-0.323396818850916,5.12355704088655,0.0714517957698398,342.864280952981,-9.13529494081938,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
