id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha21_SAEM
169,1.45803,0.0478135,-0.0422031,0.522716,0,0,0,0,0,0
170,1.33482,-0.00597192,7.98208e-05,-0.0552921,0,0,0,0,0,0
171,-0.495518,-0.00656567,-0.00266963,-0.300897,0,0,0,0,0,0
172,0.721408,0.190746,0.00225142,0.770281,0,0,0,0,0,0
173,-0.510254,-0.0121398,0.00195194,-0.00678967,0,0,0,0,0,0
174,-1.20787,-0.0261441,-0.00313497,-0.385457,0,0,0,0,0,0
175,1.97627,0.133801,-0.00397886,0.0118837,0,0,0,0,0,0
176,1.94454,0.00728173,-0.0159203,-0.2101,0,0,0,0,0,0
177,2.24693,0.0423857,-0.0135587,-0.126208,0,0,0,0,0,0
178,0.0130526,0.0221253,-0.0040817,-0.0601781,0,0,0,0,0,0
179,0.06391,0.0157636,-0.0130849,-0.209043,0,0,0,0,0,0
180,1.33091,0.0107231,-0.00774751,-0.290981,0,0,0,0,0,0
181,0.986122,0.0212858,-0.00893081,-0.0846282,0,0,0,0,0,0
182,2.66724,0.105886,-0.0104649,0.297305,0,0,0,0,0,0
183,1.71003,0.020107,-0.0197908,-0.0788588,0,0,0,0,0,0
184,0.726416,-0.0162115,0.00177517,-0.201724,0,0,0,0,0,0
185,1.88827,0.0263083,-0.0113572,-0.254092,0,0,0,0,0,0
186,0.913981,-0.103664,0.0329305,1.15945,0,0,0,0,0,0
187,1.42526,-0.0102741,0.00425351,-0.0759972,0,0,0,0,0,0
188,1.18753,0.0265176,-0.0235106,0.0301446,0,0,0,0,0,0
189,-0.79473,-0.00632241,0.00230798,0.0302169,0,0,0,0,0,0
190,2.34849,0.0569899,-0.0262944,0.203053,0,0,0,0,0,0
191,0.58346,0.150697,-0.00568746,0.626903,0,0,0,0,0,0
192,1.21955,-0.0485293,0.0304828,0.0188815,0,0,0,0,0,0
193,0.0618736,-0.0351917,0.0146132,-0.265337,0,0,0,0,0,0
194,-2.5553,0.00642674,-0.00389512,-0.16286,0,0,0,0,0,0
195,1.93118,0.0112726,-0.0141586,-0.1691,0,0,0,0,0,0
196,1.20041,-0.00115154,-0.0104321,-0.264167,0,0,0,0,0,0
197,-0.679234,0.0844324,-0.0123977,0.3896,0,0,0,0,0,0
198,-0.987265,-0.09256,0.0218276,0.486621,0,0,0,0,0,0
199,-1.47074,-0.0165023,0.000708669,-0.250309,0,0,0,0,0,0
200,-0.35062,-0.0357308,0.00970811,-0.268133,0,0,0,0,0,0
201,0.295587,-0.00734864,-0.0212117,-0.166314,0,0,0,0,0,0
202,1.05834,-0.0129315,0.00878208,-0.349382,0,0,0,0,0,0
203,0.885916,0.0634058,-0.018994,0.143824,0,0,0,0,0,0
204,-3.19092,-0.0145758,-0.00307568,-0.554656,0,0,0,0,0,0
205,-2.32851,0.144569,-0.0107061,0.888224,0,0,0,0,0,0
206,-1.08975,-0.0114081,0.00326832,-0.0372935,0,0,0,0,0,0
207,0.9758,0.0267844,-0.0109603,-0.157788,0,0,0,0,0,0
208,0.354071,0.0416468,-0.0201172,0.120179,0,0,0,0,0,0
209,-2.24105,-0.00866271,0.00482166,0.0181375,0,0,0,0,0,0
210,-0.246361,0.00279988,-0.0101595,-0.228748,0,0,0,0,0,0
211,2.16624,0.03179,-0.00480835,-0.105915,0,0,0,0,0,0
212,0.904355,0.020358,-0.00794785,-0.048209,0,0,0,0,0,0
