id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,b03_mean,b13_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha13_mean,alpha21_mean,alpha22_mean,alpha23_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,b03_mode,b13_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha13_mode,alpha21_mode,alpha22_mode,alpha23_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,b03_sd,b13_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha13_sd,alpha21_sd,alpha22_sd,alpha23_sd
11,6.73343,-0.140202,-0.167456,4.80378,7.37702,-7.41096e-05,5.59346,0.182113,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,6.82552,-0.134665,-0.14539,3.69825,7.37956,-0.000913845,5.46485,0.197363,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,6.4834,-0.118125,-0.155525,3.65455,7.37412,5.73199e-05,5.56181,0.188701,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.795237,0.0860991,0.0805866,3.49909,0.0224645,0.00354203,0.472237,0.0727332,0,0,0,0,0,0,0,0,0,0
12,3.74131,-0.126423,-0.146516,5.79714,7.39672,0.00262061,3.68454,-0.180588,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,3.59904,-0.143837,-0.156111,7.76352,7.39893,0.00158029,3.68524,-0.169942,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,3.11335,-0.123724,-0.148762,3.52622,7.39735,0.00215647,3.69586,-0.152176,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.03462,0.0808018,0.0839707,15.3761,0.0271274,0.0058425,0.535212,0.159008,0,0,0,0,0,0,0,0,0,0
13,6.07416,0.029478,-0.172418,11.1643,7.36556,0.00585234,3.00324,-0.12257,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,6.60945,0.0261376,-0.15913,11.5326,7.35984,0.00628056,3.0624,-0.126631,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,5.98755,0.0269595,-0.155242,10.8149,7.35838,0.00623298,3.05625,-0.12647,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.05064,0.0133242,0.0633751,4.25399,0.0183812,0.000995854,0.277106,0.0163686,0,0,0,0,0,0,0,0,0,0
14,3.95429,0.0260754,-0.17105,9.33572,7.39949,0.00181054,3.84302,0.200225,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,3.8622,0.00928084,-0.159157,11.1157,7.39526,0.00276364,3.8474,0.204073,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,3.06624,0.00781039,-0.158191,10.5187,7.39867,0.0020163,3.8923,0.193492,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.23836,0.0467901,0.0552485,4.96775,0.0206561,0.00293398,0.357865,0.0485518,0,0,0,0,0,0,0,0,0,0
15,5.05128,-0.0859504,-0.171266,16.6509,7.38093,0.00152888,4.89056,-0.089393,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,4.816,-0.0813553,-0.167627,15.6409,7.38512,0.00302349,4.86353,-0.0793923,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,4.32731,-0.104308,-0.158637,3.95028,7.38115,0.00148285,4.89271,-0.076902,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.27182,0.0931154,0.0639938,27.0903,0.0312427,0.00629925,0.494071,0.144292,0,0,0,0,0,0,0,0,0,0
16,6.33414,-0.120657,-0.155927,7.35653,7.39556,0.00414098,3.75118,-0.165313,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,6.28953,-0.119031,-0.146668,5.14911,7.39093,0.00368225,3.7373,-0.150378,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,6.03782,-0.120134,-0.150955,3.56696,7.39341,0.00332266,3.79451,-0.146447,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.07387,0.089163,0.0706705,6.40677,0.032489,0.00597389,0.579575,0.150724,0,0,0,0,0,0,0,0,0,0
17,6.03987,-0.137282,-0.157221,3.20506,7.37742,0.00894135,4.42284,-0.0934882,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,6.07779,-0.136675,-0.154253,3.21894,7.38044,0.00864564,4.36032,-0.0895064,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,5.99685,-0.126036,-0.140194,3.49456,7.37233,0.00923751,4.37357,-0.0903097,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.712456,0.0895605,0.0665368,3.15316,0.0180495,0.00112212,0.277315,0.0141681,0,0,0,0,0,0,0,0,0,0
18,3.44633,-0.160248,-0.129064,5.89705,7.38282,0.0019338,3.41996,-0.135582,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,3.40977,-0.164597,-0.124492,5.24559,7.38016,0.00259369,3.40947,-0.121461,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,3.21439,-0.188664,-0.0965726,9.98221,7.38057,0.00243867,3.42418,-0.143372,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.958063,0.0777933,0.0767335,4.91028,0.024545,0.00507345,0.481305,0.127861,0,0,0,0,0,0,0,0,0,0
19,7.648,-0.106636,-0.16453,5.95682,7.35273,-0.00257486,5.53859,-0.0332651,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,7.59489,-0.0972401,-0.14741,5.51786,7.35,-0.00292459,5.4487,-0.0418038,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,7.43019,-0.107304,-0.157088,3.84659,7.35223,-0.00242415,5.49824,-0.0271255,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.894068,0.0911251,0.0673797,8.0691,0.0255063,0.00527587,0.373125,0.133714,0,0,0,0,0,0,0,0,0,0
20,2.4573,-0.130742,-0.135214,7.02421,7.37729,0.00277218,4.40172,-0.151078,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,2.54262,-0.138925,-0.153244,7.72719,7.37913,0.00259263,4.41577,-0.175071,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.77047,-0.123822,-0.148704,3.52542,7.37827,0.00269778,4.42016,-0.153308,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.01011,0.0911118,0.0732583,16.0973,0.0256429,0.00545636,0.535866,0.145137,0,0,0,0,0,0,0,0,0,0
21,4.61947,-0.103448,-0.192437,5.01603,7.40338,0.00238984,3.82568,-0.180179,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,4.69244,-0.109855,-0.186832,4.39298,7.4114,0.00194277,3.70791,-0.172312,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,3.63079,-0.0754662,-0.168776,7.66655,7.40658,0.0021785,3.7666,-0.176899,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.841082,0.0640082,0.0704478,3.97927,0.0158051,0.000837285,0.303443,0.01784,0,0,0,0,0,0,0,0,0,0
22,8.46759,-0.00908234,-0.158767,7.41646,7.35192,-0.00187813,5.13761,-0.283564,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,8.30599,-0.024665,-0.166021,8.91223,7.35991,-0.00234822,5.11539,-0.281915,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,7.40226,-0.0132657,-0.165706,7.51915,7.35416,-0.00198145,5.18178,-0.286455,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.10387,0.0340888,0.0647174,5.65155,0.016953,0.000943313,0.237135,0.0112584,0,0,0,0,0,0,0,0,0,0
