rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha26,eta_alpha27
2,5,-0.454495498121064,-0.0852124201851651,0.0867420483017116,-0.274970845173711,0.0535111654469658,0.00104726784038634,0.121056388299483,0.0333851991574167,1.63279184490811,0.0429177685424069,-0.342094400117364,0.00348559483002993,-153.661695720463,-3.34235457070095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,1.05971806395917,-0.0873656076714961,0.123781125377635,-0.334442364580596,0.0560057763105677,-0.000706070259578409,0.212893089319354,0.0156516553155342,2.2596087813204,-0.0122010579655944,-0.757099737526912,0.0541714408471919,-111.359830298071,-5.61728161767999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0.138012009314145,0.0364726608093002,-0.0209783205787492,0.581415817152521,0.00337467300341565,-0.00279427846413368,0.336788457772756,-0.0297682470405283,-0.776467013073233,0.0845573100612911,-0.0863069844419693,0.00617896095985469,-106.820450656644,-6.03589056037939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,-0.645457773771905,0.0740170663148602,-0.0586095340239444,0.111122156775771,-0.024877571862536,0.00318857002052505,-0.024159929518599,-0.113766588023444,-1.14791526467638,0.19904220691656,0.135869355125626,-0.0411292188255349,-129.883116865145,0.786311929013113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0.659719990019434,0.00246390082592043,-0.106658590601973,-0.414315465027054,0.0011864781714106,-0.00297669162553004,-0.569255402488184,-0.0195166687193885,-0.91734792113254,0.0540770531844561,0.0513808857942424,-0.0113339650250091,-97.4230213800334,2.28147637121552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,3.56903317356088,0.00350185632349834,0.0117189160653474,0.0794890430722894,0.0557941281804029,0.00262111079882921,0.808373919475421,0.0841969760056092,2.32613834533722,0.0459985951907817,-0.00522177723558759,0.0430839357526532,-120.131201042913,3.38887005820821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,2.97989094786422,0.045226521557416,0.033687407824334,-1.09611478049987,0.0166792176711716,0.00432278134008956,0.549977482720839,0.105318586000609,1.94362579833164,0.0794702585418457,0.00798109960278293,0.0289255084504246,-85.44973009976,3.45122561308745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,1.43260047683195,0.105741051903503,0.0275110281573588,-0.184106204715178,0.0258066958763061,0.00514890546036097,0.758913849990217,0.0734262752640248,2.00837254265345,0.0621274457819954,-0.73153804298583,0.0738741794058137,-70.1098671353549,1.73456799354901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,-4.47303532831215,0.0696593983441854,0.0473189177127292,-0.488814867520352,0.0220939059463729,-0.00555399853329589,-0.170047092785403,0.0354634583548803,0.697813131308433,-0.0696235814698728,-0.558939383692446,-0.0867139608662666,-47.6772326228436,6.7881049458847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,-4.4561248749275,0.0453741492279097,0.0185191984241482,-0.413248163288222,0.00450740990175458,-0.0063083034492008,-0.384131916848435,0.0864859803233055,0.0801744727717084,0.0657673165233991,-0.281233144193015,-0.0829113779701443,7.69468164743552,3.86320798054687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,-4.37232050139778,0.0266625153008456,-0.00140392255372634,-0.743245584216939,0.0050886990544674,-0.0037481962123867,-0.173434487691464,0.0516070754617105,0.388712253105909,0.0514352288180228,0.00805510515387908,-0.11789335716534,47.6317017220161,3.42493639327779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,1.48898474844492,-0.098913417073785,-0.0235962618846654,0.316594555584869,0.0227204550662661,-0.0053434870742074,0.437000983297232,0.185682305014174,-0.269683700491806,-0.127127250400237,0.1466493681364,0.129684715991187,38.5348379088956,3.93951674416691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2.40222607010064,-0.00752941928733253,-0.0756011005890738,0.0959606625848743,-0.00792635203024172,0.0110148655078496,-0.0613823789311345,-0.193655723895391,0.103920743604149,0.0236765484380715,-0.0612310744101956,-0.051906180563889,42.9321781434615,5.08759115908333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,0.151854062940253,0.0757034554552397,-0.066731802894721,0.14560052265474,0.0155105816250813,0.00332285865259453,0.0370072594002426,0.0844743969102128,-0.0683466704285784,0.063300923814436,0.486327601277156,0.0489315707232059,-62.9523815348248,4.97649777732998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
