rep,id,b02,b12,b03,b13,b06,b16,h1,h2,alpha12,alpha13,alpha16,alpha22,alpha23,alpha26,hcov1,hcov2,eta_b02,eta_b12,eta_b03,eta_b13,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha16,eta_alpha22,eta_alpha23,eta_alpha26,eta_hcov1,eta_hcov2
2,4,3.3552293766395,-0.0423545685288392,2.89435629067653,-0.270437374725088,87.051346559457,0.0322121891105367,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,4.02212551645073,-1.13603768166606,-2.78077886595074,-0.0058431162540923,-1.34381022196316,-0.119206847289568,-6.54635267452002,0.0258805354074067,0,0,0,0,0,0,0,0,0,0
3,4,6.37732126896582,0.064380103398179,1.80783060643337,-0.0378614396060182,90.7230986133543,-0.352988462685946,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,4.02212551645073,-1.13603768166606,0.241313026375571,0.100891555672926,-2.43033590620631,0.113369087829502,-2.87460062062273,-0.359320116389076,0,0,0,0,0,0,0,0,0,0
1,5,9.42897054267463,-0.134223886547158,3.29800192216409,-0.0018505044248313,96.2121729725379,-0.264186577251263,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,1.50829706866902,-0.426014130624772,3.29296230008438,-0.0977124342724115,-0.940164590475597,0.149380023010689,2.61447373856086,-0.270518230954393,0,0,0,0,0,0,0,0,0,0
2,5,8.05963990834248,-0.0841970019690969,3.32504861013479,0.00590266804809595,98.683873111793,-0.426931757496963,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,1.50829706866902,-0.426014130624772,1.92363166575223,-0.0476855496943501,-0.913117902504895,0.157133195483616,5.08617387781601,-0.433263411200093,0,0,0,0,0,0,0,0,0,0
3,5,9.19533328120269,-0.170243158015757,3.67988953757396,0.0057862995550463,97.5553418593837,-0.468994792533022,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,1.50829706866902,-0.426014130624772,3.05932503861244,-0.13373170574101,-0.558276975065721,0.157016826990566,3.95764262540665,-0.475326446236153,0,0,0,0,0,0,0,0,0,0
1,6,4.9692319283993,0.00770483296605549,5.17854166300036,0.0840902607442831,97.3803223905985,-0.0562022865209867,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,1.00553137911268,-0.284009420416515,-1.16677631419094,0.0442162852408024,0.940375150360672,0.235320788179803,3.78262315662143,-0.0625339402241167,0,0,0,0,0,0,0,0,0,0
2,6,6.49997382015692,0.0297679301875734,5.64880768213909,-0.16714314631044,93.8639782052575,0.0977515229078824,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,1.00553137911268,-0.284009420416515,0.363965577566672,0.0662793824623203,1.4106411694994,-0.0159126188749205,0.266278971280471,0.0914198692047524,0,0,0,0,0,0,0,0,0,0
3,6,5.12467057633151,0.0474201476832152,5.30817874089336,0.0106715952804605,90.873561886567,0.138059355092722,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,1.00553137911268,-0.284009420416515,-1.01133766625873,0.0839315999579621,1.07001222825367,0.16190212271598,-2.72413734740998,0.131727701389592,0,0,0,0,0,0,0,0,0,0
1,7,6.76565869861777,-0.0979309896404666,5.07254206581187,-0.00467791958896957,91.6489994661117,0.349724241370747,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,6.0331882746761,-1.70405652249909,0.629650456027527,-0.0614195373657197,0.834375553172188,0.14655260784655,-1.94869976786528,0.343392587667617,0,0,0,0,0,0,0,0,0,0
2,7,7.56048565044059,-0.00140877477388011,4.92645019642893,-0.211825915421101,95.4817368673114,0.159359860351005,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,6.0331882746761,-1.70405652249909,1.42447740785034,0.0351026775008668,0.68828368378925,-0.0605953879855816,1.88403763333433,0.153028206647875,0,0,0,0,0,0,0,0,0,0
