rep,id,eta_b03,eta_b13,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha13,eta_alpha16,eta_alpha23,eta_alpha26,eta_hcov1,eta_hcov2,score4C
2,27,0.986880231692088,-0.0969111735107313,-1.70135706657467,0.111845864212697,0,0,0,0,0,0,0,0,5
3,27,0.341387017125927,-0.0877489275191491,3.23215724098489,-0.131105592661055,0,0,0,0,0,0,0,0,5
1,28,0.89485160173492,0.230241524229311,-0.389491899870393,-0.0305873656773406,0,0,0,0,0,0,0,0,6
2,28,0.348585810056922,0.212877111104754,-0.607431704128061,-0.133761816920511,0,0,0,0,0,0,0,0,6
3,28,0.949602937752556,0.00926451180591623,-1.12660325161727,0.0995994539159078,0,0,0,0,0,0,0,0,6
1,29,-0.456954408544105,-0.0468659701140645,-0.328540765782506,0.154301965227244,0,0,0,0,0,0,0,0,6
2,29,-0.902934799823661,-0.0674517575565827,3.2723479437763,0.0857686257689714,0,0,0,0,0,0,0,0,6
3,29,-0.0954480552810431,0.0510670858550392,0.987586101513088,0.202831605898239,0,0,0,0,0,0,0,0,6
1,30,0.979962886835033,0.107262861862708,1.53734138310142,-0.00175747793999513,0,0,0,0,0,0,0,0,12
2,30,0.708508405823896,-0.196403008300953,2.67547548916276,0.209381799173894,0,0,0,0,0,0,0,0,12
3,30,0.54920376423329,0.259081595745803,1.90894473696858,0.033727589869028,0,0,0,0,0,0,0,0,12
1,31,0.68086160071618,-0.384844144691192,-4.60457352612306,0.0481739334501541,0,0,0,0,0,0,0,0,2
2,31,-1.03516805729325,0.107585358413785,-0.69694964597268,0.176119549669687,0,0,0,0,0,0,0,0,2
3,31,-0.182649924535293,-0.0576286049607236,-3.59473551447743,0.0818250246261576,0,0,0,0,0,0,0,0,2
1,32,-0.343706483275096,0.0779835373506049,-0.205245292944042,-0.135873271800466,0,0,0,0,0,0,0,0,12
2,32,-0.0568142109689269,-0.137821070743963,4.29342519445868,0.263147848707037,0,0,0,0,0,0,0,0,12
3,32,0.375006748796291,-0.0374178161181079,2.30118955935171,-0.0231646953131475,0,0,0,0,0,0,0,0,12
1,33,0.108720301834835,-0.0523909061664705,3.27452471984516,0.139296109524537,0,0,0,0,0,0,0,0,8
2,33,-0.481635075974082,0.000880876635222266,1.56196206733102,0.146579641721608,0,0,0,0,0,0,0,0,8
3,33,-0.149868057414254,-0.0290755212094455,0.790586418732417,-0.0830334296027451,0,0,0,0,0,0,0,0,8
1,34,1.46746326385061,0.0489942793463808,0.699767648548317,-0.0123963026902797,0,0,0,0,0,0,0,0,5
2,34,1.94361594362574,0.0442297534052261,1.73274634240222,0.0992100665708941,0,0,0,0,0,0,0,0,5
3,34,1.53938610515881,0.0765448499301801,2.4883025628021,-0.258150870640855,0,0,0,0,0,0,0,0,5
1,35,1.44409975831496,0.155047124991261,1.95258332796433,0.011472974872646,0,0,0,0,0,0,0,0,5
2,35,1.26097578634968,0.179105797958036,3.12303551632749,0.0618999763014364,0,0,0,0,0,0,0,0,5
3,35,0.838540985705589,0.190771020815329,1.75162563838302,0.0141033610854782,0,0,0,0,0,0,0,0,5
1,36,0.368727400783233,0.450034999409293,-0.864926486246034,0.0723376303846924,0,0,0,0,0,0,0,0,4
2,36,0.221596321430877,0.442707993242431,4.36636643888828,-0.203812621852192,0,0,0,0,0,0,0,0,4
