rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b05,eta_b15,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha15,eta_alpha16,eta_alpha22,eta_alpha23,eta_alpha25,eta_alpha26,eta_hcov1,eta_hcov2,score4C
1,15,1.89902298901205,-0.0317223688484522,1.26741312719555,-0.31246454695629,0.463960653549749,0.000217231249971209,-3.62480512077514,0.0639053998252931,0,0,0,0,0,0,0,0,0,0,0,0,9
2,15,0.248417181474434,0.107621572056046,1.81953379925469,0.418653016107025,0.0428003482741746,0.00630305057871362,-3.98488200896263,0.0367590194751906,0,0,0,0,0,0,0,0,0,0,0,0,9
3,15,2.34286720278899,0.0556092911348774,0.532879647806322,0.127702312398537,-0.337322549662797,0.00172892398824788,-3.52543934341296,0.118280426229384,0,0,0,0,0,0,0,0,0,0,0,0,9
1,16,-0.307606780228738,0.0649454631612528,0.491460218639364,0.0955388379576096,0.00478781897063651,-0.00579381464732135,2.45799759554517,0.209749510702975,0,0,0,0,0,0,0,0,0,0,0,0,9
2,16,-0.82106097953293,0.0957840870344409,0.758016013668374,0.118286975086695,-0.215561393607644,0.0138192210989957,-0.34285755095388,0.134454189773701,0,0,0,0,0,0,0,0,0,0,0,0,9
3,16,-1.07826008348656,0.151054826082967,0.993311643746003,-0.160195196999252,-0.0938662016008127,0.0119014138159878,0.391640461262838,0.0548692927589433,0,0,0,0,0,0,0,0,0,0,0,0,9
1,17,0.782702194478378,0.123012962977354,-1.06352062352128,-0.078248938470707,0.100155033170902,0.0186208059123311,2.13371596895632,0.0106991460002969,0,0,0,0,0,0,0,0,0,0,0,0,5
2,17,-0.511181191278109,-0.0305663901596468,-0.819636236672652,0.0404197095248455,-0.0464531108700799,0.00101098989582799,-1.94963612938852,0.066823236370293,0,0,0,0,0,0,0,0,0,0,0,0,5
3,17,-0.158646840005336,-0.0505241647327544,-0.281473335855194,-0.168175362167937,-0.165188199144614,-0.0327122890141238,0.971665289683699,0.00570390410568034,0,0,0,0,0,0,0,0,0,0,0,0,5
1,18,1.66213124298751,-0.103697715482439,0.0272226833543217,-0.130279324766065,0.30675185877399,0.0183226612200753,2.49739631651777,-0.037483580543656,0,0,0,0,0,0,0,0,0,0,0,0,2
2,18,1.11224932661102,-0.0921111694048506,-0.38357025694249,-0.134519643714215,0.159628994174322,0.0243212820421645,1.55805870708591,0.032467839721364,0,0,0,0,0,0,0,0,0,0,0,0,2
3,18,0.762413076078905,0.00684646449623231,0.143192190197325,-0.133137092089801,0.36789729765887,0.00223205876804678,3.33601609634306,-0.0423137350804561,0,0,0,0,0,0,0,0,0,0,0,0,2
1,19,-0.642385838538631,0.0484170917226109,0.346158713715019,0.00664903395433966,-0.418791406494076,0.021205990952671,-0.625198104825074,0.13972903435216,0,0,0,0,0,0,0,0,0,0,0,0,1
2,19,-0.042550519608886,-0.0359974488904875,0.68648344831763,0.028646939947857,0.38687961949431,0.0137610108935337,1.85904634615601,-0.202772088949468,0,0,0,0,0,0,0,0,0,0,0,0,1
3,19,-0.647468310725865,0.143275653726569,-0.0185284423578631,0.0144632221213585,0.327422835339254,0.0119553307639543,1.66318714320963,-0.0291133100719018,0,0,0,0,0,0,0,0,0,0,0,0,1
1,20,0.605815963192613,-0.083142854913834,-0.0536112494962575,-0.25878453428921,-0.492153467090114,-0.00213973470486558,-0.429394407424226,0.0447694015694331,0,0,0,0,0,0,0,0,0,0,0,0,6
2,20,0.0059561273149944,0.0592493628457202,-0.46557728762052,-0.155947629085296,-0.120208402572365,-0.0417938438334564,2.28306058672308,-0.0674424957413837,0,0,0,0,0,0,0,0,0,0,0,0,6
3,20,0.772309399341482,-0.0222235308905413,-0.311315458141708,-0.174425331261391,-0.432626615680689,-0.00850805316542367,0.0324206248894683,-0.0226877826964813,0,0,0,0,0,0,0,0,0,0,0,0,6
1,21,0.499104998792733,-0.0611077761052718,0.429018306661602,-0.00270032462949171,0.0829133906493187,-0.00440493904532081,-0.360691843249342,0.0510772275233048,0,0,0,0,0,0,0,0,0,0,0,0,8
2,21,0.547984047605999,0.0637507614034558,-0.155977068572334,-0.129012718436867,-0.595647275560415,0.00860453756651234,4.35286686974634,-0.139097511130118,0,0,0,0,0,0,0,0,0,0,0,0,8
3,21,2.18225096797686,-0.0745096508025102,-0.0989898912175624,0.134702610852214,-0.559988492417194,-0.00176756133202978,-1.63096919407211,0.288657912443642,0,0,0,0,0,0,0,0,0,0,0,0,8
1,22,-0.194002472454403,-0.0595032314712953,-1.00649978020378,0.151254574416133,0.0858241278965224,-0.0360031916178957,-1.1303056511517,0.0367851892055407,0,0,0,0,0,0,0,0,0,0,0,0,5
2,22,-0.0621972747774651,0.134958188947848,-1.49905486864606,0.0818155141819582,-0.0141668648712852,-0.0242965350907793,0.580794747305291,-0.0301776492215922,0,0,0,0,0,0,0,0,0,0,0,0,5
3,22,0.344645869678551,-0.188000859826684,-1.25256596907398,0.00458012424039572,0.100397865744902,-0.0066197654463808,-1.27233327849885,0.138972756230862,0,0,0,0,0,0,0,0,0,0,0,0,5
1,23,-1.41837501737786,0.109462084330488,0.245181769662452,-0.239515380904257,0.263017575642567,-0.00225870425385024,-3.61502815845429,-0.00257313063601219,0,0,0,0,0,0,0,0,0,0,0,0,11
2,23,-0.00335078209129769,-0.00268711238648021,0.023659283232722,-0.212707353972418,0.148332869120241,0.0136845065329132,-3.35456192737169,0.0036337592191341,0,0,0,0,0,0,0,0,0,0,0,0,11
3,23,-0.144129507936382,-0.122294293637929,-0.304226594098461,-0.212634963663203,0.317861672515068,0.0211633289800563,-3.58575564317425,0.0560929809615363,0,0,0,0,0,0,0,0,0,0,0,0,11
1,24,1.4317966824875,0.024832601928734,0.901916494592366,0.194443910977981,-0.565274437533544,0.017803569060531,-1.29493331516316,0.0684944726255565,0,0,0,0,0,0,0,0,0,0,0,0,13
2,24,1.61086548226845,0.0694366459065796,-0.00270790336812432,0.362596627246772,0.090590983986516,-0.0355131313885786,0.304656975833765,0.0517590618447929,0,0,0,0,0,0,0,0,0,0,0,0,13
3,24,1.39663379698609,-0.16548058508994,0.278382304049859,0.0498656292957683,-0.0732111779533486,0.0326136970824956,-3.08290584102278,0.0530411721276177,0,0,0,0,0,0,0,0,0,0,0,0,13
1,25,0.0821334271014429,-0.0632284351807947,-0.0452633455952238,-0.0197840117684744,0.151840816787788,0.0073835278994835,-1.2616970233763,0.0141967735940554,0,0,0,0,0,0,0,0,0,0,0,0,1
2,25,-0.444942166729659,-0.105480755132724,-0.83925167473826,0.118774921269899,0.172467801266557,0.00707693526973051,0.285768723866312,0.0551941828884118,0,0,0,0,0,0,0,0,0,0,0,0,1
3,25,-0.612293645372315,-0.0196079615839364,-0.0462528151022221,-0.136938709351325,-0.0271402492834634,0.027478673316693,-0.761097242881732,0.0614914404312246,0,0,0,0,0,0,0,0,0,0,0,0,1
1,26,-0.385736592566559,0.221853461348431,-0.692298099089153,0.142604664966618,0.272851790667265,0.00650003417348908,1.43807036928398,0.0126771288640824,0,0,0,0,0,0,0,0,0,0,0,0,7
2,26,-0.586391839470835,0.0995348378554256,-0.624857468863534,0.148586976948467,0.313766932054059,-0.00467043425459305,-0.838662828176382,-0.128602405651686,0,0,0,0,0,0,0,0,0,0,0,0,7
3,26,-0.631579338027827,0.155520930015522,-0.371656974534221,0.1465498041069,0.456965544404752,-0.00341239431467566,-1.30222178626033,-0.109971292629437,0,0,0,0,0,0,0,0,0,0,0,0,7
1,27,1.29444023614521,-0.0687495576970065,1.06732483065178,-0.105077779364537,-0.23119072601047,0.00938459761361543,1.54378015344679,-0.0538274942586789,0,0,0,0,0,0,0,0,0,0,0,0,5
2,27,-1.33111353717126,-0.0577857038693157,0.427255831300309,-0.0490295138288581,0.661753588387653,-0.0169957232497112,1.75665799914334,0.0811977714008785,0,0,0,0,0,0,0,0,0,0,0,0,5
3,27,-0.449160964001007,-0.0539811579632921,1.0198816800843,-0.0841451924926793,-0.0946967329081918,-0.0099300451282595,-2.63458243347426,-0.11319183791308,0,0,0,0,0,0,0,0,0,0,0,0,5
1,28,0.657301894637798,-0.116654304785605,0.678581351424824,0.0810107506998924,-0.36082274924818,0.00119482167539237,5.35531503865515,-0.174671564270404,0,0,0,0,0,0,0,0,0,0,0,0,6
2,28,0.00327791645197983,-0.138546329208682,0.546190727241794,0.0628803518768539,0.00738742348744736,0.0073297270128949,-2.04933105405847,0.0966713244543033,0,0,0,0,0,0,0,0,0,0,0,0,6
3,28,-0.509311556444508,-0.0978339217577398,1.72267434072103,-0.248941970447171,-0.43205282166717,-0.0182387357494663,0.900500104667145,0.048386539150779,0,0,0,0,0,0,0,0,0,0,0,0,6
1,29,-0.0524138226012463,0.0104822476865655,-0.74279704245333,0.105162931544003,-0.444542394369252,-0.0262514378530297,1.2559945422221,0.0167839755414632,0,0,0,0,0,0,0,0,0,0,0,0,6
2,29,-0.517776062664518,-0.0597700426124954,-0.670862852618453,0.277437345063058,-0.089105486116285,0.00883281598910468,0.994133749775116,-0.0259738372080544,0,0,0,0,0,0,0,0,0,0,0,0,6
3,29,-1.60191600438014,0.0160909702947378,-0.411386278505771,0.105958392708474,-0.319593063118415,-0.0147068090851234,-0.995322903155085,0.0784084547432782,0,0,0,0,0,0,0,0,0,0,0,0,6
1,30,0.431314818212673,-0.107466134676718,0.682847163654376,0.0937471330803065,0.0801250757087439,-0.0150502209113264,-2.73760875405183,-0.237112961173105,0,0,0,0,0,0,0,0,0,0,0,0,12
