id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_h1_SAEM,eta_h2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM,eta_hcov1_SAEM,eta_hcov2_SAEM,score4C
28,0.162026,-0.0243775,0.463044,0.0190732,-0.213807,-0.0033206,1.61628,0.0126632,0,0,0,0,0,0,0,0,0,0,0,0,6
29,-0.407206,-0.0136189,-0.879499,0.00611626,-0.103271,-0.000869794,0.945586,0.00967485,0,0,0,0,0,0,0,0,0,0,0,0,6
30,1.17027,0.0578404,0.825572,0.074773,0.0899531,0.0027361,-1.30974,-0.0337528,0,0,0,0,0,0,0,0,0,0,0,0,12
31,-0.100834,0.00198204,-0.316928,-0.072648,0.0217608,-0.00521561,0.486165,0.013932,0,0,0,0,0,0,0,0,0,0,0,0,2
32,1.51234,0.0626179,-0.816936,0.0559732,-0.0299237,0.00443045,-2.49432,-0.0232827,0,0,0,0,0,0,0,0,0,0,0,0,12
33,0.290931,0.0345798,-0.0879991,-0.0243167,0.00636372,0.010999,-0.712864,-0.0280524,0,0,0,0,0,0,0,0,0,0,0,0,8
34,-1.00938,-0.0180825,1.67359,0.105805,-0.179363,-0.00263985,0.547297,0.0131977,0,0,0,0,0,0,0,0,0,0,0,0,5
35,-0.106044,0.0338829,0.95465,0.189931,-0.0979306,-0.0135518,-0.136002,0.00208071,0,0,0,0,0,0,0,0,0,0,0,0,5
36,-0.0512674,0.0381233,0.294252,0.442373,-0.00416222,-0.000953959,0.928894,0.0129544,0,0,0,0,0,0,0,0,0,0,0,0,4
37,1.27457,-0.043258,-1.23521,0.22229,0.0766031,0.0039205,2.17243,0.0230983,0,0,0,0,0,0,0,0,0,0,0,0,4
38,-0.191729,-0.0141628,0.455727,0.0774518,-0.0966288,-0.00171508,1.37545,0.00696246,0,0,0,0,0,0,0,0,0,0,0,0,5
39,-0.309473,-0.0404084,-0.0321252,0.201486,0.0165224,-0.00541267,-0.038225,0.0218458,0,0,0,0,0,0,0,0,0,0,0,0,3
40,0.701944,0.0149231,-1.00472,-0.106733,-0.204437,-0.00263643,1.09674,0.00222597,0,0,0,0,0,0,0,0,0,0,0,0,5
41,0.111724,-0.0288505,0.237688,-0.00239191,0.237218,0.0041717,0.338009,-0.0053644,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0.535019,0.0800335,0.35475,0.120344,0.12103,0.00249045,-2.00129,-0.0293151,0,0,0,0,0,0,0,0,0,0,0,0,8
43,-2.32702,-0.0317502,-1.03309,-0.0672326,-0.00541439,-0.00107051,0.201354,0.00327541,0,0,0,0,0,0,0,0,0,0,0,0,7
