rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
3,13,0.0199272208748003,0.00283913487048712,0.812101268541489,-0.0391352389040052,0,0,0,0,0,0,0,0
1,14,0.00234040208330466,-0.00369142750727827,-0.507718727077688,-0.0850729095334934,0,0,0,0,0,0,0,0
2,14,-0.0068227698646357,-0.00130340077397985,-0.142475849560949,-0.16784367041505,0,0,0,0,0,0,0,0
3,14,0.00859822260168652,-0.00251390361609315,-0.499817159152004,-0.104975742662968,0,0,0,0,0,0,0,0
1,15,0.0436966642878165,-0.00491502181181191,-1.18368933618813,-0.00943031918579477,0,0,0,0,0,0,0,0
2,15,0.0349185826663936,-0.00416526214474338,-0.984549749083967,-0.0227184940664262,0,0,0,0,0,0,0,0
3,15,0.00822058375885248,-0.00307052237731978,-0.527437111964144,-0.0422152514180975,0,0,0,0,0,0,0,0
1,16,0.0724455000916748,0.0116179406186694,-0.638390975432102,-0.191210015382649,0,0,0,0,0,0,0,0
2,16,0.0723814454518381,-0.00141241906092457,-0.938288696683054,0.0175060786324174,0,0,0,0,0,0,0,0
3,16,0.120621178879181,0.00755944603991947,-0.874285219366213,-0.175875075746499,0,0,0,0,0,0,0,0
1,17,0.0271644964692621,-0.00318574312786468,-0.447939592870617,0.0622281067464391,0,0,0,0,0,0,0,0
2,17,0.0155626693452211,-0.00190066003735462,-0.0829914009274866,-0.029393683649618,0,0,0,0,0,0,0,0
3,17,-0.00795147635517512,0.00143709290149655,-0.0610420870987234,0.0484019859170595,0,0,0,0,0,0,0,0
1,18,-0.0134415988738459,0.00688611604382629,1.29754741823333,0.00107882168617818,0,0,0,0,0,0,0,0
2,18,0.038590542720625,0.00347198784957413,1.20825277542875,0.0227273753958939,0,0,0,0,0,0,0,0
3,18,0.019620604514258,0.00608073310960624,0.952336166812946,0.0204076537084698,0,0,0,0,0,0,0,0
1,19,0.00876307606209004,0.00504973384955381,-0.0576702446589188,-0.327069410363542,0,0,0,0,0,0,0,0
2,19,0.0274095975224462,0.00102992925196166,-0.737740861260848,-0.0402146987327535,0,0,0,0,0,0,0,0
