rep,id,b01,b11,b21,a1,b03,b13,p1,g1,p2,g2,alpha11,alpha13,alpha21,alpha23,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha21,eta_alpha23
2,4,5.91830276748608,-0.0148562847006579,-0.107183412573097,10.4918109081229,3.04545625411463,-0.176312243014621,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,1.16011277478729,0.121735989733562,0.0489435311810659,1.10921112521682,-1.09660599872828,-0.030389888143091,0,0,0,0,0,0,0,0
3,4,4.40409675430761,-0.0511828442675895,-0.220632670222206,6.12111528936088,3.43517351868164,-0.259149686551472,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,-0.354093238391179,0.0854094301666303,-0.064505726468043,0.570360402601001,-0.706888734161264,-0.113227331679942,0,0,0,0,0,0,0,0
1,5,3.81867239979953,-0.00154925549383592,-0.126720103982461,5.37314337467229,2.56597772390147,-0.191558833312231,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,-0.939517592899266,0.135043018940384,0.0294068397717012,0.440029181533544,-1.57608452894143,-0.0456364784407012,0,0,0,0,0,0,0,0
2,5,6.62699927909287,-0.303301466658909,-0.0823375874399987,0.997826862666584,2.48592043588764,-0.163386984832752,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,1.86880928639408,-0.166709192224689,0.0737893563141639,-1.24355941616663,-1.65614181695526,-0.0174646299612218,0,0,0,0,0,0,0,0
3,5,5.30901469129843,0.039592990435601,-0.115382828710048,0.976898834358842,2.74205793462108,-0.187914073228627,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,0.550824698599635,0.176185264869821,0.0407441150441149,-1.26475609367192,-1.40000431822182,-0.0419917183570969,0,0,0,0,0,0,0,0
1,6,10.2120737631378,-0.308322531846952,-0.183593215924806,0.337515081921319,3.67154469299345,-0.149095665111951,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,5.45388377043896,-0.171730257412732,-0.0274662721706434,-2.32752899663751,-0.470517559849454,-0.00317331024042147,0,0,0,0,0,0,0,0
2,6,7.64107507622811,-0.119410672178738,-0.129441361965376,2.87319614476946,2.81536788918875,-0.137309961574796,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,2.88288508352932,0.0171816022554817,0.026685581788787,-0.185958864716014,-1.32669436365416,0.00861239329673427,0,0,0,0,0,0,0,0
3,6,8.40515401612703,-0.306617709196414,-0.123057584154673,2.75059530496492,3.01065363193976,-0.094811361974243,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,3.64696402342824,-0.170025434762194,0.0330693595994898,-0.229566551359845,-1.13140862090314,0.051110992897287,0,0,0,0,0,0,0,0
1,7,3.85095769970847,-0.159130026440227,-0.0570236068205301,1.58631485046072,3.54632840187242,-0.2565384665897,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,-0.907232292990324,-0.0225377520060074,0.0991033369336325,-0.779970292057858,-0.595733850970483,-0.11061611171817,0,0,0,0,0,0,0,0
2,7,2.13881769599628,0.00515023210941978,-0.120824164437963,3.03743362245036,3.47853177340824,-0.224485649822697,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,-2.61937229670252,0.14174250654364,0.0353027793161999,-0.13037095840714,-0.66353047943466,-0.0785632949511672,0,0,0,0,0,0,0,0
