"rep"	"id"	"b03"	"b13"	"b06"	"b16"	"h1"	"h2"	"alpha13"	"alpha16"	"alpha23"	"alpha26"	"hcov1"	"hcov2"
1	"70"	4.7808771040245	-0.28633246120166	97.6698304927545	0.170995658089793	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"72"	5.66305019210487	0.0673484838623156	88.7515305013548	-0.025921493376428	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"77"	4.77448845706068	-0.301198988796655	99.0054945103935	-0.24148335669264	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.104225	-1.406658
1	"78"	4.377823374255	-0.154581791425321	91.7310592137351	-0.176538056336862	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.12507	-1.6879896
1	"81"	4.62087351247439	-0.265820321967089	94.7166217840334	-0.187122123541943	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.12507	-1.6879896
1	"82"	4.87030664147868	-0.153033358259381	93.4891515747051	-0.071627010595524	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.062535	-0.8439948
1	"83"	4.78573400027089	-0.492737743254681	89.8231710120588	0.228537067222612	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.6354925	-1.8286554
1	"85"	4.8668575359961	-0.16925415862162	97.8503309286249	-0.156564623465819	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.5938025	-1.2659922
1	"86"	4.30187134401153	-0.18828479500135	97.3338656678532	0.0275959582566372	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.020845	-0.2813316
1	"88"	3.97869129356187	0.197208486936847	93.7895372443168	0.0485247682929014	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.5938025	-1.2659922
1	"89"	4.35135961594302	0.0406494299453537	92.8922415006305	0.207768169843169	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.6146475	-1.5473238
1	"90"	4.81443614089413	0.0684536677526716	92.8747910863881	0.123434831707664	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.020845	-0.2813316
1	"91"	4.80114779405664	-0.581000022982873	91.1372321145678	0.0135575584075629	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.062535	-0.8439948
1	"92"	5.78262219542118	-0.213997954042196	89.2961951559486	0.177372387430459	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.5938025	-1.2659922
1	"96"	3.98029165901418	-0.104584303210292	93.7639311444967	0.108889326078787	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"97"	3.26356944660735	0.0146679061244374	92.4672805298736	0.0868246562464108	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.04169	-0.5626632
1	"98"	4.25160481481465	-0.0174450119564487	89.3327334505953	-0.00126296412388392	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	0.5104225	-0.1406658
1	"100"	3.45011640876354	-0.0675768653497763	95.1706263897304	-0.00252640370789892	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	0.5104225	-0.1406658
1	"101"	2.63909806589497	-0.274189677353934	98.7374842672465	-0.0700818362212781	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.5938025	-1.2659922
1	"102"	5.67404220851484	-0.0302890104601607	94.1633536372676	0.192092416379594	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.020845	-0.2813316
1	"104"	5.04682519997401	-0.0954363454591552	97.1333511921649	-0.0166974401792686	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"106"	3.90310123483161	-0.254893118831801	94.3973306524357	0.114587571390251	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.12507	-1.6879896
1	"107"	3.99706387098431	-0.237616260570139	93.1672193059234	0.171879157001993	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.5521125	-0.703329
1	"112"	3.69963359764329	-0.351575629371427	94.31446406295	-0.0310563360469051	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"115"	4.07869759043815	-0.221034644316324	97.3192529907948	0.159404566876809	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.5521125	-0.703329
1	"117"	3.78420629414997	-0.400238855062161	94.2111576999661	-0.275429692174456	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.5312675	-0.4219974
1	"122"	4.03339887165101	0.241235865472382	94.2938550257671	-0.0847480282792013	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.020845	-0.2813316
1	"123"	3.09970123425467	-0.127779352605702	94.6925351251907	0.195795104586448	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.04169	-0.5626632
1	"128"	4.99052592940715	0.0584414085952307	97.5131818374123	-0.214835117965409	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.062535	-0.8439948
1	"130"	3.12300176970392	-0.259893713071798	94.7489397843029	0.332151192263153	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.5521125	-0.703329
1	"134"	6.36296880537627	-0.377894926086448	90.7328936309682	-0.0450878291776776	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.12507	-1.6879896
1	"135"	4.6744159243702	-0.312483433642686	95.4365214730482	-0.19971726845549	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.5521125	-0.703329
1	"137"	4.32428027487869	0.0744505647993456	95.3890108920982	-0.119105986837653	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.5312675	-0.4219974
1	"139"	4.18083341337493	-0.10843998132718	94.0150578060586	0.0922754344310662	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.020845	-0.2813316
1	"143"	4.72990529314271	-0.294000544328201	93.0604077675965	0.00809245840010064	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.12507	-1.6879896
1	"145"	5.22778572727639	-0.14056004593174	92.5711186628073	-0.0171562320797691	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.6354925	-1.8286554
1	"146"	4.07482355048318	0.00296603476869948	91.1597638536248	0.29908017189794	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"147"	4.84407996926462	-0.39705649574754	92.8923230214104	0.0530714760678703	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.5312675	-0.4219974
1	"149"	5.62032271503813	0.122106861361953	91.3275708698041	-0.0301291423163489	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.12507	-1.6879896
1	"151"	4.58365958886128	-0.0799704632405757	92.9125861741091	0.0265184476973271	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.020845	-0.2813316
1	"157"	5.11491413961482	-0.199376739406806	93.2493394146708	-0.195424380129408	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"158"	4.72283236138863	0.0668449037259538	90.9597847819056	0.0313025010169931	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.5312675	-0.4219974
1	"159"	3.96211632600852	-0.194615669584944	93.0069172070802	0.0845230151792195	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.104225	-1.406658
