id,b02_SAEM,b12_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha22_SAEM
74,7.42075,0.00361622,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
75,7.42652,0.00466033,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
76,7.41914,0.00276792,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
77,7.39164,0.00521891,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
78,7.43412,-0.00304351,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
79,7.43676,0.00120125,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
80,7.42341,0.00470163,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
81,7.40201,-0.00140505,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
82,7.34207,0.00314522,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
83,7.39462,0.000365013,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
84,7.39194,-0.00364389,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
85,7.34789,0.00688485,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
86,7.40319,0.00438476,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
87,7.35843,0.000263573,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
88,7.38677,0.00379111,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
89,7.43431,0.00133967,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
90,7.39651,0.00382736,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
91,7.39026,3.63147e-05,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
92,7.44114,0.00860445,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
93,7.377,0.00318558,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
94,7.40393,-0.00403526,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
95,7.44089,0.00218896,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
96,7.34805,0.00348224,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
97,7.40549,0.00425366,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
98,7.39351,0.00154033,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
99,7.38827,0.00245967,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
100,7.35705,0.00433121,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
101,7.42508,0.00343137,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
102,7.39459,0.0040098,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
103,7.40191,0.00317116,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
104,7.39915,0.00549832,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
105,7.38661,0.00524981,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
106,7.39738,0.00374838,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
107,7.39961,0.00293003,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
108,7.39001,0.00516641,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
109,7.3715,0.000453688,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
110,7.3635,0.00235299,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
111,7.45653,0.00463192,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
112,7.36876,0.0031983,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
113,7.43468,0.0034944,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
114,7.394,-0.00013518,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
115,7.39845,0.00361055,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
116,7.38602,-0.000974872,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
117,7.31879,0.00103995,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
118,7.34054,-0.00181654,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
119,7.40366,0.00311134,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
120,7.40445,0.00297165,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
121,7.43211,0.00402945,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
122,7.41923,-0.000965623,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
123,7.44735,0.00397296,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
124,7.44635,0.00374541,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
125,7.43194,-0.00112525,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
126,7.3818,0.00127008,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
127,7.3824,0.00100595,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
128,7.38681,0.0021098,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
129,7.37993,0.00542422,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
130,7.40494,0.00183923,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
