rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha27
2,11,0.0510820805588894,-0.00226705418368958,-0.78341135433631,0.156930041438712,16.223036355753,-0.273288764484328,0,0,0,0,0,0,0,0,0,0
3,11,-0.0264051261962583,0.00849672405249751,0.857390628950434,-0.05695146789751,-27.7979633995611,-2.25073677540418,0,0,0,0,0,0,0,0,0,0
1,12,-0.000284807321314418,-0.00329653232956567,-0.88844168184753,-0.0200349883927711,74.0062866715982,-3.60159120458061,0,0,0,0,0,0,0,0,0,0
2,12,-0.00164876585076623,-0.00209752706645698,-1.28030552837191,-0.00264252819237193,24.8333983102751,-1.58381064160428,0,0,0,0,0,0,0,0,0,0
3,12,0.0013604921440642,-0.00335580175204737,0.270809470295337,-0.0800204061155339,93.4940825066049,-2.16712223461059,0,0,0,0,0,0,0,0,0,0
1,13,-0.00666578641927806,0.0025185874056868,0.128620132839229,0.0533674232421952,5.92554047083939,3.70035872217634,0,0,0,0,0,0,0,0,0,0
2,13,0.0209935487738857,0.000954557854941532,0.892686041070013,0.0548645448400334,-13.0931641982804,-1.84620922990118,0,0,0,0,0,0,0,0,0,0
3,13,-0.00251064398903011,0.00368398376181336,0.218232655898593,0.100666344096019,64.6385107560769,-7.2681255877745,0,0,0,0,0,0,0,0,0,0
1,14,0.0709415101153263,-0.00114945605965771,1.5336637090573,0.0194078734909317,81.3100526492989,0.924048095382872,0,0,0,0,0,0,0,0,0,0
2,14,0.0507583213712701,-0.000565530575465221,1.10096479531767,0.0480929777298353,24.7716122410453,2.7766533106229,0,0,0,0,0,0,0,0,0,0
3,14,0.0785784060624533,-0.000708331961489092,0.576289682143257,0.0690099693517865,29.2754892791516,2.12113855714316,0,0,0,0,0,0,0,0,0,0
1,15,0.04300918952723,0.000523337838993223,0.829221351317265,-0.0353035332059157,137.632837002849,0.344801769373285,0,0,0,0,0,0,0,0,0,0
2,15,-0.000306280766188216,-0.00327100327920812,1.82494604015923,0.0737217885795406,-11.4591016124225,0.519202004826092,0,0,0,0,0,0,0,0,0,0
3,15,0.0516656941473554,0.00123467034868625,0.0705674282608904,-0.0765420488644701,48.562137875546,-2.60195338550966,0,0,0,0,0,0,0,0,0,0
1,16,-0.0472099762531784,-0.00354203138548637,1.55034939666705,-0.0976991714153332,128.493096483683,0.245998249117276,0,0,0,0,0,0,0,0,0,0
2,16,-0.0158941288795456,0.000465434294884259,1.02573739086418,-0.116622509421994,167.325385842585,1.29470449929692,0,0,0,0,0,0,0,0,0,0
3,16,0.0218577231629915,-0.00154942771512675,1.02664516780797,0.11100398655312,233.674218313743,-3.21247794259632,0,0,0,0,0,0,0,0,0,0
1,17,-0.00957419704499429,-0.00647508942256678,-1.17068092977216,-0.122034370757017,-69.4746897948282,-2.84505728196691,0,0,0,0,0,0,0,0,0,0
2,17,-0.0167821106272159,-0.00029277253154732,-0.24774075080482,-0.00183893148731248,-21.9891537639566,0.966750814136695,0,0,0,0,0,0,0,0,0,0
3,17,0.0727992081266597,-0.00972132423834503,-2.07745132672624,-0.29122257546335,104.345239084512,9.99560343948328,0,0,0,0,0,0,0,0,0,0
1,18,-0.0198848048498261,-0.00402962407156863,-0.553625475519557,-0.0505569932672939,-118.53441701066,0.750998289726443,0,0,0,0,0,0,0,0,0,0
2,18,-0.0185723006422664,-0.0100021098821348,0.510247132915059,-0.0905753630764798,-78.3990637841654,-2.30903847171147,0,0,0,0,0,0,0,0,0,0
3,18,-0.0339712301453652,-0.0062479209355649,0.292382043719879,-0.077701099291813,-67.6047767464034,-0.446902802695925,0,0,0,0,0,0,0,0,0,0
1,19,0.0279986051732877,-0.00271683871102865,-0.503469017423608,-0.040857726676728,57.8443958012668,-9.53355512289783,0,0,0,0,0,0,0,0,0,0
2,19,-0.00218544804370779,-0.000282056091653663,-0.804828160072071,0.00103558870722634,42.6340858587062,-8.94189544127099,0,0,0,0,0,0,0,0,0,0
3,19,0.00291425323088568,-0.0015901848774811,-0.213273072561091,-0.0427366635758245,99.8038646492176,-11.0686835505576,0,0,0,0,0,0,0,0,0,0
1,20,-0.0119318984881414,-0.00396227722009834,0.993074410767015,0.0782401022586536,-112.502332691482,0.653944796662326,0,0,0,0,0,0,0,0,0,0
2,20,0.00259692377829435,-0.00346042986514952,0.745597796558357,0.118151744910798,-58.9620183172473,-1.57894812780071,0,0,0,0,0,0,0,0,0,0
3,20,0.011758115317849,-0.0041199317704084,0.101803021201174,0.158580276216981,-41.5385243484964,-2.7901400077268,0,0,0,0,0,0,0,0,0,0
1,21,-0.0089768675180526,-0.00167471680183992,0.0770118902571486,-0.183736919370523,-39.9253387903864,-1.49272573404599,0,0,0,0,0,0,0,0,0,0
2,21,-0.0588411854107269,-0.00327316887030235,0.15431725971799,-0.16223854069057,-4.57151412858548,-5.38774504135712,0,0,0,0,0,0,0,0,0,0
