rep,id,b02,b12,b03,b13,b07,b17,p1,g1,p2,g2,alpha12,alpha13,alpha17,alpha22,alpha23,alpha27
1,6,7.40486355749625,-0.00748453168548683,5.41175388226588,-0.200838335778467,314.003979674207,-9.05160670261102,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,6,7.38517605533469,0.00628420155404784,6.03162200642464,-0.161112124367408,515.860092318695,-8.06752950968903,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,6,7.41004247283957,0.00217447553353052,6.64510320366032,-0.089913392727698,367.231715614651,-10.171994652889,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,7,7.34562091039644,0.00833705462521827,3.66306912217295,0.0482851596842913,412.204501337697,-4.71530397639914,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,7,7.40486413276295,0.00325082453138348,4.31577759304985,0.012635129809777,328.636783424795,-0.952207018260962,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,7,7.40031226044671,0.00497241273164819,3.79028681136719,0.0306222564660257,350.172693442418,-2.88729231549241,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,8,7.42422599598779,0.00119896156366135,3.58768123483745,-0.411851308712444,392.893500314214,-7.33278232836836,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,8,7.4025878084533,0.00789188142932395,4.15138598046789,-0.43436278206323,506.288981298943,-3.66072183459844,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,8,7.43455145649469,0.00676866534953606,4.23602524409448,-0.384182276282596,481.813007057534,-3.66651605026328,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,9,7.38530419666382,0.00385734290119202,4.10306496298273,-0.223758852440322,441.01628292098,-5.24612878396249,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,9,7.41601933223961,0.000439074172828326,4.54611067213005,-0.242907991664183,317.992938353935,-12.1450859266084,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,9,7.4202526065746,0.00518446653073977,4.7093297603961,-0.21530861547411,334.434953710169,-9.52431697071895,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,10,7.37097043170111,0.00627614947631972,4.7656763964163,-0.200105001354409,312.179870997604,-7.59838455755131,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,10,7.43582519089896,0.00224125178265507,4.63936643740251,-0.126801528229339,306.050249773513,-6.34691075983904,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,10,7.34973331724746,0.00120461765153031,4.72362255723263,-0.203765668595939,443.522479962042,-7.73839290970789,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,11,7.45922150120282,0.00368423722588781,4.33653694094824,-0.172917051838638,405.586003371835,-5.82645635109211,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,11,7.45205722465229,-2.43951108529314e-05,3.50539070277866,-0.00479157651536894,360.45516509578,-5.5018397029792,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,11,7.37457001789714,0.0107393831253342,5.14619268606541,-0.218673085851591,316.434165340466,-7.47928771389905,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,12,7.40069033677208,-0.00105387325672902,3.40036037526744,-0.181756606346852,418.238415411625,-8.83014214307548,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,12,7.39932637824263,0.000145132006379669,3.00849652874306,-0.164364146146453,369.065527050302,-6.81236158009915,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,12,7.40233563623746,-0.00111314267921073,4.55961152741031,-0.241742024069615,437.726211246632,-7.39567317310546,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,13,7.39430935767412,0.00476124647852345,4.4174221899542,-0.108354194711886,350.157669210867,-1.52819221631852,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,13,7.42196869286728,0.00319721692777818,5.18148809818499,-0.106857073114047,331.138964541747,-7.07476016839604,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,13,7.39846450010437,0.00592664283465001,4.50703471301357,-0.0610552738580618,408.870639496104,-12.4966765262694,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,14,7.47191665420872,0.00109320301317893,5.82246576617227,-0.142313744463149,425.542181389326,-4.304502843112,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,14,7.45173346546467,0.00167712849737143,5.38976685243265,-0.113628640224246,369.003740981072,-2.45189762787197,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,14,7.47955355015585,0.00153432711134756,4.86509173925823,-0.0927116486022943,373.507618019179,-3.1074123813517,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
