rep,id,b0,b1,h1,h2,alpha1,alpha2,hcov1,hcov2,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2
10,10,0.505382095780566,-0.00303991654423108,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0336679161713489,-0.000439135504980478,0,0,0,0,0,0
1,11,0.55829241899196,-0.00189862149128774,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.0192424070400451,0.000702159547962865,0,0,0,0,0,0
2,11,0.564944521600305,-0.000866870827330661,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.0258945096483897,0.00173391021191994,0,0,0,0,0,0
3,11,0.537088656470434,-0.00112774745728986,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,-0.00196135548148102,0.00147303358196075,0,0,0,0,0,0
4,11,0.527805094672142,0.0006468842442995,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,-0.0112449172797729,0.00324766528355011,0,0,0,0,0,0
5,11,0.567769300704043,-0.00194349438106119,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.0287192887521279,0.000657286658189417,0,0,0,0,0,0
6,11,0.541088587868408,0.00023032821852988,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.00203857591649292,0.00283110925778049,0,0,0,0,0,0
7,11,0.527166307548213,0.000732688975240813,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,-0.0118837044037019,0.00333347001449142,0,0,0,0,0,0
8,11,0.526861229149393,-0.000769076460527606,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,-0.0121887828025224,0.001831704578723,0,0,0,0,0,0
9,11,0.546124931865244,0.00039316518916929,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.00707491991332831,0.0029939462284199,0,0,0,0,0,0
