rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha21,eta_alpha22
2,25,-1.41385982594982,0.103175286887601,-0.0785880836166785,0.684302733388384,0.0407880532653984,0.000733213613583431,0,0,0,0,0,0,0,0
3,25,-1.04455184675617,0.0369787349624135,-0.182555890769032,0.517962832702588,0.0494073443024412,0.00482829781573005,0,0,0,0,0,0,0,0
1,26,-0.523613182634956,-0.1251980463105,0.0304225782705727,-0.718578092783239,-0.0145522682988126,-0.000752922564230105,0,0,0,0,0,0,0,0
2,26,-0.431680548168683,0.051547310802656,0.0685588743985378,-0.782308315095478,-0.0200283233444232,-0.00697477165540899,0,0,0,0,0,0,0,0
3,26,0.233911672289365,0.0507289039768981,0.10796349594681,-0.705129618447739,-0.0430737313951681,-0.0034815933488361,0,0,0,0,0,0,0,0
1,27,-1.54715061688249,-0.0641154051852314,0.0200876545406569,-0.168742963291195,0.0235222699928386,0.00467301419435716,0,0,0,0,0,0,0,0
2,27,-1.57978355599494,-0.0386761914697763,-0.00832603551201216,0.542694445484518,0.0321505853754003,0.000807049016953831,0,0,0,0,0,0,0,0
3,27,-0.614582578201871,0.0351696270076777,0.0970818954184208,0.509760575704781,0.0237794779114671,0.00520885261763627,0,0,0,0,0,0,0,0
1,28,0.27352501601333,-0.0942157884498054,-0.0556670686856848,-0.0688139928484273,0.0284621847853019,-0.00179722258011948,0,0,0,0,0,0,0,0
2,28,-3.71647191921033,0.198419523096544,-0.0474698769956604,0.133281051465898,-0.00630095534712005,0.00429999741271654,0,0,0,0,0,0,0,0
3,28,-3.66912262662884,0.148662390114219,-0.0869824885706353,0.17625193231946,0.00735328764939336,0.00331750857746787,0,0,0,0,0,0,0,0
1,29,-0.0707205100537918,-0.155619246933498,0.0441507145820957,-0.0582832536606892,-0.0202318069652847,0.00184484449498302,0,0,0,0,0,0,0,0
2,29,-0.643395730986593,-0.0132574632309984,-0.00549165563628456,0.323805927051606,-0.0225140768398138,0.000306934075630998,0,0,0,0,0,0,0,0
3,29,-0.948516584100958,-0.103047325046645,0.0419528197124447,-0.746896385440007,0.00447367494539463,-2.34941190554428e-05,0,0,0,0,0,0,0,0
1,30,0.0725752929329175,-0.19398912705011,-0.0503423385667798,0.838182997307994,0.0090651795455674,0.00206077237693053,0,0,0,0,0,0,0,0
2,30,1.82713493102931,-0.0477587834550786,0.00489712692828947,1.01492897113956,0.0386386862001231,0.000292249918204791,0,0,0,0,0,0,0,0
3,30,1.52510924927391,0.110068879028456,0.142564384076596,0.239905171718832,0.102422814683907,0.00349909526951644,0,0,0,0,0,0,0,0
1,31,-2.86779199703426,-0.0210632657848399,0.0446422081202604,-0.104797714578165,-0.0140067988602679,0.00369771098824955,0,0,0,0,0,0,0,0
2,31,-2.57608105156715,-0.00457200503578312,0.117375395782943,-0.111510419813774,0.00980737943954857,-0.00283470108356002,0,0,0,0,0,0,0,0
3,31,-3.27954339047444,-0.00173928493796893,0.000481704281688033,-0.0356866876986601,-0.0338563794502935,0.00101980190402239,0,0,0,0,0,0,0,0
1,32,2.47500135068328,0.0397366418124565,0.0799091734377723,-0.119795184523268,-0.0515421858377412,0.00103503456040369,0,0,0,0,0,0,0,0
2,32,1.75975957542748,0.0230379049432765,-0.0708056539643621,0.647082884484441,-0.0850816058375452,0.00198244553165238,0,0,0,0,0,0,0,0
3,32,2.6388601271628,0.103539010325446,-0.133933778943332,-0.517353973934385,-0.0553092835959639,0.00149746798841944,0,0,0,0,0,0,0,0
1,33,3.7297741355358,-0.0740904003503106,-0.0194988226912975,-0.523793145553608,0.0132795041592777,-0.00308320871648311,0,0,0,0,0,0,0,0
2,33,1.59726345737736,0.0332059980705897,0.00166054599543483,-0.290960727724626,0.0135513607254332,0.00570481441404365,0,0,0,0,0,0,0,0
3,33,3.44108650779962,0.03062527035838,0.0415447966466914,-0.0909957063881937,0.0244940264083322,-0.000442664724161365,0,0,0,0,0,0,0,0
1,34,-1.60284934911748,-0.191554305042891,0.00402957544745858,0.183996197168279,-0.0186078325303622,0.00580484440015512,0,0,0,0,0,0,0,0
2,34,-1.41051126862896,-0.155638202355358,-0.0034671639804589,0.0663765068875115,0.0181708271855667,0.00300724060619114,0,0,0,0,0,0,0,0
3,34,-1.18664650019839,-0.102076059123742,0.00667170191826252,0.751218391767205,-0.0201822508131819,0.00310882312557443,0,0,0,0,0,0,0,0
1,35,2.32658319771075,-0.0818182912608455,-0.145798406782406,0.593868211058213,0.0252902889215152,0.00100646620311703,0,0,0,0,0,0,0,0
2,35,-0.277276133335505,0.0839601417865954,-0.0698196746897483,0.511267817290115,-0.0127929666013706,-0.000166011120842966,0,0,0,0,0,0,0,0
3,35,-0.4605992316103,0.192518441196777,-0.0620671879009685,0.474933328484888,-0.0322367904799803,0.00331050336736387,0,0,0,0,0,0,0,0
1,36,0.214215934724259,0.273385174017669,0.00409017021954475,1.71861800754518,0.0341847407613116,-0.00215688845777381,0,0,0,0,0,0,0,0
2,36,-0.186462577540989,0.231238124006094,-0.0869342450557782,1.1925013245493,0.00410640109253091,-0.00704395574932601,0,0,0,0,0,0,0,0
3,36,1.23807356904655,0.163640630338439,-0.0997474188268991,1.31278840571024,0.00735959318457624,-0.0074885643011611,0,0,0,0,0,0,0,0
1,37,0.926598379227585,-0.0272187232428011,0.101441181114338,0.545290926481099,0.0403745846825734,-0.00218962176792284,0,0,0,0,0,0,0,0
2,37,-0.0371592281130422,0.0350419077719763,0.143717230465311,0.221108526220332,0.0498400272396973,-0.00314732822214417,0,0,0,0,0,0,0,0
3,37,0.0056928861321337,-0.244911415212026,0.118296721004333,-0.798682999434142,0.0463737364476469,-0.00773980143566073,0,0,0,0,0,0,0,0
1,38,0.877620590234207,0.0827903264074066,-0.088980070891289,-0.0226743871216977,-0.0292242623441652,-0.000321702615779723,0,0,0,0,0,0,0,0
2,38,1.63926247224205,-0.160170542514474,-0.0293664815498229,-0.391893376663385,-0.00554386481609992,-0.00419742615425807,0,0,0,0,0,0,0,0
3,38,1.83383913668954,-0.00720388159941499,-0.0921477831903394,-0.524200510923588,-0.00497565918254228,0.000512742226247045,0,0,0,0,0,0,0,0
1,39,-3.05530503873498,0.0321123633293512,0.0605897628035678,-0.701881757053744,-0.0147897686491172,-0.0022192125946814,0,0,0,0,0,0,0,0
2,39,-2.01414482248235,-0.195016505142808,0.216770172429533,0.0100323515607412,0.00930472343240307,-0.000124317236759148,0,0,0,0,0,0,0,0
3,39,-2.72439343976489,0.0934575916837374,-0.277944151501848,-0.052828312881954,-0.034977386718376,0.0042582436335362,0,0,0,0,0,0,0,0
1,40,-0.058893304334763,-0.185966100062636,-0.137794927896584,0.324789476790379,0.0658330200966883,-0.0131334682020095,0,0,0,0,0,0,0,0
2,40,-0.238693210746699,-0.111912377953138,-0.0773157154714408,-0.13033172430732,0.0194955983078229,-0.00518099760231832,0,0,0,0,0,0,0,0
