id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b04_SAEM,b14_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha14_SAEM,alpha22_SAEM,alpha23_SAEM,alpha24_SAEM
58,7.4342,0.00242808,4.42568,-0.191785,7.81791,0.0117599,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
59,7.40953,0.00217776,3.61522,-0.248788,5.12356,0.00897596,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
60,7.37493,0.00317734,3.35264,-0.0834002,3.09047,0.0454262,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
61,7.37367,0.00278251,4.25807,-0.0939273,5.38204,0.0141327,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
62,7.40063,0.00321324,3.60085,-0.092955,2.03633,0.0192389,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
63,7.33534,0.00215519,5.57709,-0.14505,0.740458,-0.0246821,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
64,7.38188,0.000221333,4.64362,-0.136114,3.82134,0.0298492,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
65,7.39877,0.00208878,3.06312,-0.155234,3.69787,0.0189808,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
66,7.36879,0.00560827,4.44201,-0.250408,3.41989,0.121991,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
67,7.4496,0.0085558,4.31401,-0.229967,5.72823,0.0945648,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
68,7.41427,0.00991389,4.33057,-0.266114,5.69246,0.0878551,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
69,7.39744,0.00291893,3.87534,-0.157647,3.65387,0.0293835,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
70,7.39033,0.00288432,4.49835,-0.0854181,5.33814,0.0249909,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
71,7.39014,-0.00153189,4.71288,-0.0350491,6.32197,-0.0365723,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
72,7.40836,0.000883708,4.81197,-0.0198161,3.90953,0.0964342,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
73,7.37284,0.00523113,4.36265,-0.155899,3.59728,0.14642,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
74,7.41519,0.00305887,4.41374,-0.160537,6.05826,0.0207228,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
75,7.43018,0.00429016,3.07761,0.0667585,6.69964,0.0449341,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
76,7.41463,0.00251151,5.20761,-0.188863,6.26254,0.0160384,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
77,7.39828,0.00471645,5.69383,-0.124232,4.68503,0.0841087,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
78,7.43579,-0.00359699,1.70662,-0.131298,6.46609,0.00832869,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
79,7.43934,0.00175772,5.11813,-0.0163495,6.3329,0.0160456,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
80,7.42476,0.00450149,2.72336,-0.172597,4.38162,0.0570155,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
81,7.41307,-0.00190766,5.31817,-0.336685,5.37562,-0.0732085,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
82,7.33787,0.0024925,3.63111,-0.15643,3.14342,0.0287828,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
83,7.39246,0.000835742,4.01677,-0.36523,6.24109,0.0379802,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
84,7.39427,-0.00419074,4.25445,-0.0483148,4.06554,0.00950674,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
85,7.34758,0.00696506,4.34408,-0.131891,3.11195,0.0910573,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
86,7.4071,0.0041112,3.78146,-0.182483,6.18702,0.00766908,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
87,7.35986,0.00129249,5.55359,0.00194777,3.08008,-0.00732854,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
88,7.38787,0.00387566,5.33281,-0.133622,4.67414,0.0452423,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
89,7.4354,0.00126952,4.11299,-0.503139,6.28218,0.080608,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
90,7.39492,0.00390493,2.64541,-0.34643,4.13334,0.00139621,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
91,7.38859,0.00100681,4.48788,-0.141351,5.86724,0.0089615,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
92,7.43991,0.00854389,5.10017,-0.00504243,6.95768,0.0988092,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
93,7.37167,0.00292985,2.67224,-0.134301,3.09155,0.0326914,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
