rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26,eta_alpha27
2,11,0.107528897402457,-0.0360657118538488,0.171200683963177,-0.647188038507501,0.0298912173614454,-0.00511020000509434,0.16220793658757,0.258839418901789,-0.328271512645855,-0.013409053833155,0.356003805429967,0.034255613988228,-0.181877249831035,-0.055268321671026,124.956151842863,-5.28173986236868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,-1.64324701269628,0.0576665460164565,0.0360973303027244,0.77826154317795,0.049482567601971,-0.00589301562416655,-0.67106250134055,0.273740796198049,-0.024046320255688,-0.0867725680246536,-0.071330582959904,0.135572579221248,-0.403438655085291,-0.000943439871371077,136.299359504944,-1.30784614786204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,-0.951113913519827,0.085289469633445,-0.133563387500298,-1.30447552310964,0.032362650111045,0.00258872007359314,-0.0918813018724007,-0.10482479204377,0.860706811167638,-0.0774871108306147,-0.625206730304625,-0.244157691270956,-0.421656219535761,-0.00147569247993665,-1.14110893644846,-7.02699322104037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,-0.519348564939661,-0.00451847952517298,-0.2092160943971,-0.114905814598775,0.00833872622103193,-0.00300729327900207,-0.738856010366658,-0.0535537287763094,1.42935339813614,-0.123731829610212,-0.546004985201526,0.0934743910788348,-0.141679560147014,0.00340133089890302,1.17585097588199,3.26598483478944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1.9103988528224,0.0372935986512964,-0.0589171170682854,1.08999898304421,0.00461723945460157,0.00819362398417324,-0.564141176620421,-0.104089437729474,1.62370579107347,-0.108965640659738,-0.0695163318390568,-0.189426459423772,0.0710346389742256,0.0100896532742602,-35.932051313053,-5.68418013668495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,-1.66125887079423,-0.135211560176784,0.0103159144436169,0.723384940358149,0.0139715976486068,-0.00312635075700765,-0.0769658130775177,0.0223188330879726,-0.164319084302817,-0.0292566634338632,-0.426701541539337,0.121448374730066,0.279974222412925,0.199451255305214,366.068751061399,-4.0659955503812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,-1.84983889338453,-0.11565868505519,0.0641889481428578,0.230389859862472,0.0184725543220647,-0.000526757260536621,0.225250905177448,-0.0220966228308153,-0.857781592055134,0.101310620881017,-0.444014532161757,0.0532759601935482,-0.00589203213651057,0.1016535959221,186.9977833644,1.97494444596173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,-2.69069013792602,-0.0980724161780357,0.0925997284431327,-0.684503481355942,-0.0160152565822065,-0.00372621303729214,-1.52720041366861,0.218872616293019,-0.973174148923611,-0.00306150232716983,-0.968067898726596,0.211876012513353,0.432003704058697,0.043384437447257,275.514101098334,-2.29223529980329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2.24141573351229,-0.0530939187571083,0.0904114312889006,-0.608237376182673,0.032242564233826,-0.00613945092639036,-0.517628355996018,-0.115373284382843,2.30706762762518,0.0677963071820091,1.51134476861455,-0.0485741580372896,-0.856710437960709,-0.0512322351089286,-323.588369094599,-2.86628671698623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,0.844045333536411,0.0750017293474103,-0.0712176292583178,-0.586685158240304,0.0361752193042237,0.00349553977253363,0.331501589509139,-0.335447266875074,2.13466706599736,0.0625569188719889,1.01546408512476,-0.28911934386269,-0.333593946203239,0.040327546651131,-325.083607671528,-1.77857326729169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
