rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b06,b16,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha16,alpha21,alpha22,alpha23,alpha24,alpha26
2,4,3.0983405229377,-0.234509725091094,-0.098872499750757,5.06691833402133,7.4101383106868,-0.00486574439788684,4.24147228539463,0.180016749749245,4.03492539241635,-0.0429918247556735,4.33298287382593,0.00953025491149627,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
3,4,1.02421019595468,-0.0816924931901436,-0.175000589861187,2.99262557605736,7.4110735913743,-0.00408715411385039,3.87576169104079,0.183881187691399,3.82285683627579,-0.0168552652262148,4.22303583383136,0.00652559227645614,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
1,5,6.87866581752071,-0.329715068401844,-0.147377542872104,5.86025256293549,7.37429229938633,-0.000679807504392634,4.12296737263491,-0.00448935416498242,4.52089600311566,0.0669046226500122,5.66433322232288,0.0514765770289783,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
2,5,6.62789057257523,-0.12029471377068,-0.162434280171038,0.127276351948989,7.3773543652652,-0.00183830649712376,3.64920775699774,0.126012252931763,5.26936852096711,0.0312154687359045,5.10035531567814,0.0974688416564168,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
3,5,5.48670931833238,0.00140665595349586,-0.197585246146915,2.02519830840663,7.36674769894982,-0.000292567115094104,3.48164913850369,0.104174334029977,4.25480698563355,0.066583311403817,5.75134442749269,-0.0276122120734602,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
1,6,5.26927251016104,-0.0409524824831524,-0.348561167260948,3.66002453336936,7.29946918746783,0.00222614213070343,3.87575816504857,0.0259555973094092,0.772798846863101,0.047666523481853,4.27422670214846,-0.164649082154071,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
2,6,6.31277267928176,-0.308455340818098,-0.125571673668205,3.09338603533878,7.313725200346,0.00304917594005536,4.7186646187974,-0.000561297590834925,1.32774324775995,0.025766727964927,4.92794300223249,-0.120735565498615,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
3,6,7.03059127250695,-0.120988785201949,-0.193238961494459,5.94097495501248,7.31732218175134,-0.000729548532093682,4.22031242832014,-0.139822996403524,0.571411726142537,-0.0931466926213335,4.39132539551094,0.00926554409906974,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
1,7,4.04777194381428,-0.374310895507879,-0.110396508191576,5.50062075606578,7.46834104598746,-0.000496606995508584,4.85201503702344,-0.404907331561166,3.39124469445906,0.0446446190999687,5.55031024090839,-0.0531155482973599,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
2,7,4.02613274580739,-0.164303793109523,-0.224430128765976,0.491550728150503,7.50254170473949,0.00304905930583927,4.40411188491449,-0.148528621675678,3.48526602394442,-0.0111659186443174,5.71337762889265,-0.141059019800174,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
