rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha27
3,15,3.87846705854303,0.121740866178929,-0.0217860795796645,-0.839781818360038,-0.0263762709928139,-0.00239789772453094,-0.597021798082409,-0.09837796064428,0.405502236205515,0.0471481398836546,-75.8071873837396,1.91298994096013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,0.801937060569369,0.0788452224399829,-0.0420886843070745,-0.860469501773919,-0.0351061439792932,0.00358674511042791,0.452957532006023,0.212389592859851,-0.0364227149298673,0.196228918187834,-44.4690879596068,3.87254249693422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,-2.59843654032367,-0.0883075274292275,-0.0409652583123438,1.37437016000957,-0.0469820302518356,-0.00276635218558775,0.985173318135902,0.102834956675461,-1.09865655331306,-0.0550569407535742,-105.768142844201,-1.90601003588734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,-1.03744290935641,0.135030554470309,0.0233125558612442,-0.644111754294084,-0.00695859574714586,0.000537803156471591,0.733983211430405,0.119881472330052,0.739356714194683,0.0406684673359453,-81.0854564974339,-1.45521790403278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,-0.635327352385047,0.021786502576035,-0.0238406183132393,-0.103498492668777,0.00837813695760836,-0.00482301519001779,0.0549324957835857,-0.0279355221989397,-2.00419353120083,-0.148913070231111,-40.3461340212476,-1.11175321823722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0.133835391874112,-3.10489894393556e-05,-0.00844231100528012,0.141492236137486,0.0262561851511069,-0.0052168208244669,0.919945268288044,-0.0560354798502684,-2.81332867266308,-0.102094056022944,-88.2173391758537,1.0950653870866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17,-1.41003661420025,0.0245391638910971,-0.0319736399401935,0.588126318340712,0.0394811947177791,-0.00733726429858905,-0.0087216623074271,-0.0262058652210198,-2.2087328547407,-0.146847696709955,-49.1875543034664,-1.40309820992702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,-0.204356600972827,-0.0999671073177884,0.0272550515418219,-0.682673288445378,-0.112152258451252,-0.00224763620401231,-0.170355688467017,-0.246042030317406,-0.326154404882078,-0.0234697984644064,83.7884430940242,0.245272489906537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18,-1.24564244427039,-0.0240219731459063,-0.0765683744965128,0.474553279013184,-0.109949087358878,0.000596920484606038,0.0158622131074075,-0.158206294043524,-1.00920176970137,-0.0262040137622157,33.7390112554387,-3.54929213701327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18,-0.981348858765752,0.0274383969226646,-0.0245428611131258,-0.139947245143007,-0.0822618926124017,-0.000760671516801892,-0.515148560243926,-0.14373617376311,-1.58407676004281,0.0875774482103841,9.27047228145597,1.30041782384871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,-0.859105371651378,0.0922387035984495,-0.0102793102489986,0.476018873716586,0.0178747140056599,0.00217567716440762,0.418300595568425,0.21080378864229,1.78751113000517,0.0859203024045724,24.3647321630631,-4.02157109871902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19,-1.49078637254222,0.0720788010638938,-0.01951030009896,1.02204298854889,0.0356034744024623,-2.82951092900894e-05,0.809217543297724,0.194281513720889,1.4471858136718,0.100511004506475,40.6451846917291,-4.54168949574968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19,0.362373704555901,0.058870611260158,0.0250628942990103,0.781089058555392,0.0352397200824672,-0.000258200686336727,0.102043633619211,0.228103315262562,1.21737089828685,0.104425929426024,8.26605324398679,-3.11007298387858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,1.09204701462709,-0.195125095597881,0.0530626682022619,-0.072309123884106,-0.0144722234465329,-0.00589381631611562,-0.298561720688113,0.283045137242363,0.838997150539345,-0.179224908113614,92.0852651759302,-10.1349484531103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
