rep,id,b02,b12,b03,b13,p1,g1,p2,g2,alpha12,alpha13,alpha22,alpha23,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
1,8,7.40841770929056,0.0157992693049289,3.5526743852572,0.0716470013628382,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.00173165076057646,0.0141064150857812,-0.533895477488001,0.19432807922544,0,0,0,0,0,0,0,0
2,8,7.47975769397108,0.00700004379231186,4.68049291459556,-0.106335900130234,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0730716354410985,0.00530718957316412,0.593923051850358,0.0163451777323672,0,0,0,0,0,0,0,0
3,8,7.4577503196841,0.0104719618125036,3.62797767350025,-0.0426190339545482,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0510642611541172,0.00877910759335582,-0.458592189244952,0.0800620439080533,0,0,0,0,0,0,0,0
1,9,7.44947199919046,0.00571444161498328,2.88196154560105,0.184240953534415,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0427859406604769,0.00402158739583553,-1.20460831714415,0.306922031397016,0,0,0,0,0,0,0,0
2,9,7.43966258390407,0.00724969581157197,3.85491582668597,0.0246477291443107,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0329765253740861,0.00555684159242423,-0.231654036059231,0.147328807006912,0,0,0,0,0,0,0,0
3,9,7.44214806784754,0.00742488030151455,3.71417657712671,0.144494376605988,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0354620093175599,0.00573202608236681,-0.372393285618489,0.26717545446859,0,0,0,0,0,0,0,0
1,10,7.44797752339296,0.0118610295608613,5.19751025992735,-0.213711453028574,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0412914648629723,0.0101681753417136,1.11094039718215,-0.0910303751659727,0,0,0,0,0,0,0,0
2,10,7.48051896189875,-0.0011354103449081,4.94576136384632,-0.267792266445989,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.073832903368765,-0.00282826456405584,0.85919150110112,-0.145111188583388,0,0,0,0,0,0,0,0
3,10,7.44206344658962,-0.0081575502726946,5.01931582100417,-0.143079490787049,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0353773880596311,-0.00985040449184234,0.932745958258968,-0.0203984129244471,0,0,0,0,0,0,0,0
1,11,7.36324846939647,0.00635904677767983,3.17571918890048,-0.205790988491424,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0434375891335153,0.00466619255853208,-0.910850673844724,-0.0831099106288225,0,0,0,0,0,0,0,0
