rep,id,b01,b11,b02,b12,b03,b13,b04,b14,b05,b15,b06,b16,h1,h2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,hcov1,hcov2,eta_b01,eta_b11,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26,eta_hcov1,eta_hcov2
2,4,60.5721016123541,1.43296548191513,6.15431348798301,-0.0675504785603344,2.48304110798892,0.0381727917112445,2.00782143342415,0.152104817649238,4.34809142657914,0.0159170546753442,93.3608556254575,-0.111249046605785,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-4.65354274122033e-14,-0.62252962812359,-28.6248950186439,1.03991157910988,0.0808991641868184,-0.00915294998280532,-1.75642204438507,0.184821164811766,-2.4096446069485,0.194336370115841,-0.120755081034448,0.00344941794365655,-0.647301235696389,-0.0493854195843149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,69.3125132008301,1.37651787732329,4.88253938828893,-0.194803725270498,2.667667415948,-0.340657719914623,2.36604228840304,-0.0101193264284015,4.34260944423665,0.0185672004254013,92.4678583321679,-0.398814534683926,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-4.65354274122033e-14,-0.62252962812359,-19.8844834301678,0.983463974518035,-1.19087493550726,-0.136406196692969,-1.57179573642599,-0.194009346814102,-2.05142375196962,0.0321122260382021,-0.126237063376942,0.0060995636937136,-1.54029852898593,-0.336950907662456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,114.258705439413,-0.510814554184698,9.93306516009345,-0.219199144903069,3.42511209062287,0.00584902477597913,5.67662010243641,-0.221299780812357,4.83481017590815,0.0210282260552715,98.0986338550868,-0.448929645459968,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.74507852795763e-14,-0.233448610546346,25.0617088084154,-0.903868456989949,3.85965083629726,-0.16080161632554,-0.81435106175112,0.1524973978765,1.25915406206376,-0.179068228345753,0.365963668294561,0.0085605893235838,4.090476993933,-0.387066018438498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,110.339790414719,-0.590334665618625,9.94644329961137,-0.203449307947011,3.28515786133076,0.0101144010105803,5.71075790613145,-0.228276875602106,4.63802160375337,0.0424435441889137,97.5264931994837,-0.306050005517531,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.74507852795763e-14,-0.233448610546346,21.142793783721,-0.983388568423876,3.87302897581518,-0.145051779369481,-0.954305291043232,0.156762774111101,1.29329186575879,-0.186045323135502,0.169175096139775,0.029975907457226,3.51833633832983,-0.244186378496061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,117.649249399142,-0.717362390586438,8.7724756601338,-0.141916427791886,3.57605351506528,0.00105063345536892,4.6777956833653,-0.132931733429909,4.92005202418753,0.0298830269166165,97.3205626065981,-0.39713657170737,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.74507852795763e-14,-0.233448610546346,28.4522527681436,-1.11041629339169,2.69906133633761,-0.0835188992143569,-0.663409637308709,0.14769900655589,0.260329642992644,-0.0907001809633055,0.451205516573935,0.0174153901849289,3.31240574544422,-0.3352729446859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,98.0293398724384,1.12479901910523,5.47716329036805,-0.0762258462030366,5.52682368986552,-0.181768347863881,1.82358336147486,0.0547910377720966,4.11407210311245,-0.014110006045242,91.4538416830406,-0.0262113058059213,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.16338568530508e-14,-0.155632407030897,8.83234324144037,0.731745116299982,-0.596251033428139,-0.0178283176255075,1.28736053749154,-0.0351199747633603,-2.5938826788978,0.0970225902387001,-0.354774404501145,-0.0265776427769297,-2.55431517811327,0.0356523212155488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,116.935985507079,0.930954446607618,5.86081213609813,0.0447003519995513,4.97494860057609,0.149787182979074,2.96154953506843,0.0276285679990178,3.76946736299518,0.00639907651619562,92.0189037888548,0.0245094356145212,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.16338568530508e-14,-0.155632407030897,27.7389888760806,0.537900543802367,-0.212602187698064,0.10309788057708,0.735485448202097,0.296435556079595,-1.45591650530422,0.0698601204656213,-0.699379144618415,-0.00606856021549207,-1.98925307229908,0.0863730626359914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,95.7920549357622,-0.286235333442036,6.01658523302208,-0.216711652131491,5.47061527018481,-0.0480738563479208,7.11978362820025,-0.096494346331867,3.8204240991687,0.00490961309848706,93.6873408202017,0.00368876025326439,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.16338568530508e-14,-0.155632407030897,6.59505830476425,-0.679289236247287,-0.0568290907741105,-0.158314123553962,1.23115211781082,0.0985745167526003,2.7023175878276,-0.0542627938652635,-0.64842240844489,-0.00755802363320063,-0.320816040952153,0.0655523872747346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,86.8144204159544,1.07522652702145,6.50643170942788,-0.0659687052627321,5.4180896153544,-0.0309221881222773,3.0408159898502,-0.11623999194187,4.03482446651565,0.0146165362066358,95.91340674111,0.143673048868444,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.9803141118305e-14,-0.933794442185385,-2.38257621504356,0.682172624216198,0.433017385631685,-0.00757117668520303,1.17862646298041,0.115726184978244,-1.37665005052245,-0.0740084394752665,-0.434022041097943,0.00214889947494811,1.90524987995612,0.205536675889914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,92.7227394287358,1.3365292542702,6.97139942210112,0.112364627360311,4.61480382878452,-0.0413927339061376,3.90672777644016,-0.12068929125138,3.99140341073437,0.00219983843200951,95.331693103552,0.0868632477704479,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.9803141118305e-14,-0.933794442185385,3.52574279773785,0.943475351464953,0.897985098304932,0.170762155937841,0.375340676410532,0.105255639194383,-0.51073826393249,-0.0784577387847768,-0.477443096879221,-0.0102677982996782,1.32353624239812,0.148726874791918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
