rep,id,b0,b1,b2,a,h1,h2,alpha1,alpha2,hcov1,hcov2,eta_b0,eta_b1,eta_b2,eta_a,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2
2,5,389.689827175967,0.0950306371471194,0.104077783958234,180.981471382317,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,178.484806321963,0.111537429468334,0.282300366501241,0.302520753682008,0,0,0,0,0,0
3,5,183.169164721487,-0.131463219269808,-0.308067949948408,764.718961689607,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,-28.0358561325171,-0.114956426948593,-0.129845367405402,1.74363449169878,0,0,0,0,0,0
4,5,435.375768146267,-0.0102647244778869,0.0928284300012591,47.6665347086355,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,224.170747292263,0.00624206784332799,0.271051012544266,-1.03164433105269,0,0,0,0,0,0
5,5,92.1907528916606,-0.107204907076018,-0.284186440523067,969.234998092992,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,-119.014267962343,-0.0906981147548031,-0.105963857980061,1.98063319428998,0,0,0,0,0,0
6,5,374.193276567167,0.0765770384756464,0.117112981674045,37.4660400673615,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,162.988255713163,0.0930838307968612,0.295335564217052,-1.27243897981947,0,0,0,0,0,0
7,5,117.983884807108,-0.0637892483631376,-0.305392481263168,457.583108272123,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,-93.2211360468958,-0.0472824560419227,-0.127169898720161,1.23008462135292,0,0,0,0,0,0
8,5,367.171717176486,0.119600028200592,0.143602905495357,31.7276239102202,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,155.966696322482,0.136106820521807,0.321825488038364,-1.43868618614405,0,0,0,0,0,0
9,5,400.174142281586,0.0314188455849838,0.0737226628706804,92.2249927587431,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,188.969121427582,0.0479256379061986,0.251945245413687,-0.371642739324905,0,0,0,0,0,0
10,5,406.491839113691,0.0598673613905544,0.0882020102384019,105.280281472109,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,195.286818259687,0.0763741537117692,0.266424592781408,-0.239247763159651,0,0,0,0,0,0
1,6,207.150829935815,0.0669758434066275,-0.0222394430960472,50.3617536663042,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.455640336367849,-0.249936933064022,-4.05419091818925,0.0834826357278424,0.155983139446959,-0.976641873117159,0,0,0,0,0,0
2,6,251.669329071052,-0.0370363595684273,-0.16572503888136,106.837353125388,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.455640336367849,-0.249936933064022,40.4643082170477,-0.0205295672472124,0.0124975436616469,-0.224566290546907,0,0,0,0,0,0
3,6,242.657248570823,-0.0710198927717054,-0.284125623552055,38.9330591857197,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.455640336367849,-0.249936933064022,31.4522277168186,-0.0545131004504905,-0.105903041009048,-1.23403016405181,0,0,0,0,0,0
4,6,250.224350445751,-0.0438655900625392,-0.130193797961863,196.945470766859,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.455640336367849,-0.249936933064022,39.0193295917469,-0.0273587977413244,0.048028784581144,0.387052987994187,0,0,0,0,0,0
