rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha21,eta_alpha22,eta_alpha23
2,26,2.15239745911083,-0.0342668825253698,0.144211736453397,-0.176221982608091,0.0276636888354604,0.0117940317557128,-0.20111606681542,0.0390890552317031,0,0,0,0,0,0,0,0,0,0
1,27,1.90292004259449,0.0203177849525575,-0.141132955639993,0.154622244022019,-0.00413873446201493,0.00323906094515438,0.942874627363989,-0.0411938350537637,0,0,0,0,0,0,0,0,0,0
2,27,4.01736561886888,0.0796911200133851,0.038933905932748,-0.796589940681549,0.053430356608499,-2.11250553191771e-05,-0.802134645590892,0.147861067655642,0,0,0,0,0,0,0,0,0,0
1,28,0.585946555853782,-0.0891438284105383,0.0513497177889232,-0.166526194675826,-0.0158436371423826,0.00558913597850005,0.973887824726835,-0.167831622651565,0,0,0,0,0,0,0,0,0,0
2,28,-1.16575696940237,-0.0125457673263086,-0.000546245922509049,1.51247808997808,0.0276477623947493,0.00253250119099183,1.10856883468679,-0.163655097448529,0,0,0,0,0,0,0,0,0,0
1,29,-2.36813280180359,0.0497795921087781,-0.139697192048767,0.473898431233398,-0.0205934653396601,-0.000126846987007299,1.12319499737503,-0.0103238138634432,0,0,0,0,0,0,0,0,0,0
2,29,-0.778653217302591,0.0577732498245841,0.0155206277795984,-1.44990595204608,0.00815305082982601,0.00478934544354257,0.986912654765006,0.0774761187770759,0,0,0,0,0,0,0,0,0,0
1,30,2.42016340812662,-0.0109607451002277,0.00837468631366703,0.398994371142375,0.0390817860214941,0.00558381166731646,0.38666865246178,0.195440626028405,0,0,0,0,0,0,0,0,0,0
2,30,1.92784920290969,-0.0523682670315938,0.0706010051001497,-0.898780006223717,0.0308382869722963,-0.000947568382915516,0.665032492892991,0.064792890199949,0,0,0,0,0,0,0,0,0,0
1,31,2.0106432326182,-0.00894256473175135,0.000841737921699575,-0.223899151555012,-0.0432779053131222,0.00499121920282456,-0.37536365567145,0.00553598574179357,0,0,0,0,0,0,0,0,0,0
2,31,1.78539471810698,-0.0394254285858479,-0.0633515462840288,-0.403036582200622,-0.0375030270621071,0.00530398474709926,-0.109594164979609,-0.0297795244471577,0,0,0,0,0,0,0,0,0,0
1,32,1.78722909772975,-0.0149622975474489,0.0118715980474145,-0.0182969979439073,0.0370176588865297,-0.00116279861217239,-0.181860990837443,-0.105811852632329,0,0,0,0,0,0,0,0,0,0
2,32,2.10641530129312,0.0437183736558443,-0.0423297386349389,-0.0226507603318371,0.0201343244605643,0.00346255192176053,-0.106897117500227,-0.121334824557067,0,0,0,0,0,0,0,0,0,0
1,33,2.16203158041999,-0.0589375316920248,0.00789343915089411,0.358421162045188,0.0486499388350913,-0.00598656096620695,-0.420123280154587,-0.00249693687066033,0,0,0,0,0,0,0,0,0,0
2,33,-0.193854462179539,-0.204780600212655,0.058620761197987,0.15632272855684,0.0362887851829908,0.000518361083420384,0.730978605138474,0.197665916897112,0,0,0,0,0,0,0,0,0,0
1,34,-6.62338120336201,-0.101956637796314,0.00752891277589831,0.726965764547866,0.00569933420275062,-0.00361261320336675,0.746996473144529,-0.059228971249976,0,0,0,0,0,0,0,0,0,0
2,34,-6.46985835558678,-0.0821488959927532,0.0562546874757021,-0.945984536127425,0.0145810298963455,0.0137979622030051,0.784168456685616,-0.228869276789147,0,0,0,0,0,0,0,0,0,0
1,35,0.0100142810628849,0.0527477028131666,-0.0336097551565463,-0.443327130473276,-0.0330879763441096,0.00231460275829927,-0.111843517533251,-0.117175676087777,0,0,0,0,0,0,0,0,0,0
2,35,-0.398403399588273,0.0821545991956379,-0.0189273627719624,-0.562347162871892,-0.00756179526658545,0.0015589158467688,-0.453246254410525,-0.0532400664506552,0,0,0,0,0,0,0,0,0,0
1,36,0.0954347150899045,-0.277499917358833,-0.0363507353379169,-0.440287587324767,0.000984830558285278,0.00552088472754676,-0.526240545499121,0.0209602027551747,0,0,0,0,0,0,0,0,0,0
2,36,0.0503011490701709,-0.0625045830988532,0.0831677799090392,-1.22139311824118,0.0408555368830993,0.00357535549206025,-0.97088579852176,-0.0355922104584289,0,0,0,0,0,0,0,0,0,0
1,37,0.277386590401781,0.0868314518585561,-0.048270182740961,-0.0297377034884439,0.0151046076007873,-0.00593882717412152,-1.16172361798375,0.0791473045972862,0,0,0,0,0,0,0,0,0,0
2,37,2.20359390801308,-0.0283491801030255,-0.0631816577641739,-0.455112643820915,-0.0264354985078622,0.00154691393566969,-0.481472437858152,-0.0746152694610065,0,0,0,0,0,0,0,0,0,0
1,38,-1.20052331468266,0.0650694610007211,-0.0742639608905933,0.163491233854044,-0.0631020320960865,0.00317227689898743,-1.11790919756093,-0.162277871427075,0,0,0,0,0,0,0,0,0,0
2,38,-2.18623462641003,0.103457669047942,-0.0926083010823934,-0.114021970784616,-0.0232039859235116,-0.00133246845194185,-1.22178258684442,-0.15912769204884,0,0,0,0,0,0,0,0,0,0
1,39,1.60432030345763,0.0888593010659148,0.0143285538213781,-0.417084488607705,0.00061033935796665,0.00123663630800357,0.43667654361847,-0.291055584660081,0,0,0,0,0,0,0,0,0,0
2,39,2.42067608733997,-0.0118953012112908,0.00403218751390327,1.08358093201111,-0.0530717570258099,0.00388529666150141,1.3216926639447,-0.330579889573301,0,0,0,0,0,0,0,0,0,0
1,40,-2.40196814457244,-0.0905723589524134,-0.122072657124153,0.616578627623369,-0.0232698437331754,-0.0138280370687847,0.149986095734239,-0.14829371174766,0,0,0,0,0,0,0,0,0,0
2,40,-1.89944233065033,-0.0108645401029783,-0.00330154382336004,-1.09845887667829,-0.047916431494392,-0.0112226270147448,-0.392387112607339,-0.0785192319075387,0,0,0,0,0,0,0,0,0,0
1,41,0.0427450297465868,0.13040416983357,0.00899016737612888,-0.931940231349043,-0.0338961244622091,-0.010720801758834,1.45906493071928,-0.0284836707199816,0,0,0,0,0,0,0,0,0,0
2,41,1.0623821901497,-0.177268068835785,-0.101738746872796,0.197078328852332,-0.0274065647648095,-0.0120719431040602,0.95558574102127,0.00803116389331261,0,0,0,0,0,0,0,0,0,0
1,42,-0.131025948226617,-0.00364868731698972,-0.0461661198841685,-0.875666188765743,0.084451961148067,0.00566582181147819,0.225121890177667,0.0415475962874558,0,0,0,0,0,0,0,0,0,0
2,42,0.323121783466161,0.12540094439547,0.0595088533459221,-0.804438444399111,0.0439738432064937,0.00965134179190779,0.458469746361849,-0.203763247604932,0,0,0,0,0,0,0,0,0,0
1,43,-0.667381304662658,-0.0818996374678675,-0.0316169772419005,-0.537677025112776,-0.00752358422094762,-0.00232229849185716,0.924028651041227,-0.188047834781504,0,0,0,0,0,0,0,0,0,0
2,43,-0.241745061126774,0.00954912402859441,-0.0983930650645534,-0.41339856740101,0.0233010728735913,0.00384983111779032,0.206474983298932,-0.00275112553917233,0,0,0,0,0,0,0,0,0,0
1,44,0.902425583082779,-0.0663503137768195,-0.0347477453806558,0.981552309252903,-0.0741670943992435,0.00296662720080544,-0.724408322104864,-0.388162967706181,0,0,0,0,0,0,0,0,0,0
2,44,0.326579608441308,-0.10216581601595,-0.00226872351605317,-1.19315583125275,-0.0621365713131816,0.000113399735874887,-0.616986959741485,-0.30328916234821,0,0,0,0,0,0,0,0,0,0
