"rep"	"id"	"b02"	"b12"	"b03"	"b13"	"p1"	"g1"	"p2"	"g2"	"alpha12"	"alpha13"	"alpha22"	"alpha23"
1	"31"	7.44890605311397	-0.00139692102711569	4.52545239403887	-0.238304966443164	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"32"	7.43920794808149	0.00488521787847477	3.73970851855479	-0.229907870403377	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"33"	7.43571569582184	-0.000809124570549241	4.78228421296482	-0.163261541661976	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"34"	7.39238382495173	0.0143105891713934	4.82427451680651	-0.142388395839386	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"35"	7.4083617382477	0.00404146497762222	4.0568894263694	-0.0734152382475914	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"37"	7.45827962785762	-0.00383401969836981	4.27741688219993	-0.184225580581796	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"38"	7.34958560491524	0.00726047577338972	2.79820171215808	-0.347870929774628	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"42"	7.42482921946378	0.00368237698959407	5.23930848262307	-0.425572931116088	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"44"	7.38894386945228	0.00660263486293546	3.07480620226073	-0.445899838847427	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"45"	7.3862315785346	-0.00588391380067569	3.78789851873104	-0.216086266183084	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"46"	7.4346464219638	-0.00322649904350844	3.27700608471078	-0.331693787102176	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"49"	7.40443944367686	0.00283945414938087	2.99788337649386	-0.0159220097998054	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"51"	7.48249656335652	-0.00355529246303465	4.31660379859323	-0.345699632973632	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"56"	7.46437312834999	-0.00981155078214986	5.25099661878222	-0.0840420524083405	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"57"	7.37494378482913	-0.000680002111171008	4.33307256789026	-0.287737321133914	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"58"	7.44434102930889	0.00327066334630782	3.21145932568662	-0.198541037936443	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"59"	7.41288264271372	0.00554684236284425	4.2738121818009	-0.099437109852078	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"61"	7.38987770145306	0.0028627555578827	3.19779801878706	0.0314929928325769	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"64"	7.40920861143207	0.00681037100487835	5.28790255991596	-0.216416601428305	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"67"	7.41735755816921	-0.00619440928986116	5.22999817400439	0.0598462006496166	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"68"	7.48666077421628	0.00984768847251236	4.69590317139055	-0.00721321032435108	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
