"rep"	"id"	"b01"	"b11"	"b21"	"a1"	"b02"	"b12"	"b03"	"b13"	"b05"	"b15"	"p1"	"g1"	"p2"	"g2"	"alpha11"	"alpha12"	"alpha13"	"alpha15"	"alpha21"	"alpha22"	"alpha23"	"alpha25"
1	"53"	4.79392801010848	0.0253875166985422	-0.115796643234855	22.0085724123026	7.44189570609578	0.000304679820420008	3.28704102084576	0.010679586568284	7.66155098053305	-0.124915559237097	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"54"	2.52299969400462	-0.152624880461726	-0.170255576323438	7.87179119433969	7.47034836503897	0.0072488863319874	4.55824511481489	-0.139616281544655	7.31585449219152	0.0209079427184884	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"56"	4.47831279316641	-0.108322976588188	-0.138833270265811	9.91377779679309	7.44296587921246	-0.00293958960261972	4.67224168281944	-0.00867112392030098	7.10629444555846	0.13414073642282	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"58"	5.23289525868267	-0.294948343514889	-0.0949050835762959	5.36483625933311	7.40182552711624	-0.00156407356707354	2.71297825306985	-0.0913511167515305	7.4805654467822	0.0237246861853596	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"59"	4.79647385584017	-0.270257071467657	-0.153781242040169	19.2254388887475	7.35745279296826	0.000156911172390955	2.83966588125878	-0.0835883191792661	4.65449469533758	-0.112895456129011	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"61"	4.26910175716907	-0.0289216753309923	-0.22693580449495	10.8236763262675	7.40925448284743	0.0128121152689538	4.86437138821826	-0.164820028717723	7.08003158456248	-0.0502113488517378	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"65"	6.22961083790083	-0.0910246205587671	-0.129794833914564	6.48475623817853	7.34721051724594	-0.00257889042931027	3.13648207882265	-0.34010535568509	8.18512075617434	-0.150926181022089	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"66"	1.39225293050384	-0.0643511765918768	-0.113671502191901	4.63143178008514	7.38237189581669	0.0060304480839582	4.18672096065246	0.0651911834199425	6.73236053984471	0.068208973404203	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"67"	4.43090108747743	-0.20025598840531	-0.0658322175888952	2.0925641937473	7.33506231754586	0.00673059846113205	4.37613041721023	-0.383903693492526	6.20912372668525	-0.106604327075538	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"68"	3.10795889881758	0.0356861739154098	-0.111747724073845	4.64908801688049	7.35580217512077	0.0050609215196269	5.23055480812363	-0.0414534736819852	7.57834676325722	0.00304699985445446	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
