"rep"	"id"	"b01"	"b11"	"b21"	"a1"	"b02"	"b12"	"b03"	"b13"	"b06"	"b16"	"b07"	"b17"	"p1"	"g1"	"p2"	"g2"	"alpha11"	"alpha12"	"alpha13"	"alpha16"	"alpha17"	"alpha21"	"alpha22"	"alpha23"	"alpha26"	"alpha27"
1	"30"	5.50168331488573	-0.207270753011857	-0.176676022978955	8.17160260441818	7.35119998295388	0.00125031352693298	5.30337044155888	-0.39058874622828	4.21378161038497	-0.123495745437794	398.219102594747	-0.944818283018004	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"31"	5.57615623781612	0.000777489722528604	-0.181947168344607	3.7123974715717	7.36772686590781	0.010130321376858	3.65456049580171	-0.072302510037032	5.61773265710155	0.0656434732246542	415.77241620458	-4.01421918273231	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"32"	7.11243728495069	-0.312982760973448	-0.0594571198651942	3.19846019073373	7.37409995192079	-0.00474152817968092	2.64195521555754	-0.0811370823789238	5.20777385255827	0.110348251500507	533.107791777476	-6.75711563561098	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"34"	1.83201423701971	-0.0784205955286552	-0.242003233824456	34.4745664969502	7.43338934541406	-0.00176763044884786	3.20805719140267	-0.0906750571972148	4.69892346283845	-0.174069951778755	361.079331608032	-2.93419632943374	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"35"	4.61876469977964	-0.244942327469308	-0.158350382246112	13.1038499517833	7.38099392309872	-0.00246228335997318	4.30381465388055	-0.175310630942653	5.77943610511763	-0.0157514390272688	283.20218201347	-13.8586538347245	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"36"	5.93046575572551	-0.261182624075662	-0.10259500274381	5.7529830918799	7.36484098488172	-0.00363948509913897	4.60664560299213	-0.0695516345218443	5.07636605070877	-0.0136178291228577	355.90064757028	-12.8060677787638	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"38"	4.39019931914251	-0.123683177250582	-0.0437703327552803	2.40712742099861	7.3586829668936	0.00303137108921122	3.35705438173529	0.0871193087016799	4.42643827808255	-0.1909088473763	416.433918438166	-9.5558509734037	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"39"	3.77341163459785	-0.15324621974018	-0.19906540612302	2.87036156727514	7.40422105485481	0.00617230445654334	1.98032773765091	-0.0533740143424779	5.34915371541633	-0.104034536008161	434.821547819787	-4.51610007952443	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"41"	6.15699134994239	-0.0900191331803873	-0.0938693925919866	6.32518222153649	7.3788687533262	0.00338230417666249	4.52864530239853	-0.395265624673604	3.90911796258272	-0.0355455050450259	403.420950227911	-3.64550452611759	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"46"	4.46808155852927	-0.288644000976824	-0.297147354490257	4.6376053810718	7.45449848640869	-0.00605435432640986	3.99615633494275	-0.192257037037497	5.83413800702211	-0.0214260891292014	293.690869989189	-10.4950076156018	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
