"rep"	"id"	"b01"	"b11"	"b21"	"a1"	"b03"	"b13"	"p1"	"g1"	"p2"	"g2"	"alpha11"	"alpha13"	"alpha21"	"alpha23"
1	"120"	7.34294809960256	0.0872352141128964	-0.17966191721741	5.97578167536317	4.83271011413058	-0.251064870478269	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"122"	4.55793982760997	-0.19163292776676	-0.0991101246337034	10.0276733091871	4.91161349199395	-0.00818148859420031	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"123"	2.35169613978421	-0.116094412614447	-0.178400982586988	4.17153174345508	5.30781369383116	-0.0982530868344421	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"129"	3.28643980494168	-0.0984892909383105	-0.129237254143236	4.10764138146623	3.23856267291116	-0.184817214299954	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"132"	4.61205822728519	0.0846536499060042	-0.130448849374696	11.4574763366044	3.89472105721516	-0.131789621720029	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"136"	0.387581708479185	-0.167044376321926	-0.0981929908718412	6.76048207405651	2.65042781495226	-0.259058068653299	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"138"	4.57263323455144	-0.317942806893613	-0.190484410684936	16.2586445917752	3.1935384972366	-0.466252740753177	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"140"	6.60942799191279	-0.0514888862223634	-0.125224259611481	7.84625322773247	4.56292953194755	-0.0791522994968248	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"144"	3.37676761702334	-0.0867605795516828	-0.115624216678611	8.85481939333948	4.61057570734211	-0.221444089313562	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"145"	4.2440547898612	-0.146178540093286	-0.138164076265314	3.28463603337302	4.73961838884477	-0.325469475142268	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"148"	4.8641897374605	-0.163502515443539	-0.0896038448633325	4.97724500656007	6.88284887754135	-0.212261673410883	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"149"	1.18643359010264	-0.169966549260687	-0.182491440150258	6.00615444906636	5.09525802604024	0.114993105545832	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"150"	4.66904031336056	-0.0249874126169227	-0.216951774609756	4.18441288847319	5.19337325516838	-0.117859992773665	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"151"	6.17136879506376	-0.189060376637603	-0.184041119211426	3.18275372969202	4.73433675679948	0.0308027952970689	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"152"	7.37252727608709	-0.367780438077347	-0.0606864403054631	7.69275619062441	5.90482228898288	0.0267759227499694	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"153"	7.02190970915465	-0.266437534208897	-0.160950494610668	2.67655077361857	3.27048166887602	-0.245511514531152	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"154"	3.93651565748033	-0.0115224958184464	-0.0631380546041455	3.99846883631051	3.67473507244851	-0.246695961053234	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"156"	6.85481903412841	-0.0645072667238272	-0.168769691613049	19.0084897255873	2.62050284237959	-0.086139888659882	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"159"	6.49095730603345	-0.295394832748731	-0.123917935527759	3.57040452942433	3.35843711383307	-0.185407976448391	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"160"	4.13571915868617	0.0156942982995779	-0.101313836914923	13.0521509877734	5.46252867425295	-0.162509394867507	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"165"	6.68194801996761	-0.11438550591287	-0.13213986813215	7.82956484125415	3.76550216069218	-0.179820904737717	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"166"	5.63282157433074	-0.131464697489202	-0.132600616164801	4.24838797174473	3.76698840199697	-0.0461913473742653	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"167"	2.10071617627846	0.0846561564803394	-0.153413362793668	4.13258237253888	3.95855874152125	-0.352050514250018	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"168"	2.24643838117607	-0.0483048160830532	-0.0996829389847975	6.48312291528647	4.66831590603432	-0.155729450649506	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"170"	2.15396403038336	-0.0416553730585992	-0.240707844887354	6.66565356695197	3.23218065874346	-0.318518398623264	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
